repo,id,symptom_annotator_1,symptom_annotator_2,symptom_annotator_3,symptom_annotator_4,symptom_annotator_5,symptom_final,rootcause_annotator_1,rootcause_annotator_2,rootcause_annotator_3,rootcause_annotator_4,rootcause_annotator_5,rootcause_final,entity_annotator_1,entity_annotator_2,entity_annotator_3,entity_annotator_4,entity_annotator_5,entity_final
Adjerry91/VRCFaceTracking-Templates,5,AF,RS,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
AltspaceVR/AltspaceSDK,18,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
AltspaceVR/AltspaceSDK,21,IC,IC,IC,IC,IC,IC,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
AltspaceVR/AltspaceSDK,46,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L4,L5
AurelienGttn/DrumVR,4,AF,AF,AF,AF,RS,AF,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
BasisVR/Basis,5,AF,AF,AF,AF,AF,AF,IIV,IIV,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
BasisVR/Basis,25,VF,VF,RA,VF,VF,VF,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
BasisVR/Basis,27,SD,SD,SD,SD,AF,SD,ICFM,UPF,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
BasisVR/Basis,39,IC,IC,SD,IC,IC,IC,RLM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L3,L3,L3,L3,L3
BasisVR/Basis,43,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
BasisVR/Basis,62,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,UPF,GCE,GCE,L5,L5,L5,L5,L5,L5
BasisVR/Basis,63,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,RLM,GCE,GCE,L2,L2,L2,L2,L2,L2
BasisVR/Basis,70,RA,RA,RA,RA,RA,RA,GCE,GCE,GCE,IIV,GCE,GCE,L2,L2,L2,L2,L2,L2
BasisVR/Basis,76,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
BasisVR/Basis,191,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L2,L2,L4,L1,L2,L2
BasisVR/Basis,344,VF,VF,VF,RS,VF,VF,IIV,IIV,UPF,IIV,IIV,IIV,L2,L2,L2,L2,L2,L2
BasisVR/Basis,351,SD,SD,SD,RA,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L2,L2,L2,L2,L2,L2
Bebb-Protocol-and-Apps/PWS,5,IC,IC,IC,IC,IC,IC,ICFM,TDI,TDI,TDI,TDI,TDI,L5,L3,L3,L3,L3,L3
Bebb-Protocol-and-Apps/PWS,9,AF,RS,RS,RS,RS,RS,ICFM,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
BoiHanny/vrcosc-magicchatbox,23,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L1,L4,L4,L4,L4,L4
Bone008/HackerJedi,30,SD,SD,SD,SD,SD,SD,TDI,TDI,RLM,TDI,TDI,TDI,L3,L3,L3,L3,L3,L3
Bone008/HackerJedi,33,VF,VF,VF,AF,VF,VF,UPF,TDI,GCE,UPF,UPF,UPF,L4,L3,L4,L4,L4,L4
Bone008/HackerJedi,60,SD,RA,SD,SD,SD,SD,ICFM,ICFM,ICFM,GCE,ICFM,ICFM,L4,L4,L4,L4,L4,L4
CAOR-MINES-ParisTech/colibri-vr-unity-package,6,RA,AF,RA,RA,RA,RA,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
CertainLach/VivePro2-Linux-Driver,37,VF,VF,VF,VF,VF,VF,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
Chainsawkitten/Deathcap,167,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Chainsawkitten/Deathcap,344,AF,AF,AF,AF,AF,AF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
Chainsawkitten/Deathcap,411,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
Chainsawkitten/Deathcap,741,AF,AF,AF,AF,AF,AF,UPF,RLM,GCE,UPF,UPF,UPF,L4,L4,L4,L4,L4,L4
Chainsawkitten/Deathcap,763,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
Chainsawkitten/Deathcap,1100,SD,SD,SD,SD,SD,SD,GCE,IIV,GCE,GCE,GCE,GCE,L4,L4,L4,L4,L4,L4
ChrisDenham/osgopenvrviewer,3,VF,VF,VF,VF,VF,VF,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
DSprtn/GTFO_VR_Plugin,2,VF,VF,VF,VF,VF,VF,IAC,RLM,IAC,IAC,TDI,IAC,L4,L4,L4,L4,L4,L4
DSprtn/GTFO_VR_Plugin,29,VF,VF,VF,VF,VF,VF,UPF,UPF,UPF,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
DSprtn/GTFO_VR_Plugin,39,VF,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
DSprtn/GTFO_VR_Plugin,40,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,ICFM,UPF,UPF,L3,L3,L3,L3,L3,L3
DSprtn/GTFO_VR_Plugin,46,AF,RA,AF,AF,AF,AF,GCE,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
DSprtn/GTFO_VR_Plugin,49,SD,SD,SD,SD,SD,SD,UPF,UPF,UPF,UPF,UPF,UPF,L2,L2,L2,L2,L2,L2
DSprtn/GTFO_VR_Plugin,56,IC,IC,SD,IC,IC,IC,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
DaXcess/LCVR,104,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,RLM,IIV,IIV,L3,L3,L3,L3,L3,L3
DaXcess/LCVR,154,VF,SD,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L2,L2,L2,L2,L2,L2
DanielRBowen/UE-VRHands-Template,3,RA,VF,VF,VF,VF,VF,UPF,ICFM,UPF,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
De-Panther/unity-webxr-export,37,RA,RA,RA,RA,RA,RA,RLM,UPF,RLM,RLM,RLM,RLM,L3,L5,L5,L5,L5,L5
De-Panther/unity-webxr-export,40,RS,RS,RA,RS,RS,RS,TDI,TDI,GCE,TDI,GCE,TDI,L5,L5,L5,L5,L5,L5
De-Panther/unity-webxr-export,53,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
De-Panther/unity-webxr-export,64,AF,AF,AF,AF,AF,AF,IAC,IAC,IAC,IAC,IAC,IAC,L4,L4,L4,L4,L3,L4
De-Panther/unity-webxr-export,91,VF,RA,VF,VF,VF,VF,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
De-Panther/unity-webxr-export,108,AF,AF,AF,AF,AF,AF,TDI,TDI,TDI,TDI,TDI,TDI,L5,L5,L4,L5,L5,L5
De-Panther/unity-webxr-export,118,RS,VF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L2,L5,L5,L5
De-Panther/unity-webxr-export,146,SD,SD,SD,SD,SD,SD,IAC,UPF,UPF,UPF,UPF,UPF,L5,L5,L5,L5,L5,L5
De-Panther/unity-webxr-export,150,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L2,L2,L2,L2,L2
De-Panther/unity-webxr-export,195,RS,RS,RS,RS,RS,RS,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L3,L1,L1,L1,L1
De-Panther/unity-webxr-export,344,AF,AF,AF,AF,AF,AF,IAC,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
Deamoner/spatialjs,8,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L5,L5,L5,L5,L5
