repo,id,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,majority_vote,final_label
mrdoob/three.js,11699,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrm-c/UniVRM,1077,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
lulupointu/vrouter,12,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,30816,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,19742,visual,visual,visual,visual,visual,visual,visual
VisActor/VRender,1974,visual,visual,visual,visual,visual,visual,visual
vrc-get/vrc-get,1153,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
bulletphysics/bullet3,2685,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vmware-archive/legacy-terraform-provider-vra7,65,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,24570,visual,non_visual,visual,non_visual,visual,visual,visual
secondlife/viewer,2042,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
xbapps/xbvr,671,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
PyVRP/PyVRP,259,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,24660,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
StereoKit/StereoKit,66,visual,visual,visual,visual,visual,visual,visual
pixiv/three-vrm,836,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ReactVision/virocore,183,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
immersive-web/webxr-polyfill,125,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
xbapps/xbvr,1878,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ChanyaVRC/VRCOscLib,37,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
doodlum/skyrim-community-shaders,35,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,11700,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,1775,visual,visual,visual,visual,visual,visual,visual
Raphiiko/OyasumiVR,52,visual,visual,visual,visual,visual,visual,visual
vrsource/vrsource-tslint-rules,18,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
facebookarchive/react-360,74,visual,visual,visual,visual,visual,visual,visual
Samsung/GearVRf,1437,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
aframevr/aframe,441,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
aframevr/aframe,4641,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
xbapps/xbvr,1170,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
cosmoscout/cosmoscout-vr,265,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
DiligentGraphics/DiligentCore,340,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
secondlife/viewer,1868,visual,visual,non_visual,visual,visual,visual,visual
HLANoVR/HLA-NoVR,31,visual,visual,visual,visual,visual,visual,visual
playcanvas/engine,316,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
