repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/BP_EgoVehicle_DReyeVR.uasset,modified,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mesh/SM_VehicleMesh_DReyeVR.uasset,modified,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mesh/SM_VehicleSkeleton_DReyeVR.uasset,modified,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mirrors/LeftMirror_DReyeVR_SM.uasset,added,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mirrors/RearMirror_DReyeVR_Glass_SM.uasset,added,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mirrors/RearMirror_DReyeVR_SM.uasset,added,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Blueprints/DReyeVR/Mirrors/RightMirror_DReyeVR_SM.uasset,added,0,0,0,
HARPLab/DReyeVR,6,dead5b5,Carla/Sensor/DReyeVRData.h,modified,23,10,33,"@@ -106,15 +106,20 @@ struct EgoVariables
     // World coordinate Ego vehicle location & rotation
     FVector VehicleLocation = FVector::ZeroVector;
     FRotator VehicleRotation = FRotator::ZeroRotator;
-    // Relative Camera position and orientation
+    // Relative Camera position and orientation (for HMD offsets)
     FVector CameraLocation = FVector::ZeroVector;
     FRotator CameraRotation = FRotator::ZeroRotator;
+    // Absolute Camera position and orientation (includes vehicle & HMD offset)
+    FVector CameraLocationAbs = FVector::ZeroVector;
+    FRotator CameraRotationAbs = FRotator::ZeroRotator;
     // Ego variables
     float Velocity = 0.f; // note this is in cm/s (default UE4 units)
     void Read(std::ifstream &InFile)
     {
         ReadFVector(InFile, CameraLocation);
         ReadFRotator(InFile, CameraRotation);
+        ReadFVector(InFile, CameraLocationAbs);
+        ReadFRotator(InFile, CameraRotationAbs);
         ReadFVector(InFile, VehicleLocation);
         ReadFRotator(InFile, VehicleRotation);
         ReadValue<float>(InFile, Velocity);
@@ -123,6 +128,8 @@ struct EgoVariables
     {
         WriteFVector(OutFile, CameraLocation);
         WriteFRotator(OutFile, CameraRotation);
+        WriteFVector(OutFile, CameraLocationAbs);
+        WriteFRotator(OutFile, CameraRotationAbs);
         WriteFVector(OutFile, VehicleLocation);
         WriteFRotator(OutFile, VehicleRotation);
         WriteValue<float>(OutFile, Velocity);
@@ -135,6 +142,8 @@ struct EgoVariables
         Print += FString::Printf(TEXT(""VehicleVel:%.4f,""), Velocity);
         Print += FString::Printf(TEXT(""CameraLoc:%s,""), *CameraLocation.ToString());
         Print += FString::Printf(TEXT(""CameraRot:%s,""), *CameraRotation.ToString());
+        Print += FString::Printf(TEXT(""CameraLocAbs:%s,""), *CameraLocationAbs.ToString());
+        Print += FString::Printf(TEXT(""CameraRotAbs:%s,""), *CameraRotationAbs.ToString());
         return Print;
     }
 };
@@ -189,8 +198,7 @@ struct FocusInfo
 {
     // substitute for SRanipal FFocusInfo in SRanipal_Eyes_Enums.h
     TWeakObjectPtr<class AActor> Actor;
-    FVector HitPointRelative;
-    FVector HitPointAbsolute;
+    FVector HitPoint; // in world space (absolute location)
     FVector Normal;
     FString ActorNameTag = ""None""; // Tag of the actor being focused on
     float Distance;
@@ -200,17 +208,15 @@ struct FocusInfo
     {
         ReadFString(InFile, ActorNameTag);
         ReadValue<bool>(InFile, bDidHit);
-        ReadFVector(InFile, HitPointRelative);
-        ReadFVector(InFile, HitPointAbsolute);
+        ReadFVector(InFile, HitPoint);
         ReadFVector(InFile, Normal);
         ReadValue<float>(InFile, Distance);
     }
     void Write(std::ofstream &OutFile) const
     {
         WriteFString(OutFile, ActorNameTag);
         WriteValue<bool>(OutFile, bDidHit);
-        WriteFVector(OutFile, HitPointRelative);
-        WriteFVector(OutFile, HitPointAbsolute);
+        WriteFVector(OutFile, HitPoint);
         WriteFVector(OutFile, Normal);
         WriteValue<float>(OutFile, Distance);
     }
@@ -219,8 +225,7 @@ struct FocusInfo
         FString Print;
         Print += FString::Printf(TEXT(""Hit:%d,""), bDidHit);
         Print += FString::Printf(TEXT(""Distance:%.4f,""), Distance);
-        Print += FString::Printf(TEXT(""HitPointRelative:%s,""), *HitPointRelative.ToString());
-        Print += FString::Printf(TEXT(""HitPointAbsolute:%s,""), *HitPointAbsolute.ToString());
+        Print += FString::Printf(TEXT(""HitPoint:%s,""), *HitPoint.ToString());
         Print += FString::Printf(TEXT(""HitNormal:%s,""), *Normal.ToString());
         Print += FString::Printf(TEXT(""ActorName:%s,""), *ActorNameTag);
         return Print;
@@ -409,6 +414,14 @@ class AggregateData // all DReyeVR sensor data is held here
     {
         return EgoVars.CameraRotation;
     }
+    const FVector &GetCameraLocationAbs() const
+    {
+        return EgoVars.CameraLocationAbs;
+    }
+    const FRotator &GetCameraRotationAbs() const
+    {
+        return EgoVars.CameraRotationAbs;
+    }
     float GetVehicleVelocity() const
     {
         return EgoVars.Velocity; // returns ego velocity in cm/s
@@ -428,7 +441,7 @@ class AggregateData // all DReyeVR sensor data is held here
     }
     const FVector &GetFocusActorPoint() const
     {
-        return FocusData.HitPointAbsolute;
+        return FocusData.HitPoint;
     }
     float GetFocusActorDistance() const
     {"
HARPLab/DReyeVR,6,dead5b5,Configs/CarlaUE4.uproject,modified,5,0,5,"@@ -100,6 +100,11 @@
 				""Win64"",
 				""Linux"",
 				""Mac""
+			],
+			""WhitelistPlatforms"": [
+				""Win32"",
+				""Win64"",
+				""Linux""
 			]
 		},
 		{"
HARPLab/DReyeVR,6,dead5b5,Configs/DReyeVRConfig.ini,modified,38,3,41,"@@ -4,7 +4,7 @@
 ; [sections] also work as intended, see ReadConfigValue for more info
 
 [EgoVehicle]
-CameraInit=(X=21.0, Y=-40.0, Z=120.0); position offset of camera in vehicle
+CameraInit=(X=20.0, Y=-40.0, Z=120.0); position offset of camera in vehicle
 DashLocation=(X=110.0, Y=0.0, Z=105.0); position offset of dash in vehicle
 SpeedometerInMPH=True; set to False to use KPH
 TurnSignalDuration=3.0; time (in s) that the turn signals stay on for
@@ -14,16 +14,50 @@ FieldOfView=90.0
 ActorRegistryID=501; desired (but not guaranteed) ID for the ActorRegistry (can be any nonzero number)
 DrawDebugEditor=False; draw debug lines/sphere for eye gaze in the editor
 
+[Mirrors]
+; rear view mirror
+RearMirrorEnabled=True
+RearMirrorChassisPos=(X=48.0, Y=0.0, Z=123.0)
+RearMirrorChassisRot=(R=0.0, P=0.0, Y=25.06)
+RearMirrorChassisScale=(X=1.0, Y=1.0, Z=1.0)
+RearMirrorPos=(X=-0.5, Y=0.0, Z=0.0)
+RearMirrorRot=(R=0.0, P=1.0, Y=0.0)
+RearMirrorScale=(X=0.9, Y=0.98, Z=0.9)
+RearReflectionPos=(X=-7, Y=0.0, Z=0.0)
+RearReflectionRot=(R=0.0, P=90.0, Y=0.0)
+RearReflectionScale=(X=0.002, Y=0.007, Z=1.0)
+RearScreenPercentage=85; used very frequently
+; left view side mirror
+LeftMirrorEnabled=True
+LeftMirrorPos=(X=62.0, Y=-98.0, Z=105.5)
+LeftMirrorRot=(R=0.0, P=0.0, Y=0.0)
+LeftMirrorScale=(X=0.9, Y=0.9, Z=0.9)
+LeftReflectionPos=(X=0, Y=0, Z=-3.0)
+LeftReflectionRot=(R=43.2, P=81, Y=22.5)
+LeftReflectionScale=(X=0.003, Y=0.005, Z=1.0)
+LeftScreenPercentage=65; used quite a bit
+; right view side mirror
+RightMirrorEnabled=True
+RightMirrorPos=(X=62, Y=98, Z=100.5)
+RightMirrorRot=(R=0, P=-4, Y=2.79)
+RightMirrorScale=(X=0.9, Y=0.9, Z=0.9)
+RightReflectionPos=(X=0.0, Y=0.0, Z=2.22)
+RightReflectionRot=(R=-1, P=90.0, Y=21.6)
+RightReflectionScale=(X=0.003, Y=0.005, Z=1.0)
+RightScreenPercentage=50; used very rarely if ever
+
 [SteeringWheel]
 InitLocation=(X=85.0, Y=-40.0, Z=85.0); position of the steering wheel in the vehicle
 InitRotation=(R=0.0, P=-10.0, Y=0.0); tilt of the steering wheel at rest
 MaxSteerAngleDeg=900; max wheel rotation in degrees (pos and negative)
 MaxSteerVelocity=90; maximum velocity (degrees per second)
-SteeringScale=180; scale with which to rotate the wheel
+SteeringScale=360; scale with which to rotate the wheel (normalized [-1, 1] -> degrees)
 
 [EgoSensor]
 ActorRegistryID=502; desired (but not guaranteed) ID for the ActorRegistry (can be any nonzero number)
 StreamSensorData=True; Set to False to skip streaming sensor data (for PythonAPI) on every tick
+MaxTraceLenM=100.0; maximum trace length (in meters) to use for world-hit point calculation
+DrawDebugFocusTrace=True; draw the debug focus trace & hit point in editor
 RecordFrames=False; additionally capture camera screenshots on every tick (WARNING: expensive!)
 FrameWidth=250; resolution x for screenshot
 FrameHeight=200; resolution y for screenshot
@@ -32,13 +66,14 @@ FrameName=tick; title of screenshot (differentiated via tick-suffix)
 
 [VehicleInputs]
 ScaleSteeringDamping=0.6
-ScaleThrottleInput=1.0
+ScaleThrottleInput=10.0
 ScaleBrakeInput=1.0
 InvertMouseY=False; use inverted-flight controls for moving camera with mouse inputs
 ScaleMouseY=1.0
 ScaleMouseX=1.0
 
 [EgoVehicleHUD]
+HUDScaleVR=6; scale all  HUD elements in VR mode only
 DrawFPSCounter=True; draw's FPS (frames per second) in top right corner of flat screen
 DrawFlatReticle=True; reticle in flat-screen mode
 DrawGaze=False; draw debug gaze lines on flat-screen hud"
