repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Fonts/NotoSansCJK-Regular SDF.asset,renamed,3,3,6,"@@ -6,7 +6,7 @@ Texture2D:
   m_CorrespondingSourceObject: {fileID: 0}
   m_PrefabInstance: {fileID: 0}
   m_PrefabAsset: {fileID: 0}
-  m_Name: NotoSansJP-Regular Atlas
+  m_Name: NotoSansCJK-Regular Atlas
   m_ImageContentsHash:
     serializedVersion: 2
     Hash: 00000000000000000000000000000000
@@ -57,7 +57,7 @@ MonoBehaviour:
   m_Enabled: 1
   m_EditorHideFlags: 0
   m_Script: {fileID: 11500000, guid: 71c1514a6bd24e1e882cebbe1904ce04, type: 3}
-  m_Name: NotoSansJP-Regular SDF
+  m_Name: NotoSansCJK-Regular SDF
   m_EditorClassIdentifier: 
   hashCode: 311269161
   material: {fileID: 8965273586841626037}
@@ -187,7 +187,7 @@ Material:
   m_CorrespondingSourceObject: {fileID: 0}
   m_PrefabInstance: {fileID: 0}
   m_PrefabAsset: {fileID: 0}
-  m_Name: NotoSansJP-Regular Atlas Material
+  m_Name: NotoSansCJK-Regular Atlas Material
   m_Shader: {fileID: 4800000, guid: 68e6db2ebdc24f95958faec2be5558d6, type: 3}
   m_ValidKeywords: []
   m_InvalidKeywords: []"
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Fonts/NotoSansCJK-Regular SDF.asset.meta,renamed,0,0,0,
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Fonts/NotoSansCJK-Regular.ttc,added,0,0,0,
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Fonts/NotoSansCJK-Regular.ttc.meta,renamed,0,0,0,
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Fonts/NotoSansJP-Regular.otf,removed,0,0,0,
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Scripts/UI/Button/MocapRecordingButton.cs,modified,2,1,3,"@@ -24,8 +24,9 @@ protected override void OnClick() {
 			if (isRecording) {
 				collection = new();
 			} else {
+				var extension = new FileDialogUtils.CustomExtensionFilter(Lang.DialogBvhFiles.Get(), ""bvh"");
 				BVH.BVHExporter.MocapCollection localCollection = collection;
-				FileDialogUtils.SaveFilePanel(this, ""Save BVH"", """", ""bvh"", paths => {
+				FileDialogUtils.SaveFilePanel(this, Lang.DialogSaveFile.Get(), """", extension, paths => {
 					if (paths.Length > 0) {
 						string filePath = paths[0];
 						string data = BVH.BVHExporter.GenerateData(SolutionUtils.GetSolution().Model.Animator, localCollection);"
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Scripts/UI/Localization/Localization.cs,modified,2,0,2,"@@ -80,9 +80,11 @@ public static readonly Lang
 
 				DialogImageFiles = new(""dialog.image_files"", ""Image Files""),
 				DialogVrmFiles = new(""dialog.vrm_files"", ""VRM Files""),
+				DialogBvhFiles = new(""dialog.bvh_files"", ""BVH Files""),
 				DialogAllFiles = new(""dialog.all_files"", ""All Files""),
 				DialogOpenImage = new(""dialog.open_image"", ""Open Image""),
 				DialogOpenFile = new(""dialog.open_file"", ""Open File""),
+				DialogSaveFile = new(""dialog.save_file"", ""Save File""),
 
 				IpHidden = new(""text.ip_hidden"", ""Ip Hidden""),
 				ModelHidden = new(""text.model_hidden"", ""Model Is Hidden""),"
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/Scripts/Utils/FileDialogUtils.cs,modified,19,9,28,"@@ -70,27 +70,38 @@ private static IEnumerator ShowLoadDialog(string title, string file, CustomExten
 		}
 
 		public static void SaveFilePanel(MonoBehaviour behaviour, string title, string file, string extension, Action<string[]> callback) {
+			SaveFilePanel(behaviour, title, file, new CustomExtensionFilter(""*."" + extension, extension), callback);
+		}
+
+
+		public static void SaveFilePanel(MonoBehaviour behaviour, string title, string file, CustomExtensionFilter extension, Action<string[]> callback) {
 			try {
 				callback.Invoke(SFB_SaveFilePanel(title, file, extension));
 			} catch (DllNotFoundException) {
 				behaviour.StartCoroutine(ShowSaveDialog(title, file, extension, callback));
 			}
 		}
 
-		private static string[] SFB_SaveFilePanel(string title, string file, string extension) {
+		private static string[] SFB_SaveFilePanel(string title, string file, CustomExtensionFilter extension) {
 			string directory = """";
 			if (File.Exists(file)) {
 				directory = Path.GetDirectoryName(file);
 			}
 			
-			string result = SFB.StandaloneFileBrowser.SaveFilePanel(title, directory, """", extension);
+			var extensions = new [] {
+				new SFB.ExtensionFilter(extension.Name, extension.Extensions)
+			};
+			// Known Issue: SaveFilePanel() method from SFB does not read title param.
+			string result = SFB.StandaloneFileBrowser.SaveFilePanel(title, directory, """", extensions);
 			if (result == string.Empty) {
 				return new string[0];
+			} else if (!result.EndsWith(""."" + extension.Extensions[0])) {
+				result += ""."" + extension.Extensions[0];
 			}
 			return new string[] { result };
 		}
 
-		private static IEnumerator ShowSaveDialog(string title, string file, string extension, Action<string[]> callback) {
+		private static IEnumerator ShowSaveDialog(string title, string file, CustomExtensionFilter extension, Action<string[]> callback) {
 			if (!IsWaiting) {
 				// Make sure we are doing one file browser at a time
 				IsWaiting = true;
@@ -101,12 +112,11 @@ private static IEnumerator ShowSaveDialog(string title, string file, string exte
 						directory = Path.GetDirectoryName(file);
 					}
 					
-					if (extension != null) {
-						SimpleFileBrowser.FileBrowser.Filter[] filters = new SimpleFileBrowser.FileBrowser.Filter[1];
-						filters[0] = new SimpleFileBrowser.FileBrowser.Filter(extension, extension);
-						SimpleFileBrowser.FileBrowser.SetFilters(true, filters);
-						SimpleFileBrowser.FileBrowser.SetDefaultFilter(extension);
-					}
+					var filters = new [] {
+						new SimpleFileBrowser.FileBrowser.Filter(extension.Name, extension.Extensions)
+					};
+					SimpleFileBrowser.FileBrowser.SetFilters(true, filters);
+					SimpleFileBrowser.FileBrowser.SetDefaultFilter(extension.Extensions[0]);
 
 					yield return SimpleFileBrowser.FileBrowser.WaitForSaveDialog(
 						SimpleFileBrowser.FileBrowser.PickMode.Files, false, null, directory, title, ""Save"""
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/StreamingAssets/lang/en_US/en_US.lang,modified,2,0,2,"@@ -13,9 +13,11 @@ ui.help_text=Shift to Pan, Ctrl to Rotate
 ui.settings=Settings
 dialog.image_files=Image Files
 dialog.vrm_files=VRM Files
+dialog.bvh_files=BVH Files
 dialog.all_files=All Files
 dialog.open_image=Open Image
 dialog.open_file=Open File
+dialog.save_file=Save File
 text.ip_hidden=Ip Hidden
 text.model_hidden=Model Is Hidden
 tab.model.label=Model"
Kariaro/VRigUnity,97,3135243d10a5948fb6bfbb585e8ef8f804df7d78,Assets/StreamingAssets/lang/languages.json,modified,2,1,3,"@@ -1,4 +1,5 @@
 {
 	""en_US"": ""English"",
-	""sv_SE"": ""Swedish""
+	""sv_SE"": ""Swedish"",
+	""zh_CN"": ""简体中文 (Simplified Chinese)""
 }
\ No newline at end of file"
