repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/d3xp/PlayerView.cpp,modified,2,2,4,"@@ -730,8 +730,8 @@ idPlayerView::ScreenFade
 */
 void idPlayerView::ScreenFade()
 {
-	// Carl: Don't cover screen when we need to read the Flicksync HUD or see what's happening
-	if( !fadeTime || g_stopTime.GetBool() || ( Flicksync_InCutscene && (Flicksync_CueActive || Flicksync_CueCardActive) ) )
+	// Carl: Don't cover screen when we need to read the Flicksync HUD or PDA or see what's happening
+	if( !fadeTime || g_stopTime.GetBool() || player->objectiveSystemOpen || commonVr->PDAforced || commonVr->PDAforcetoggle || ( Flicksync_InCutscene && (Flicksync_CueActive || Flicksync_CueCardActive) ) )
 	{
 		return;
 	}"
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/d3xp/menus/MenuScreen_Shell_Dev.cpp,modified,3,1,4,"@@ -297,7 +297,9 @@ bool idMenuScreen_Shell_Dev::HandleAction( idWidgetAction& action, const idWidge
 			int mapIndex = options->GetViewIndex();
 			if( ( mapIndex < devOptions.Num() ) && ( devOptions[ mapIndex ].map != NULL ) )
 			{
-				cmdSystem->AppendCommandText( va( ""devmap %s\n"", devOptions[ mapIndex ].map ) );
+				// New game, but don't disable Flicksync if they chose it.
+				Flicksync_NewGame(false);
+				cmdSystem->AppendCommandText(va(""devmap %s\n"", devOptions[mapIndex].map));
 			}
 			
 			return true;"
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/d3xp/menus/MenuScreen_Shell_Difficulty.cpp,modified,1,1,2,"@@ -319,7 +319,7 @@ bool idMenuScreen_Shell_Difficulty::HandleAction( idWidgetAction& action, const
 			idMenuHandler_Shell* shellMgr = dynamic_cast< idMenuHandler_Shell* >( menuData );
 			if( shellMgr )
 			{
-				NotFlicksync_NewGame();
+				Flicksync_NewGame(true);
 				if( type == 0 )
 				{
 					shellMgr->ShowDoomIntro();"
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/d3xp/menus/MenuScreen_Shell_VR_Flicksync.cpp,modified,2,2,4,"@@ -273,8 +273,8 @@ bool idMenuScreen_Shell_VR_Flicksync::HandleAction( idWidgetAction& action, cons
 			switch ( selectionIndex ) {
 			case idMenuDataSource_Shell_VR_Flicksync::FLICKSYNC_FIELD_NEWGAME:
 			{
-				// reset score to 0
-				Flicksync_NewGame();
+				// Reset score to 0, etc. This must be called before setting Flicksync_skipToCutscene.
+				Flicksync_NewGame(false);
 				Flicksync_skipToCutscene = CUTSCENE_NONE;
 				int scenes = vr_flicksyncScenes.GetInteger();
 				int c = vr_flicksyncCharacter.GetInteger();"
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/vr/FlickSync.cpp,modified,113,28,141,"@@ -130,7 +130,7 @@ static const character_map_t entityArray[] = {
 // ROE, Erebus1: Intro
 	{ FLICK_TOWER, ""erebus1_intro_scientist_1"" },
 	{ FLICK_MCNEIL, ""erebus1_intro_mcneil_1"" },
-	{ FLICK_MCNEIL, ""erebus1_intro_flash_1"" },
+	{ FLICK_MARINE_TORCH, ""erebus1_intro_flash_1"" },
 	{ FLICK_NONE, ""erebus1_intro_pda_1"" },
 	{ FLICK_MARINE_PDA, ""erebus1_intro_marine1_1"" },
 	{ FLICK_MARINE_TORCH, ""erebus1_intro_marine2_1"" },
@@ -139,6 +139,9 @@ static const character_map_t entityArray[] = {
 	{ FLICK_MARINE_TORCH, ""erebus1_intro_flash_1"" },
 	{ FLICK_BETRUGER, ""maledict_intro_cinematic_1"" },
 	{ FLICK_BETRUGER, ""bet_newreign_speaker"" },
+	//{ FLICK_BETRUGER, ""speaker_284"" }, // laugh 07
+	//{ FLICK_BETRUGER, ""speaker_264"" }, // laugh 08
+	{ FLICK_MCNEIL, ""speaker_273"" }, // (Radio) ""What's going on down there?""
 	{ FLICK_POINT, ""erebus1_cinematic_marine_gravitygun_end_1"" },
 	// ROE, Erebus2: Hunter
 	{ FLICK_BETRUGER, ""speaker_betruger_taunt1"" },
@@ -147,6 +150,11 @@ static const character_map_t entityArray[] = {
 
 // Phobos 2
 	{ FLICK_MCNEIL, ""phobos2_cinematic_mcneil_1"" },
+
+// ROE, Hell
+	{ FLICK_BETRUGER, ""jay_hell_maledict_intro_cinematic_1"" },
+	{ FLICK_BETRUGER, ""maledict_death_cinematic_heart"" },
+	{ FLICK_MCNEIL, ""speaker_289"" },
 	
 };
 
@@ -167,7 +175,7 @@ static const character_map_t shaderArray[] = {
 	{ FLICK_POINT, ""e1_tango_chatter"" },
 	{ FLICK_NONE, ""e1_tango_garbled"" },
 	{ FLICK_MARINE_PDA, ""e1_mchatter_07"" },
-	{ FLICK_NONE, ""e1_mchatter_10"" }, // Look at that.
+	//{ FLICK_NONE, ""e1_mchatter_10"" }, // Look at that.
 	{ FLICK_NONE, ""e1_dscream_03"" },
 
 	// LE
@@ -397,6 +405,11 @@ static const spoken_line_t lineArray[] = {
 	//Voice cpu1_camphunt_campbell_1: camphunt_d:
 	{ ""cpu_campbell_hunt"", ""Where are you hiding?"" },
 
+	// Hellhole
+	//Speaker speaker_240:
+	{ ""sound/vo/hellhole/bet_so_you_made_it"", """" },
+
+
 	// ROE Intro
 	{ ""e1_sci01_thereclose"", ""Dr. McNeil, they're close."" },
 	{ ""e1_sci02_redteam"", """" },
@@ -414,8 +427,11 @@ static const spoken_line_t lineArray[] = {
 	{ ""e1_tango_garbled"", ""We have reached target and are now preparing to secure the area."" },
 	{ ""e1_mcneil_troublewithtransmission"", ""We're having trouble with your transmission. I need that stream brought back online now. Damn it. I can't see a thing."" },
 	//{ ""e1_sci_channel"", ""Frequency deviation in 2 and 3. Request comm channel move, delta 4."" },
+	//Voice erebus1_intro_flash_1: intro_flash_s:
 	{ ""e1_mchatter_08"", ""Go slowly."" },
+	//Voice erebus1_intro_flash_1: intro_flash_u:
 	{ ""e1_mchatter_04"", ""Do you hear that sound?"" },
+	//Voice erebus1_intro_flash_1: intro_flash_v:
 	{ ""e1_mchatter_07"", ""What the hell is that?"" },
 	//Voice2 erebus1_intro_flash_1: intro_flash_w:
 	{ ""e1_mchatter_10"", ""Look at that."" },
@@ -436,6 +452,14 @@ static const spoken_line_t lineArray[] = {
 	//Speaker bet_newreign_speaker:
 	{ ""sound/vo/erebus1/betruger_ournewreign"", ""Our new reign begins now."" },
 
+	// Blood cutscene
+	//Speaker speaker_284:
+	{ ""sound/xian/creepy/betruger_laughs/laugh_07"", """" },
+	//Speaker speaker_264:
+	{ ""sound/xian/creepy/betruger_laughs/laugh_08"", """" },
+	//Speaker speaker_273: (McNeil)
+	{ ""mc_polgergeist"", ""What's going on down there?"" },
+
 	// Grabber cutscene
 	/*
 	//Voice erebus1_cinematic_marine_gravitygun_1: ggun_a:
@@ -472,7 +496,7 @@ static const spoken_line_t lineArray[] = {
 
 	// Erebus2
 	//Speaker speaker_betruger_taunt1:
-	{ ""bet_welcomedeath"", ""Welcome to your death"" }, // actually: ""Welcome to your death, mortal."" but last part is inaudible
+	{ ""bet_welcomedeath"", ""Welcome to your death, mortal."" },
 
 	//Voice2 erebus5_cloud_cinematic_1: e5_cloud_cinematic_a:
 	//{ ""marscity_reception_type"", """" },
@@ -519,6 +543,46 @@ static const spoken_line_t lineArray[] = {
 	//Voice phobos2_cinematic_mcneil_1: mcn_k:
 	{ ""p2_mcneil_meeting3"", ""Take this. You'll need it to get to the pumping station. Now go."" },
 
+	//RoE: Hell Maledict
+	//Voice jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	//{ ""hell_arrival_scream"", ""roar"" },
+	//Voice2 jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	//{ ""hell_awflap_02"", """" },
+	//Voice2 jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	//{ ""hell_awflap_02"", """" },
+	//Voice jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	{ ""xp_maledict_whatdid"", ""What did you hope to accomplish by coming here?"" },
+	//Voice jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	{ ""xp_maledict_mortal2"", ""mortal"" },
+	//Voice2 jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	//{ ""hell_swflap_01"", """" },
+	//Voice jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	{ ""xp_maledict_iwantit"", ""You have something that belongs to me. And I want it."" },
+	//Voice2 jay_hell_maledict_intro_cinematic_1: maledict_intro:
+	//{ ""hell_depart"", """" },
+	//Voice monster_boss_d3xp_maledict_1: charge:
+	//{ ""mal_swoop"", ""roar"" },
+	//Voice2 player1: soft_land:
+	//{ ""player_sounds_fastlanding"", """" },
+	//Voice2 monster_boss_d3xp_maledict_1: forgotten:
+	//{ ""mal_forgotten_summon"", """" }, // sound doesn't exist
+	//Voice monster_boss_d3xp_maledict_1: attack_a:
+	//{ ""mal_scream"", ""roar"" },
+	//Voice monster_boss_d3xp_maledict_1: attack_a:
+	//{ ""mal_fire"", """" },
+	//Voice2 monster_boss_d3xp_maledict_1: attack_a:
+	//{ ""mal_fire"", """" },
+	//Voice monster_boss_d3xp_maledict_1: forgotten:
+	//{ ""mal_forgotten_summon"", """" },
+	//Voice2 monster_boss_d3xp_maledict_1: forgotten:
+	//{ ""mal_forgotten_summon"", """" },
+
+	//Voice maledict_death_cinematic_heart: dragon_heart:
+	{ ""hd_bet_returnwhatisours"", ""Return what is ours."" },
+
+	//Speaker speaker_289:
+	{ ""hell_mcneil_end"", ""Marine, welcome home."" },
+
 	 //Voice enpro_soldier2_1: shot_a:
 	{ ""enpro_move_in"", ""Bravo team. Entry secure. Move in and take positions."" },
 	  //Voice enpro_soldier2_1: shot_c:
@@ -611,7 +675,7 @@ static const spoken_line_t lineArray[] = {
 
 */
 
-
+// The name of the first camera entity in each cutscene. Only used to identify current cutscene.
 static const cutscene_camera_t cameraArray[] = {
 	// Mars City 1
 	{ CUTSCENE_DARKSTAR, ""marscity_cinematic_cam_2"" },
@@ -653,7 +717,8 @@ static const cutscene_camera_t cameraArray[] = {
 	{ CUTSCENE_CPU_BOSS, ""cin_cpu_boss_cam_1"" },
 
 	// Hellhole
-	{ CUTSCENE_ENDING, ""hellhole_cam_3"" },
+	{ CUTSCENE_CYBERDEMON, ""hellhole_cam_3"" },
+	{ CUTSCENE_ENDING, ""func_cameraview_5"" },
 
 	// le_enpro1
 	//{ CUTSCENE_BRAVO_TEAM, ""enpro_exit_cam_a"" },
@@ -950,11 +1015,11 @@ void Flicksync_ResumeCutscene()
 	int character = 0;
 	if (hasPausedLine)
 		character = EntityToCharacter(pausedLine.entity.c_str(), pausedLine.shader);
-	if (character == vr_flicksyncCharacter.GetInteger())
+	if (character && character == vr_flicksyncCharacter.GetInteger())
 	{
 		// we already set CueLine to WaitingLine before calling ResumeCutscene
 		waitingLine = pausedLine;
-		hasWaitingLine = true;
+		hasWaitingLine = hasPausedLine;
 		previousLineName = waitingLine.text;
 		// adjust the start time to start now
 		SYSTEMTIME systime;
@@ -1178,10 +1243,16 @@ void Flicksync_HearLine( const char* line, int confidence, uint64 startTime, uin
 }
 
 // reset score to 0
-void Flicksync_NewGame()
+void Flicksync_NewGame(bool notFlicksync)
 {
 	if (g_debugCinematic.GetBool())
-		gameLocal.Printf(""%d: Flicksync_NewGame()\n"", gameLocal.framenum);
+		gameLocal.Printf(""%d: Flicksync_NewGame(%d)\n"", gameLocal.framenum, notFlicksync);
+	if (notFlicksync)
+	{
+		vr_flicksyncCharacter.SetInteger(0);
+		if (vr_cutscenesOnly.GetInteger() == 1)
+			vr_cutscenesOnly.SetInteger(0);
+	}
 	hasWaitingLine = false;
 	hasPausedLine = false;
 	hasCueLine = false;
@@ -1194,16 +1265,7 @@ void Flicksync_NewGame()
 	Flicksync_CueCardText = """";
 	Flicksync_complete = false;
 	Flicksync_GameOver = false;
-}
-
-void NotFlicksync_NewGame()
-{
-	if (g_debugCinematic.GetBool())
-		gameLocal.Printf(""%d: NotFlicksync_NewGame()\n"", gameLocal.framenum);
-	vr_flicksyncCharacter.SetInteger(0);
-	if (vr_cutscenesOnly.GetInteger() == 1)
-		vr_cutscenesOnly.SetInteger(0);
-	Flicksync_NewGame();
+	Flicksync_skipToCutscene = CUTSCENE_NONE;
 }
 
 bool Flicksync_EndCutscene()
@@ -1226,10 +1288,11 @@ bool Flicksync_EndCutscene()
 	{
 		if (g_debugCinematic.GetBool())
 			gameLocal.Printf(""%d: Flicksync_EndCutscene()\n"", gameLocal.framenum);
-		endAfterPause = false;
 		hasCueLine = false;
 		needCue = false;
-		Flicksync_ResumeCutscene();
+		if (!endAfterPause) // prevent recursion if we were called by ResumeCutscene!
+			Flicksync_ResumeCutscene();
+		endAfterPause = false;
 		lastLineHeard = -1; // empty ring buffer of heard lines
 		Flicksync_CueCardText = """";
 		timescale.SetFloat(1.0f);
@@ -1537,6 +1600,20 @@ void Flicksync_GoToCutscene( t_cutscene scene )
 		relay = gameLocal.FindEntity(""trigger_relay_54"");
 		break;
 
+	case CUTSCENE_CYBERDEMON:
+		relay = gameLocal.FindEntity(""trigger_once_43"");
+		if (relay)
+		{
+			relay->Signal(SIG_TRIGGER);
+			relay->ProcessEvent(&EV_Activate, player);
+			relay->TriggerGuis();
+		}
+		relay = gameLocal.FindEntity(""trigger_once_40"");
+		break;
+	case CUTSCENE_ENDING:
+		relay = gameLocal.FindEntity(""startrescue"");
+		break;
+
 	case CUTSCENE_BLOOD:
 		ent = gameLocal.FindEntity(""trigger_once_56"");
 		break;
@@ -1575,10 +1652,10 @@ void Flicksync_GoToCutscene( t_cutscene scene )
 		ent = gameLocal.FindEntity(""trigger_once_45"");
 		break;
 	case CUTSCENE_HELL_MALEDICT:
-		relay = gameLocal.FindEntity(""jay_intro_trigger_once"");	// broken
+		relay = gameLocal.FindEntity(""jay_intro_trigger_once"");
 		break;
 	case CUTSCENE_HELL_MALEDICT_DEATH:
-		ent = gameLocal.FindEntity(""trigger_once_flyin"");
+		relay = gameLocal.FindEntity(""trigger_once_flyin"");
 		break;
 	}
 
@@ -1652,8 +1729,10 @@ t_cutscene Flicksync_GetNextCutscene()
 	bool player_storyline = c == FLICK_NONE || c == FLICK_PLAYER || c == FLICK_BETRUGER || c == FLICK_RECEPTION || c == FLICK_SARGE;
 
 	// if we're before our first cutscene, go to our first cutscene
-	if (Flicksync_currentCutscene < first && scenes == SCENES_MINEONLY || scenes == SCENES_MYSTART)
+	if (Flicksync_currentCutscene < first && (scenes == SCENES_MINEONLY || scenes == SCENES_MYSTART))
 	{
+		if (g_debugCinematic.GetBool())
+			gameLocal.Printf(""Flicksync_currentCutscene %d < first %d, so next = first\n"", Flicksync_currentCutscene, first);
 		return first;
 	}
 
@@ -1663,6 +1742,7 @@ t_cutscene Flicksync_GetNextCutscene()
 		return CUTSCENE_DARKSTAR;
 	case CUTSCENE_DARKSTAR:
 	case ACTING_BIOSCAN:
+		return CUTSCENE_CYBERDEMON;
 		if (c == FLICK_DARKSTAR && scenes == SCENES_MINEONLY)
 			return CUTSCENE_FLICKSYNC_COMPLETE;
 		else if ( c == FLICK_TOWER && scenes == SCENES_MINEONLY )
@@ -1797,7 +1877,7 @@ t_cutscene Flicksync_GetNextCutscene()
 		return CUTSCENE_DELTA_HKINTRO;
 	case CUTSCENE_DELTA_HKINTRO:
 		if (scenes == SCENES_MINEONLY && c == FLICK_BETRUGER)
-			return CUTSCENE_ARTIFACT;
+			return CUTSCENE_ENDING;
 		else
 			return CUTSCENE_GUARDIAN_INTRO;
 
@@ -1815,8 +1895,10 @@ t_cutscene Flicksync_GetNextCutscene()
 		else
 			return CUTSCENE_CPU_BOSS;
 	case CUTSCENE_CPU_BOSS:
-		return CUTSCENE_ENDING;
+		return CUTSCENE_CYBERDEMON;
 
+	case CUTSCENE_CYBERDEMON:
+		return CUTSCENE_ENDING;
 	case CUTSCENE_ENDING:
 		if (scenes == SCENES_CHAPTER || ((scenes == SCENES_STORYLINE || scenes == SCENES_MINEONLY) && (c == FLICK_SWANN || c == FLICK_CAMPBELL || c == FLICK_SARGE || c == FLICK_BROOKS || c == FLICK_ROLAND || c == FLICK_DARKSTAR || c == FLICK_RECEPTION)))
 			return CUTSCENE_FLICKSYNC_COMPLETE;
@@ -1854,7 +1936,7 @@ t_cutscene Flicksync_GetNextCutscene()
 			return CUTSCENE_HUNTERINTRO;
 	case CUTSCENE_HUNTERINTRO:
 		if (scenes == SCENES_MINEONLY && c == FLICK_BETRUGER)
-			return CUTSCENE_HELL_MALEDICT_DEATH;	// should be CUTSCENE_HELL_MALEDICT, but it's currently broken
+			return CUTSCENE_HELL_MALEDICT;
 		else
 			return CUTSCENE_CLOUD;
 
@@ -1874,7 +1956,10 @@ t_cutscene Flicksync_GetNextCutscene()
 		return CUTSCENE_PHOBOS2;
 
 	case CUTSCENE_PHOBOS2:
-		return CUTSCENE_HELL_MALEDICT_DEATH; // fixme
+		if (c == FLICK_MCNEIL && scenes == SCENES_MINEONLY)
+			return CUTSCENE_HELL_MALEDICT_DEATH;
+		else
+			return CUTSCENE_HELL_MALEDICT;
 
 	case CUTSCENE_HELL_MALEDICT:
 		return CUTSCENE_HELL_MALEDICT_DEATH;"
KozGit/DOOM-3-BFG-VR,82,72ab6001929aa956e6fbacd231eb94552df06d71,neo/vr/FlickSync.h,modified,2,2,4,"@@ -123,6 +123,7 @@ typedef enum
 	CUTSCENE_CPU_BOSS, // Player
 
 	// Hellhole
+	CUTSCENE_CYBERDEMON, // Player
 	CUTSCENE_ENDING, // Player, Rescue Team, Betruger, Swann
 
 	// RoE: Erebus 1
@@ -167,8 +168,7 @@ bool Flicksync_Voice( const char* entity, const char* animation, const char* lin
 void Flicksync_AddVoiceLines();
 void Flicksync_HearLine( const char* line, int confidence, uint64 startTime, uint32 length );
 void Flicksync_StoppedTalking();
-void Flicksync_NewGame();
-void NotFlicksync_NewGame();
+void Flicksync_NewGame(bool notFlicksync);
 bool Flicksync_UseCueCard();
 void Flicksync_Cheat();
 void Flicksync_GiveUp();"
KozGit/DOOM-3-BFG-VR,82,8938cb46939e51c354161f98cef6637606eacee7,neo/d3xp/menus/MenuScreen_Shell_Dev.cpp,modified,3,1,4,"@@ -297,7 +297,9 @@ bool idMenuScreen_Shell_Dev::HandleAction( idWidgetAction& action, const idWidge
 			int mapIndex = options->GetViewIndex();
 			if( ( mapIndex < devOptions.Num() ) && ( devOptions[ mapIndex ].map != NULL ) )
 			{
-				cmdSystem->AppendCommandText( va( ""devmap %s\n"", devOptions[ mapIndex ].map ) );
+				// New game, but don't disable Flicksync if they chose it.
+				Flicksync_NewGame(false);
+				cmdSystem->AppendCommandText(va(""devmap %s\n"", devOptions[mapIndex].map));
 			}
 			
 			return true;"
KozGit/DOOM-3-BFG-VR,82,8938cb46939e51c354161f98cef6637606eacee7,neo/d3xp/menus/MenuScreen_Shell_Difficulty.cpp,modified,1,1,2,"@@ -319,7 +319,7 @@ bool idMenuScreen_Shell_Difficulty::HandleAction( idWidgetAction& action, const
 			idMenuHandler_Shell* shellMgr = dynamic_cast< idMenuHandler_Shell* >( menuData );
 			if( shellMgr )
 			{
-				NotFlicksync_NewGame();
+				Flicksync_NewGame(true);
 				if( type == 0 )
 				{
 					shellMgr->ShowDoomIntro();"
KozGit/DOOM-3-BFG-VR,82,8938cb46939e51c354161f98cef6637606eacee7,neo/d3xp/menus/MenuScreen_Shell_VR_Flicksync.cpp,modified,2,2,4,"@@ -273,8 +273,8 @@ bool idMenuScreen_Shell_VR_Flicksync::HandleAction( idWidgetAction& action, cons
 			switch ( selectionIndex ) {
 			case idMenuDataSource_Shell_VR_Flicksync::FLICKSYNC_FIELD_NEWGAME:
 			{
-				// reset score to 0
-				Flicksync_NewGame();
+				// Reset score to 0, etc. This must be called before setting Flicksync_skipToCutscene.
+				Flicksync_NewGame(false);
 				Flicksync_skipToCutscene = CUTSCENE_NONE;
 				int scenes = vr_flicksyncScenes.GetInteger();
 				int c = vr_flicksyncCharacter.GetInteger();"
KozGit/DOOM-3-BFG-VR,82,8938cb46939e51c354161f98cef6637606eacee7,neo/vr/FlickSync.cpp,modified,14,16,30,"@@ -950,11 +950,11 @@ void Flicksync_ResumeCutscene()
 	int character = 0;
 	if (hasPausedLine)
 		character = EntityToCharacter(pausedLine.entity.c_str(), pausedLine.shader);
-	if (character == vr_flicksyncCharacter.GetInteger())
+	if (character && character == vr_flicksyncCharacter.GetInteger())
 	{
 		// we already set CueLine to WaitingLine before calling ResumeCutscene
 		waitingLine = pausedLine;
-		hasWaitingLine = true;
+		hasWaitingLine = hasPausedLine;
 		previousLineName = waitingLine.text;
 		// adjust the start time to start now
 		SYSTEMTIME systime;
@@ -1178,10 +1178,16 @@ void Flicksync_HearLine( const char* line, int confidence, uint64 startTime, uin
 }
 
 // reset score to 0
-void Flicksync_NewGame()
+void Flicksync_NewGame(bool notFlicksync)
 {
 	if (g_debugCinematic.GetBool())
-		gameLocal.Printf(""%d: Flicksync_NewGame()\n"", gameLocal.framenum);
+		gameLocal.Printf(""%d: Flicksync_NewGame(%d)\n"", gameLocal.framenum, notFlicksync);
+	if (notFlicksync)
+	{
+		vr_flicksyncCharacter.SetInteger(0);
+		if (vr_cutscenesOnly.GetInteger() == 1)
+			vr_cutscenesOnly.SetInteger(0);
+	}
 	hasWaitingLine = false;
 	hasPausedLine = false;
 	hasCueLine = false;
@@ -1194,16 +1200,7 @@ void Flicksync_NewGame()
 	Flicksync_CueCardText = """";
 	Flicksync_complete = false;
 	Flicksync_GameOver = false;
-}
-
-void NotFlicksync_NewGame()
-{
-	if (g_debugCinematic.GetBool())
-		gameLocal.Printf(""%d: NotFlicksync_NewGame()\n"", gameLocal.framenum);
-	vr_flicksyncCharacter.SetInteger(0);
-	if (vr_cutscenesOnly.GetInteger() == 1)
-		vr_cutscenesOnly.SetInteger(0);
-	Flicksync_NewGame();
+	Flicksync_skipToCutscene = CUTSCENE_NONE;
 }
 
 bool Flicksync_EndCutscene()
@@ -1226,10 +1223,11 @@ bool Flicksync_EndCutscene()
 	{
 		if (g_debugCinematic.GetBool())
 			gameLocal.Printf(""%d: Flicksync_EndCutscene()\n"", gameLocal.framenum);
-		endAfterPause = false;
 		hasCueLine = false;
 		needCue = false;
-		Flicksync_ResumeCutscene();
+		if (!endAfterPause) // prevent recursion if we were called by ResumeCutscene!
+			Flicksync_ResumeCutscene();
+		endAfterPause = false;
 		lastLineHeard = -1; // empty ring buffer of heard lines
 		Flicksync_CueCardText = """";
 		timescale.SetFloat(1.0f);"
