repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace/assets/audio/brainstem-v02.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace/assets/audio/cerebellum-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace/assets/audio/medulla-oblongata-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace/assets/audio/pons-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace/index.html,modified,13,5,18,"@@ -58,6 +58,14 @@
         <a-asset-item id=""white-pawn-gltf"" src=""/worlds/COG_MemoryPalace/assets/models/island_2/White_Pawn.glb"" response-type=""arraybuffer"" crossorigin=""anonymous""></a-asset-item>
         <a-asset-item id=""black-pawn-gltf"" src=""/worlds/COG_MemoryPalace/assets/models/island_2/Black_Pawn.glb"" response-type=""arraybuffer"" crossorigin=""anonymous""></a-asset-item>
 
+        <!-- audio -->
+        
+        <!-- narration -->
+        <audio id=""Narr_brainstem-snd"" src=""/worlds/COG_MemoryPalace/assets/audio/brainstem-v02.WAV"" preload=""true""></audio>
+        <audio id=""Narr_cerebellum-snd"" src=""/worlds/COG_MemoryPalace/assets/audio/cerebellum-v01.WAV"" preload=""true""></audio>
+        <audio id=""Narr_medulla-snd"" src=""/worlds/COG_MemoryPalace/assets/audio/medulla-oblongata-v01.WAV"" preload=""true""></audio>
+        <audio id=""Narr_pons-snd"" src=""/worlds/COG_MemoryPalace/assets/audio/pons-v01.WAV"" preload=""true""></audio>
+
         <!-- Circles' built-in assets [REQUIRED] -->
         <circles-assets/>
       </a-assets>
@@ -74,7 +82,7 @@
           <a-entity id=""island_1"" gltf-model=""#island_1_gltf"" circles-sphere-env-map=""src:#skyMap"" shadow=""cast:false; receive:true;""></a-entity>
           
           <a-entity id=""island_1_scene_1_grp"" position=""0 0 3"">
-            <a-entity id=""spine"" position=""0 1 0"" scale=""0.5 0.5 0.5"" gltf-model=""#spinal-cord-gltf"" animation-mixer></a-entity>
+            <a-entity id=""spine"" position=""-0.1 8 0.3"" scale=""0.5 0.5 0.5"" gltf-model=""#spinal-cord-gltf"" animation-mixer></a-entity>
             <a-entity id=""stem"" position=""0 0 4.5"" scale=""0.7 0.7 0.7"" rotation=""0 180 0"" gltf-model=""#stem-gltf""></a-entity>
             <a-entity id=""brain"" position=""0 7 4.5"" scale=""60 60 60"" rotation=""0 -90 0"" gltf-model=""#brain-gltf""></a-entity>
 
@@ -204,7 +212,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Brainstem;
                         description:Located at the base of the brain, the brain stem regulates certain involuntary actions of the body, including heartbeat and breathing.;
-                        label_text:Brain Stem;""></a-entity>
+                        label_text:Brain Stem; audio:#Narr_brainstem-snd; volume:0.4;""></a-entity>
 
       <!-- Island 2 Scene 1 -->
       <a-entity id=""Artefact-Cerebellum""
@@ -215,7 +223,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Cerebellum;
                         description:This part of the brain is responsible for coordinating voluntary movements. It is also responsible for a number of functions including motor skills such as balance, coordination, and posture.;
-                        label_text:Cerebellum;""></a-entity>
+                        label_text:Cerebellum; audio:#Narr_cerebellum-snd; volume:0.4;""></a-entity>
 
       <!-- Island 2 Scene 2 -->
       <a-entity id=""Artefact-Medulla-Oblongata""
@@ -226,7 +234,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Medulla Oblongata;
                         description:The medulla oblongata is responsible for regulating several basic functions of the autonomic nervous system, including respiration, cardiac function, vasodilation, and reflexes like vomiting, coughing, sneezing, and swallowing.;
-                        label_text:Medulla Oblongata;""></a-entity>
+                        label_text:Medulla Oblongata; audio:#Narr_medulla-snd; volume:0.4;""></a-entity>
 
       <!-- Island 2 Scene 3 -->
       <a-entity id=""Artefact-Pons""
@@ -237,7 +245,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Pons;
                         description:Pons is very important part of brain for the regulation and control of a number of vital functions.;
-                        label_text:Pons;""></a-entity>
+                        label_text:Pons; audio:#Narr_pons-snd; volume:0.4;""></a-entity>
 
       <!-- sky and lights -->
       <a-entity id=""lighting_group"">"
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace_LowRes/assets/audio/brainstem-v02.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace_LowRes/assets/audio/cerebellum-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace_LowRes/assets/audio/medulla-oblongata-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace_LowRes/assets/audio/pons-v01.WAV,added,0,0,0,
PlumCantaloupe/circlesxr,161,0a48a2d,src/worlds/COG_MemoryPalace_LowRes/index.html,modified,13,5,18,"@@ -57,6 +57,14 @@
         <a-asset-item id=""white-pawn-gltf"" src=""/worlds/COG_MemoryPalace_LowRes/assets/models/island_2/White_Pawn.glb"" response-type=""arraybuffer"" crossorigin=""anonymous""></a-asset-item>
         <a-asset-item id=""black-pawn-gltf"" src=""/worlds/COG_MemoryPalace_LowRes/assets/models/island_2/Black_Pawn.glb"" response-type=""arraybuffer"" crossorigin=""anonymous""></a-asset-item>
 
+        <!-- audio -->
+        
+        <!-- narration -->
+        <audio id=""Narr_brainstem-snd"" src=""/worlds/COG_MemoryPalace_LowRes/assets/audio/brainstem-v02.WAV"" preload=""true""></audio>
+        <audio id=""Narr_cerebellum-snd"" src=""/worlds/COG_MemoryPalace_LowRes/assets/audio/cerebellum-v01.WAV"" preload=""true""></audio>
+        <audio id=""Narr_medulla-snd"" src=""/worlds/COG_MemoryPalace_LowRes/assets/audio/medulla-oblongata-v01.WAV"" preload=""true""></audio>
+        <audio id=""Narr_pons-snd"" src=""/worlds/COG_MemoryPalace_LowRes/assets/audio/pons-v01.WAV"" preload=""true""></audio>
+
         <!-- Circles' built-in assets [REQUIRED] -->
         <circles-assets/>
       </a-assets>
@@ -73,7 +81,7 @@
           <a-entity id=""island_1"" gltf-model=""#island_1_gltf"" circles-sphere-env-map=""src:#skyMap"" shadow=""cast:false; receive:true;""></a-entity>
 
           <a-entity id=""island_1_scene_1_grp"" position=""0 0 3"">
-            <a-entity id=""spine"" position=""0 1 0"" scale=""0.5 0.5 0.5"" gltf-model=""#spinal-cord-gltf"" animation-mixer></a-entity>
+            <a-entity id=""spine"" position=""-0.1 8 0.3"" scale=""0.5 0.5 0.5"" gltf-model=""#spinal-cord-gltf"" animation-mixer></a-entity>
             <a-entity id=""stem"" position=""0 0 4.5"" scale=""0.7 0.7 0.7"" rotation=""0 180 0"" gltf-model=""#stem-gltf""></a-entity>
             <a-entity id=""brain"" position=""0 5 4.5"" scale=""6 6 6"" rotation=""0 90 0"" gltf-model=""#brain-gltf""></a-entity>
 
@@ -198,7 +206,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Brainstem;
                         description:Located at the base of the brain, the brain stem regulates certain involuntary actions of the body, including heartbeat and breathing.;
-                        label_text:Brain Stem;""></a-entity>
+                        label_text:Brain Stem; audio:#Narr_brainstem-snd; volume:0.4;""></a-entity>
 
       <!-- Island 2 Scene 1 -->
       <a-entity id=""Artefact-Cerebellum""
@@ -209,7 +217,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Cerebellum;
                         description:This part of the brain is responsible for coordinating voluntary movements. It is also responsible for a number of functions including motor skills such as balance, coordination, and posture.;
-                        label_text:Cerebellum;""></a-entity>
+                        label_text:Cerebellum; audio:#Narr_cerebellum-snd; volume:0.4;"" ></a-entity>
 
       <!-- Island 2 Scene 2 -->
       <a-entity id=""Artefact-Medulla-Oblongata""
@@ -220,7 +228,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Medulla Oblongata;
                         description:The medulla oblongata is responsible for regulating several basic functions of the autonomic nervous system, including respiration, cardiac function, vasodilation, and reflexes like vomiting, coughing, sneezing, and swallowing.;
-                        label_text:Medulla Oblongata;""></a-entity>
+                        label_text:Medulla Oblongata; audio:#Narr_medulla-snd; volume:0.4;""></a-entity>
 
       <!-- Island 2 Scene 3 -->
       <a-entity id=""Artefact-Pons""
@@ -231,7 +239,7 @@
                         label_offset:0.0 0.7 0.0; label_visible:true; arrow_position:down;
                         title:The Pons;
                         description:Pons is very important part of brain for the regulation and control of a number of vital functions.;
-                        label_text:Pons;""></a-entity>
+                        label_text:Pons; audio:#Narr_pons-snd; volume:0.4;""></a-entity>
 
       <!-- sky and lights -->
       <a-entity id=""lighting_group"">"
