repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/LaserPointer/VrLaser.cs,modified,7,7,14,"@@ -1,5 +1,5 @@
 ﻿using TwoForksVr.Helpers;
-using TwoForksVr.VrInput;
+using TwoForksVr.VrInput.ActionInputs;
 using UnityEngine;
 using Valve.VR;
 
@@ -8,7 +8,7 @@ namespace TwoForksVr.LaserPointer
     public class VrLaser : MonoBehaviour
     {
         private const float laserLength = 1f;
-        private readonly SteamVR_Action_Boolean inputAction = BindingsManager.ActionSet.Interact;
+        private readonly IActionInput actionInput = ActionInputDefinitions.Interact;
         private bool ignoreNextInput;
 
         private LaserInputModule inputModule;
@@ -61,7 +61,7 @@ private void Update()
 
         private void UpdateLaserParent(SteamVR_Input_Sources inputSource, Transform hand)
         {
-            if (!inputAction.GetStateDown(inputSource) || transform.parent == hand) return;
+            if (!actionInput.GetButtonDown(inputSource) || transform.parent == hand) return;
             ignoreNextInput = true;
             transform.SetParent(hand, false);
         }
@@ -87,13 +87,13 @@ private bool HasCurrentTarget()
         private void UpdateLaserVisibility()
         {
             lineRenderer.enabled =
-                HasCurrentTarget() || BindingsManager.ActionSet.Interact.state;
+                HasCurrentTarget() || ActionInputDefinitions.Interact.AxisValue != 0;
         }
 
         public bool ClickDown()
         {
             if (ignoreNextInput) return false;
-            return inputAction.stateDown;
+            return actionInput.ButtonDown;
         }
 
         public bool ClickUp()
@@ -104,12 +104,12 @@ public bool ClickUp()
                 return false;
             }
 
-            return inputAction.stateUp;
+            return actionInput.ButtonUp;
         }
 
         public bool IsClicking()
         {
-            return inputAction.state;
+            return actionInput.ButtonValue;
         }
     }
 }
\ No newline at end of file"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/Limbs/VrHand.cs,modified,3,3,6,"@@ -1,6 +1,6 @@
 ﻿using TwoForksVr.Assets;
 using TwoForksVr.Helpers;
-using TwoForksVr.VrInput;
+using TwoForksVr.VrInput.ActionInputs;
 using UnityEngine;
 using Valve.VR;
 
@@ -49,12 +49,12 @@ private void SetUpPose()
             if (isLeft)
             {
                 pose.inputSource = SteamVR_Input_Sources.LeftHand;
-                pose.poseAction = BindingsManager.ActionSet.PoseLeftHand;
+                pose.poseAction = ActionInputDefinitions.ActionSet.PoseLeftHand;
             }
             else
             {
                 pose.inputSource = SteamVR_Input_Sources.RightHand;
-                pose.poseAction = BindingsManager.ActionSet.PoseRightHand;
+                pose.poseAction = ActionInputDefinitions.ActionSet.PoseRightHand;
             }
         }
 "
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/Locomotion/TeleportController.cs,modified,5,5,10,"@@ -2,7 +2,7 @@
 using TwoForksVr.Limbs;
 using TwoForksVr.Settings;
 using TwoForksVr.Stage;
-using TwoForksVr.VrInput;
+using TwoForksVr.VrInput.ActionInputs;
 using UnityEngine;
 using Valve.VR;
 
@@ -11,7 +11,7 @@ namespace TwoForksVr.Locomotion
     public class TeleportController : MonoBehaviour
     {
         private const float triggerTeleportSquareDistance = 0.3f;
-        private static readonly SteamVR_Action_Boolean teleportInput = BindingsManager.ActionSet.Teleport;
+        private static readonly IActionInput teleportInput = ActionInputDefinitions.Teleport;
         private VrLimbManager limbManager;
         private vgPlayerNavigationController navigationController;
         private TeleportArc teleportArc;
@@ -36,8 +36,8 @@ public void SetUp(vgPlayerController playerController)
 
         private void Update()
         {
-            if (teleportInput.GetStateDown(SteamVR_Input_Sources.LeftHand)) SetHand(limbManager.LeftHand);
-            if (teleportInput.GetStateDown(SteamVR_Input_Sources.RightHand)) SetHand(limbManager.RightHand);
+            if (teleportInput.GetButtonDown(SteamVR_Input_Sources.LeftHand)) SetHand(limbManager.LeftHand);
+            if (teleportInput.GetButtonDown(SteamVR_Input_Sources.RightHand)) SetHand(limbManager.RightHand);
             UpdateArc();
             UpdatePlayerRotation();
         }
@@ -61,7 +61,7 @@ public bool IsNextToTeleportMarker(Transform objectTransform)
         public bool IsTeleporting()
         {
             return VrSettings.Teleport.Value &&
-                   teleportInput.GetState(SteamVR_Input_Sources.Any) && navigationController &&
+                   teleportInput.ButtonValue && navigationController &&
                    navigationController.enabled && !vgPauseManager.Instance.isPaused;
         }
 "
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/Locomotion/TurningController.cs,modified,4,4,8,"@@ -2,7 +2,7 @@
 using TwoForksVr.Settings;
 using TwoForksVr.Stage;
 using TwoForksVr.VrCamera;
-using TwoForksVr.VrInput;
+using TwoForksVr.VrInput.ActionInputs;
 using UnityEngine;
 
 namespace TwoForksVr.Locomotion
@@ -45,13 +45,13 @@ private void Update()
 
         private void UpdateSnapTurning()
         {
-            if (BindingsManager.ActionSet.SnapTurnLeft.stateDown)
+            if (ActionInputDefinitions.SnapTurnLeft.ButtonDown)
             {
                 stage.FadeToBlack();
                 Invoke(nameof(SnapTurnLeft), FadeOverlay.Duration);
             }
 
-            if (BindingsManager.ActionSet.SnapTurnRight.stateDown)
+            if (ActionInputDefinitions.SnapTurnRight.ButtonDown)
             {
                 stage.FadeToBlack();
                 Invoke(nameof(SnapTurnRight), FadeOverlay.Duration);
@@ -62,7 +62,7 @@ private void UpdateSmoothTurning()
         {
             navigationController.transform.Rotate(
                 Vector3.up,
-                BindingsManager.ActionSet.Rotate.axis.x * smoothRotationSpeed * Time.unscaledDeltaTime);
+                ActionInputDefinitions.RotateX.AxisValue * smoothRotationSpeed * Time.unscaledDeltaTime);
         }
 
         private void SnapTurnLeft()"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/Settings/Patches/SettingsPatches.cs,modified,0,15,15,"@@ -15,13 +15,6 @@ private static void ForceDisableHeadBob(ref bool value)
             value = false;
         }
 
-        [HarmonyPrefix]
-        [HarmonyPatch(typeof(vgSettingsManager), nameof(vgSettingsManager.minimalInterface), MethodType.Setter)]
-        private static void ForceEnableMinimalInterface(ref bool value)
-        {
-            value = true;
-        }
-
         [HarmonyPrefix]
         [HarmonyPatch(typeof(vgSettingsManager), nameof(vgSettingsManager.MotionBlurQuality), MethodType.Setter)]
         private static void ForceNoMotionBlur(ref int value)
@@ -45,13 +38,5 @@ private static bool HideResolutionOptions()
         {
             return false;
         }
-
-        [HarmonyPrefix]
-        [HarmonyPatch(typeof(vgSettingsMenuController), nameof(vgSettingsMenuController.Start))]
-        private static void RemoveControlsTab(vgSettingsMenuController __instance)
-        {
-            __instance.screens.RemoveAt(2);
-            Object.Destroy(__instance.selectionGroup.buttonElements[2].gameObject);
-        }
     }
 }
\ No newline at end of file"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/Tools/ToolPicker.cs,modified,7,7,14,"@@ -1,7 +1,7 @@
 ﻿using System.Collections.Generic;
 using TwoForksVr.Assets;
 using TwoForksVr.Helpers;
-using TwoForksVr.VrInput;
+using TwoForksVr.VrInput.ActionInputs;
 using UnityEngine;
 using Valve.VR;
 
@@ -11,7 +11,7 @@ public class ToolPicker : MonoBehaviour
     {
         private const float minSquareDistance = 0.03f;
 
-        private readonly SteamVR_Action_Boolean input = BindingsManager.ActionSet.ToolPicker;
+        private readonly IActionInput input = ActionInputDefinitions.ToolPicker;
         private ToolPickerItem hoveredTool;
         private Transform leftHand;
         private Transform rightHand;
@@ -41,11 +41,11 @@ private void Start()
 
         private void Update()
         {
-            if (input.GetState(SteamVR_Input_Sources.RightHand)) UpdateSelectedTool(rightHand);
-            if (input.GetState(SteamVR_Input_Sources.LeftHand)) UpdateSelectedTool(leftHand);
-            if (input.GetStateDown(SteamVR_Input_Sources.RightHand)) OpenToolPicker(rightHand);
-            if (input.GetStateDown(SteamVR_Input_Sources.LeftHand)) OpenToolPicker(leftHand);
-            if (input.stateUp) CloseToolPicker();
+            if (input.GetButtonValue(SteamVR_Input_Sources.RightHand)) UpdateSelectedTool(rightHand);
+            if (input.GetButtonValue(SteamVR_Input_Sources.LeftHand)) UpdateSelectedTool(leftHand);
+            if (input.GetButtonDown(SteamVR_Input_Sources.RightHand)) OpenToolPicker(rightHand);
+            if (input.GetButtonDown(SteamVR_Input_Sources.LeftHand)) OpenToolPicker(leftHand);
+            if (input.ButtonUp) CloseToolPicker();
         }
 
         private void SetUpTools()"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/UI/Patches/CanvasToWorldSpacePatches.cs,modified,1,1,2,"@@ -58,7 +58,7 @@ private static void MoveCanvasesToWorldSpace(CanvasScaler __instance)
                 if (canvas.GetComponent<GraphicRaycaster>())
                     AttachedUi.Create<InteractiveUi>(canvas, StageInstance.GetInteractiveUiTarget(), 0.002f);
                 else
-                    AttachedUi.Create<StaticUi>(canvas, StageInstance.GetStaticUiTarget(), 0.0005f);
+                    AttachedUi.Create<StaticUi>(canvas, StageInstance.GetStaticUiTarget(), 0.0004f);
             }
             catch (Exception exception)
             {"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/UI/Patches/SettingsMenuPatches.cs,added,27,0,27,"@@ -0,0 +1,27 @@
+using HarmonyLib;
+using UnityEngine;
+
+// Some of the available game settings don't go well with VR.
+// These patches force some settings to certain values to prevent VR funkyness.
+namespace TwoForksVr.UI.Patches
+{
+    [HarmonyPatch]
+    public class SettingsMenuPatches
+    {
+        [HarmonyPrefix]
+        [HarmonyPatch(typeof(vgSettingsMenuController), nameof(vgSettingsMenuController.Start))]
+        private static void RemoveUnusedSettingsElements(vgSettingsMenuController __instance)
+        {
+            // Rmove control settings screen.
+            __instance.screens.RemoveAt(2);
+
+            // Remove control settings tab.
+            Object.Destroy(__instance.selectionGroup.buttonElements[2].gameObject);
+
+            // Remove one of the tab input prompts.
+            // Since the input prompts have been patched to use VR control names, both of these prompts (left and right)
+            // were saying the same thing (something like ""Right Stick""). So we can remove one of them.
+            __instance.selectionGroup.transform.Find(""ButtonContainer"").GetChild(0).gameObject.SetActive(false);
+        }
+    }
+}
\ No newline at end of file"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/UI/Patches/TutorialPatches.cs,added,70,0,70,"@@ -0,0 +1,70 @@
+using System.Collections.Generic;
+using HarmonyLib;
+using TMPro;
+using TwoForksVr.Helpers;
+using TwoForksVr.VrInput;
+using UnityEngine;
+
+namespace TwoForksVr.UI.Patches
+{
+    [HarmonyPatch]
+    public static class TutorialPatches
+    {
+        private static readonly Dictionary<string, string> tutorialTextMap = new Dictionary<string, string>
+        {
+            {""textRadio"", $""Hold [{VirtualKey.Radio}] to activate radio.""},
+            {""textRadio_select_dialog"", $""[{VirtualKey.ScrollUpDown}] to select dialog.""},
+            {""textUse_radio"", $""Release [{VirtualKey.Radio}] to talk to Delilah.""},
+            {""textInspect_object"", ""Look at hand to inspect objects.""},
+            {""textInspect_object_move"", """"},
+            {""textRadio_object"", $""Aim with hand and hold [{VirtualKey.Radio}] to talk about targeted object.""},
+            {""textJournal_examine"", ""Look at hand to inspect journal.""},
+            {""textJournal_stow"", $""[{VirtualKey.StoreObject}] to keep journal.""},
+            {""textCompass"", $""Hold [{VirtualKey.ToolPicker}] to select compass from tool picker.""},
+            {""textFlashlight"", $""Hold [{VirtualKey.ToolPicker}] to select flashlight from tool picker.""},
+            {""textMap"", $""Hold [{VirtualKey.ToolPicker}] to select map from tool picker.""},
+            {""textJog_toggle"", $""[{VirtualKey.Jog}] to toggle jogging.""},
+            {""textMantle"", $""[{VirtualKey.LocomotionAction}] to climb over obstructions.""},
+            {""textUse_object"", $""Aim with hand and press [{VirtualKey.Use}] to use objects.""},
+            {""textInventory_open"", $""Hold [{VirtualKey.ToolPicker}] to select notes inventory from the tool picker.""},
+            {""textInventory_browse"", ""Use hand laser to browse notes.""},
+            {""textInventory_read"", $""[{VirtualKey.StoreObject}] to store note""},
+            {""textCamera"", $""Hold [{VirtualKey.ToolPicker}] to select camera from tool picker.""},
+            {""textCamera_picture"", $""[{VirtualKey.Use}] to take a picture.""},
+            {""textCamera_lower"", $""Press [{VirtualKey.ToolPicker}] to lower camera.""},
+            {""textWaveReceiver"", $""Hold [{VirtualKey.ToolPicker}] to select wave receiver from tool picker.""},
+            {""textRadio_concept"", $""Hold [{VirtualKey.Radio}] to radio about current subject of interest.""},
+            {""textRadio_heldobject"", $""Hold [{VirtualKey.Radio}] to talk about currently held object.""},
+
+            // There's no zooming in VR. Couldn't figure out an easy way to hide the whole tutorial box,
+            // so I'm just showing the jogging tutorial instead.
+            {""textZoom"", $""[{VirtualKey.Jog}] to toggle jogging.""},
+
+            // Unused tutorial text.
+            {""Text"", """"}
+        };
+
+        [HarmonyPrefix]
+        [HarmonyPatch(typeof(vgHudManager), nameof(vgHudManager.Awake))]
+        private static void SetUpTutorials(vgHudManager __instance)
+        {
+            var tutorialObject =
+                __instance.transform.Find(
+                    ""uGUI Root/HUD/SafeZoner/BottomCenterGroup/TutorialPopup/TutorialPopupParent/TutorialObject"");
+
+            Logs.LogInfo($""Found {tutorialObject.childCount} tutorials"");
+            foreach (Transform child in tutorialObject)
+            {
+                Logs.LogInfo($""{child.name}: {child.GetComponent<TextMeshProUGUI>().text}"");
+                tutorialTextMap.TryGetValue(child.name, out var tutorialString);
+                if (tutorialString == null)
+                {
+                    Logs.LogError($""No tutorial text found for {child.name}"");
+                    continue;
+                }
+
+                child.GetComponent<TextMeshProUGUI>().text = tutorialString;
+            }
+        }
+    }
+}
\ No newline at end of file"
Raicuparta/two-forks-vr,157,46668f87fb07e88a22d8d5e68a6985ffde909e60,TwoForksVr/src/UI/Patches/UIPatches.cs,modified,21,0,21,"@@ -67,5 +67,26 @@ private static void PreventTextFromDrawingOnTop(TextMeshProUGUI __instance)
                 Logs.LogWarning($""Error in TMPro Patch ({__instance.name}): {exception}"");
             }
         }
+
+        [HarmonyPostfix]
+        [HarmonyPatch(typeof(vgHudManager), nameof(vgHudManager.Awake))]
+        private static void HideHudElements(vgHudManager __instance)
+        {
+            __instance.readObjectButtonGroup.transform.parent.Find(""ExamineItem"").gameObject.SetActive(false);
+            __instance.readObjectButtonGroup.SetActive(false);
+
+            // Dummy object is just so the hud manager still has a valid reference after we destroy the object.
+            __instance.readObjectButtonGroup = new GameObject(""Dummy"");
+            __instance.readObjectButtonGroup.transform.SetParent(__instance.transform, false);
+
+            var safeZoner = __instance.transform.Find(""uGUI Root/HUD/SafeZoner"");
+            var reticule = safeZoner.Find(""ReticuleGroup/ReticuleParent/ReticuleCanvasGroup/Reticule"");
+            reticule.GetComponent<Image>().enabled = false;
+            reticule.Find(""ReticuleLarge"").GetComponent<Image>().enabled = false;
+
+            var bottomLeftObjects = safeZoner.Find(""BottomLeftObjects"");
+            bottomLeftObjects.Find(""CompassOnScreenTooltip"").gameObject.SetActive(false);
+            bottomLeftObjects.Find(""MapOnScreenTooltip"").gameObject.SetActive(false);
+        }
     }
 }
\ No newline at end of file"
