repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
ViveSoftware/ViveInputUtility-Unity,16,261dfba,Assets/HTC.UnityPlugin/Pointer3D/Pointer3DInputModule.cs,modified,6,9,15,"@@ -223,15 +223,12 @@ protected void CleanUpRaycaster(Pointer3DRaycaster raycaster)
             if (raycaster == null) { return; }
 
             var hoverEventData = raycaster.HoverEventData;
-            if (hoverEventData == null || raycaster.ButtonEventDataList.Count == 0) { return; }
-
-            hoverEventData.Reset();
 
             // buttons event
             for (int i = 0, imax = raycaster.ButtonEventDataList.Count; i < imax; ++i)
             {
                 var buttonEventData = raycaster.ButtonEventDataList[i];
-                if (buttonEventData == null || buttonEventData == hoverEventData) { continue; }
+                if (buttonEventData == null) { continue; }
 
                 buttonEventData.Reset();
 
@@ -243,9 +240,9 @@ protected void CleanUpRaycaster(Pointer3DRaycaster raycaster)
 
                 if (buttonEventData.pointerEnter != null)
                 {
-                    if (i == 0)
+                    if (buttonEventData == hoverEventData)
                     {
-                        // perform exit event for hover event data
+                        // perform exit event only for hover event data
                         HandlePointerExitAndEnter(buttonEventData, null);
                     }
                     else
@@ -286,9 +283,6 @@ protected virtual void ProcessRaycast()
                 var raycaster = processingRaycasters[i];
                 if (raycaster == null) { continue; }
 
-                var hoverEventData = raycaster.HoverEventData;
-                if (hoverEventData == null || raycaster.ButtonEventDataList.Count == 0) { continue; }
-
                 raycaster.Raycast();
                 var result = raycaster.FirstRaycastResult();
 
@@ -297,6 +291,9 @@ protected virtual void ProcessRaycast()
                 var raycasterPos = raycaster.transform.position;
                 var raycasterRot = raycaster.transform.rotation;
 
+                var hoverEventData = raycaster.HoverEventData;
+                if (hoverEventData == null) { continue; }
+
                 // gen shared data and put in hover event
                 hoverEventData.Reset();
                 hoverEventData.delta = Vector2.zero;"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/Pointer3D/Pointer3DEventData.cs,modified,1,0,1,"@@ -66,6 +66,7 @@ public class Pointer3DEventData : PointerEventData
 
         public float pressDistance;
         public GameObject pressEnter;
+        public bool pressPrecessed;
 
         public Pointer3DEventData(Pointer3DRaycaster ownerRaycaster, EventSystem eventSystem) : base(eventSystem)
         {"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/Pointer3D/Pointer3DInputModule.cs,modified,15,17,32,"@@ -223,29 +223,26 @@ protected void CleanUpRaycaster(Pointer3DRaycaster raycaster)
             if (raycaster == null) { return; }
 
             var hoverEventData = raycaster.HoverEventData;
-            if (hoverEventData == null || raycaster.ButtonEventDataList.Count == 0) { return; }
-
-            hoverEventData.Reset();
 
             // buttons event
             for (int i = 0, imax = raycaster.ButtonEventDataList.Count; i < imax; ++i)
             {
                 var buttonEventData = raycaster.ButtonEventDataList[i];
-                if (buttonEventData == null || buttonEventData == hoverEventData) { continue; }
+                if (buttonEventData == null) { continue; }
 
                 buttonEventData.Reset();
 
-                if (buttonEventData.eligibleForClick)
+                if (buttonEventData.pressPrecessed)
                 {
                     ProcessPressUp(buttonEventData);
                     HandlePressExitAndEnter(buttonEventData, null);
                 }
 
                 if (buttonEventData.pointerEnter != null)
                 {
-                    if (i == 0)
+                    if (buttonEventData == hoverEventData)
                     {
-                        // perform exit event for hover event data
+                        // perform exit event only for hover event data
                         HandlePointerExitAndEnter(buttonEventData, null);
                     }
                     else
@@ -286,9 +283,6 @@ protected virtual void ProcessRaycast()
                 var raycaster = processingRaycasters[i];
                 if (raycaster == null) { continue; }
 
-                var hoverEventData = raycaster.HoverEventData;
-                if(hoverEventData == null || raycaster.ButtonEventDataList.Count == 0) { continue; }
-
                 raycaster.Raycast();
                 var result = raycaster.FirstRaycastResult();
 
@@ -297,6 +291,9 @@ protected virtual void ProcessRaycast()
                 var raycasterPos = raycaster.transform.position;
                 var raycasterRot = raycaster.transform.rotation;
 
+                var hoverEventData = raycaster.HoverEventData;
+                if (hoverEventData == null) { continue; }
+
                 // gen shared data and put in hover event
                 hoverEventData.Reset();
                 hoverEventData.delta = Vector2.zero;
@@ -384,17 +381,16 @@ protected virtual void ProcessMove(PointerEventData eventData)
 
         protected virtual void ProcessPress(Pointer3DEventData eventData)
         {
-            if (eventData.GetPressDown())
-            {
-                ProcessPressDown(eventData);
-            }
-
             if (eventData.GetPress())
             {
+                if (!eventData.pressPrecessed)
+                {
+                    ProcessPressDown(eventData);
+                }
+
                 HandlePressExitAndEnter(eventData, eventData.pointerCurrentRaycast.gameObject);
             }
-
-            if (eventData.GetPressUp())
+            else if (eventData.pressPrecessed)
             {
                 ProcessPressUp(eventData);
                 HandlePressExitAndEnter(eventData, null);
@@ -405,6 +401,7 @@ protected void ProcessPressDown(Pointer3DEventData eventData)
         {
             var currentOverGo = eventData.pointerCurrentRaycast.gameObject;
 
+            eventData.pressPrecessed = true;
             eventData.eligibleForClick = true;
             eventData.delta = Vector2.zero;
             eventData.dragging = false;
@@ -481,6 +478,7 @@ protected void ProcessPressUp(Pointer3DEventData eventData)
                 ExecuteEvents.ExecuteHierarchy(currentOverGo, eventData, ExecuteEvents.dropHandler);
             }
 
+            eventData.pressPrecessed = false;
             eventData.eligibleForClick = false;
             eventData.pointerPress = null;
             eventData.rawPointerPress = null;"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/Base/BasePoseModifier.cs,modified,6,1,7,"@@ -1,5 +1,7 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
+using System;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -49,6 +51,9 @@ protected virtual void OnDestroy()
             baseTracker.RemoveModifier(this);
         }
 
-        public abstract void ModifyPose(ref Pose pose, Transform origin);
+        [Obsolete]
+        public virtual void ModifyPose(ref Pose pose, Transform origin) { }
+
+        public virtual void ModifyPose(ref RigidPose pose, Transform origin) { }
     }
 }
\ No newline at end of file"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/Base/BasePoseTracker.cs,modified,17,2,19,"@@ -1,6 +1,7 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
 using HTC.UnityPlugin.Utility;
+using System;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -38,14 +39,28 @@ public bool RemoveModifier(IPoseModifier obj)
             return modifierSet == null ? false : modifierSet.Remove(obj);
         }
 
+        [Obsolete]
         protected void TrackPose(Pose pose, Transform origin = null)
         {
-            pose = pose * new Pose(posOffset, Quaternion.Euler(rotOffset));
+            TrackPose((RigidPose)pose, origin);
+        }
+
+        protected void TrackPose(RigidPose pose, Transform origin = null)
+        {
+            pose = pose * new RigidPose(posOffset, Quaternion.Euler(rotOffset));
             ModifyPose(ref pose, origin);
-            Pose.SetPose(transform, pose, origin);
+            RigidPose.SetPose(transform, pose, origin);
         }
 
+        [Obsolete]
         protected void ModifyPose(ref Pose pose, Transform origin)
+        {
+            var rigidPose = (RigidPose)pose;
+            ModifyPose(ref rigidPose, origin);
+            pose = rigidPose;
+        }
+
+        protected void ModifyPose(ref RigidPose pose, Transform origin)
         {
             if (modifierSet == null) { return; }
 "
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/Base/IPoseModifier.cs,modified,4,0,4,"@@ -1,5 +1,7 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
+using System;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -8,6 +10,8 @@ public interface IPoseModifier
     {
         bool enabled { get; }
         int priority { get; set; }
+        [Obsolete]
         void ModifyPose(ref Pose pose, Transform origin);
+        void ModifyPose(ref RigidPose pose, Transform origin);
     }
 }
\ No newline at end of file"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/Pose.cs,modified,12,0,12,"@@ -1,5 +1,6 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
 using System;
 using UnityEngine;
 
@@ -8,6 +9,7 @@ namespace HTC.UnityPlugin.PoseTracker
     /// <summary>
     /// Describe a pose by position and rotation
     /// </summary>
+    [Obsolete(""Use HTC.UnityPlugin.Utility.RigidPose instead"")]
     [Serializable]
     public struct Pose
     {
@@ -192,6 +194,16 @@ public static Pose FromToPose(Pose from, Pose to)
             return new Pose(invRot * (to.pos - from.pos), invRot * to.rot);
         }
 
+        public static implicit operator RigidPose(Pose v)
+        {
+            return new RigidPose(v.pos, v.rot);
+        }
+
+        public static implicit operator Pose(RigidPose v)
+        {
+            return new Pose(v.pos, v.rot);
+        }
+
         public override string ToString()
         {
             return ""p"" + pos.ToString() + ""r"" + rot.ToString();"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/PoseModifiers/PoseEaser.cs,modified,4,3,7,"@@ -1,5 +1,6 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -18,7 +19,7 @@ public class PoseEaser : BasePoseModifier
         public float duration = 0.15f;
 
         private bool firstPose = true;
-        private Pose prevPose;
+        private RigidPose prevPose;
 
         public bool easePositionX = true;
         public bool easePositionY = true;
@@ -34,7 +35,7 @@ protected override void OnEnable()
             ResetFirstPose();
         }
 
-        public override void ModifyPose(ref Pose pose, Transform origin)
+        public override void ModifyPose(ref RigidPose pose, Transform origin)
         {
             if (firstPose)
             {
@@ -45,7 +46,7 @@ public override void ModifyPose(ref Pose pose, Transform origin)
                 var deltaTime = Time.unscaledDeltaTime;
                 if (deltaTime < duration)
                 {
-                    var easedPose = Pose.Lerp(prevPose, pose, curve.Evaluate(deltaTime / duration));
+                    var easedPose = RigidPose.Lerp(prevPose, pose, curve.Evaluate(deltaTime / duration));
 
                     if (!easePositionX || !easePositionY || !easePositionZ)
                     {"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/PoseModifiers/PoseFreezer.cs,modified,2,1,3,"@@ -1,5 +1,6 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -15,7 +16,7 @@ public class PoseFreezer : BasePoseModifier
         public bool freezeRotationY = false;
         public bool freezeRotationZ = true;
 
-        public override void ModifyPose(ref Pose pose, Transform origin)
+        public override void ModifyPose(ref RigidPose pose, Transform origin)
         {
             Vector3 freezePos;
             Vector3 freezeEuler;"
ViveSoftware/ViveInputUtility-Unity,16,d7c3642,Assets/HTC.UnityPlugin/PoseTracker/PoseModifiers/PoseStablizer.cs,modified,3,2,5,"@@ -1,5 +1,6 @@
 ﻿//========= Copyright 2016-2017, HTC Corporation. All rights reserved. ===========
 
+using HTC.UnityPlugin.Utility;
 using UnityEngine;
 
 namespace HTC.UnityPlugin.PoseTracker
@@ -11,15 +12,15 @@ public class PoseStablizer : BasePoseModifier
         public float rotationThreshold = 0.5f; // degree
 
         private bool firstPose = true;
-        private Pose prevPose;
+        private RigidPose prevPose;
 
         protected override void OnEnable()
         {
             base.OnEnable();
             ResetFirstPose();
         }
 
-        public override void ModifyPose(ref Pose pose, Transform origin)
+        public override void ModifyPose(ref RigidPose pose, Transform origin)
         {
             if (firstPose)
             {"
