repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Prefabs/Core/_SceneEssentials.prefab,modified,20,4,24,"@@ -467,7 +467,6 @@ MonoBehaviour:
   m_Name: 
   m_EditorClassIdentifier: 
   VRRig: {fileID: 6826848587015489432, guid: db551c4eeae27cd4990850962a0520c1, type: 3}
-  NoVRRig: {fileID: 7141498048079031363, guid: f377d58bd7dad7d40ad2d131fe5d1cc7, type: 3}
 --- !u!114 &8579259303771053379
 MonoBehaviour:
   m_ObjectHideFlags: 0
@@ -541,7 +540,6 @@ MonoBehaviour:
   m_Name: 
   m_EditorClassIdentifier: 
   ServerPortPublic: 0
-  VoicePortPublic: 0
   MetadataPortPublic: 0
 --- !u!114 &3248231206936911695
 MonoBehaviour:
@@ -567,8 +565,8 @@ MonoBehaviour:
   m_Script: {fileID: 11500000, guid: 7c4e98886e2fe1d4fb7f78a081f2dd37, type: 3}
   m_Name: 
   m_EditorClassIdentifier: 
-  VelocityMax: 1
-  TweenSpeed: 4
+  VelocityMax: 2
+  BlinderDuration: 0.25
 --- !u!1 &7448129529993753624
 GameObject:
   m_ObjectHideFlags: 0
@@ -579,6 +577,7 @@ GameObject:
   m_Component:
   - component: {fileID: 7901005600927052135}
   - component: {fileID: 2080942963606435369}
+  - component: {fileID: 1521499745215199519}
   m_Layer: 0
   m_Name: Global Volume
   m_TagString: Untagged
@@ -618,3 +617,20 @@ MonoBehaviour:
   blendDistance: 0
   weight: 0
   sharedProfile: {fileID: 11400000, guid: a6560a915ef98420e9faacc1c7438823, type: 2}
+--- !u!114 &1521499745215199519
+MonoBehaviour:
+  m_ObjectHideFlags: 0
+  m_CorrespondingSourceObject: {fileID: 0}
+  m_PrefabInstance: {fileID: 0}
+  m_PrefabAsset: {fileID: 0}
+  m_GameObject: {fileID: 7448129529993753624}
+  m_Enabled: 1
+  m_EditorHideFlags: 0
+  m_Script: {fileID: 11500000, guid: 172515602e62fb746b5d573b38a5fe58, type: 3}
+  m_Name: 
+  m_EditorClassIdentifier: 
+  m_IsGlobal: 1
+  priority: 0
+  blendDistance: 0
+  weight: 0
+  sharedProfile: {fileID: 11400000, guid: b3d01f440f8364b47833e744df141d52, type: 2}"
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Scripts/Core/Base/Utils.cs,modified,19,0,19,"@@ -145,6 +145,25 @@ public static string GetUIDFPEncoding(UIDRepresentation fpmodeSet)
             };
         }
 
+        /// <summary>
+        /// Advances the tweened value towards the target value with the given timespan
+        /// </summary>
+        /// <param name=""current"">The current value, normalized</param>
+        /// <param name=""target"">The targeet value, normalized</param>
+        /// <param name=""duration"">How many seconds to take it across the whole scale</param>
+        public static void Tween(ref float current, float target, float duration)
+        {
+            if (duration == 0) // That would not be tweening, but rather setting the value.
+            {
+                current = target;
+                return;
+            }
+
+            if (target > current) current += Time.deltaTime / duration;
+            if (target < current) current -= Time.deltaTime / duration;
+            current = Mathf.Clamp01(current);
+        }
+
         /// <summary>
         /// Determine if you are able to do the action in the question (to the targeted user)
         /// </summary>"
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Scripts/XR/XRVisualConfigurator.cs,modified,15,12,27,"@@ -14,22 +14,27 @@ namespace Arteranos.XR
 {
     public class XRVisualConfigurator : MonoBehaviour
     {
-        // The required speed (1m/s) to fully close the shutters (or rather to fully use the effects)
-        [SerializeField] private float VelocityMax = 1.0f;
+        // The required speed (2m/s) to fully close the shutters (or rather to fully use the effects)
+        [SerializeField] private float VelocityMax = 2.0f;
 
         // 1/4th of a second to close/open the shutters
-        [SerializeField] private float TweenSpeed = 4.0f;
+        [SerializeField] private float BlinderDuration = 0.25f;
 
         private Vector3 pos = Vector3.zero;
         private float BlindersMaxValue = 0.0f;
+        private float BlinderStrength = 0.0f;
+        private Volume BlinderVolume;
 
-        private float TweenedD = 0.0f;
-
-        private Volume vol;
+        private float FadeTargetStrength = 0.0f;
+        private float FadeDuration = 0.0f;
+        private float FadeStrength = 0.0f;
+        private Volume FaderVolume;
 
         void Start()
         {
-            vol = GetComponentInChildren<Volume>();
+            Volume[] volumes = GetComponentsInChildren<Volume>();
+            BlinderVolume = volumes[0];
+            FaderVolume = volumes[1];
 
             SettingsManager.Client.OnXRControllerChanged += DownloadControlSettings;
             SettingsManager.Client.PingXRControllersChanged();
@@ -47,15 +52,13 @@ void Update()
             d = Mathf.Clamp01(d / VelocityMax);
             pos = t.position;
 
-            if(d > TweenedD) TweenedD += TweenSpeed * Time.deltaTime;
-            if(d < TweenedD) TweenedD -= TweenSpeed * Time.deltaTime;
-            TweenedD = Mathf.Clamp01(TweenedD);
+            Utils.Tween(ref BlinderStrength, d, BlinderDuration);
 
             // Too much hassle to pick out the vignette. Just use the whole global volume.
-            if(vol != null) vol.weight = TweenedD * BlindersMaxValue;
+            if(BlinderVolume != null) BlinderVolume.weight = BlinderStrength * BlindersMaxValue;
         }
 
-        private void OnDestroy() => SettingsManager.Client.OnXRControllerChanged += DownloadControlSettings;
+        private void OnDestroy() => SettingsManager.Client.OnXRControllerChanged -= DownloadControlSettings;
 
         private void DownloadControlSettings(ControlSettingsJSON ccs, MovementSettingsJSON mcs)
         {"
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Settings/BlindersSceneProfile.asset,added,44,0,44,"@@ -0,0 +1,44 @@
+%YAML 1.1
+%TAG !u! tag:unity3d.com,2011:
+--- !u!114 &-7011558710299706105
+MonoBehaviour:
+  m_ObjectHideFlags: 3
+  m_CorrespondingSourceObject: {fileID: 0}
+  m_PrefabInstance: {fileID: 0}
+  m_PrefabAsset: {fileID: 0}
+  m_GameObject: {fileID: 0}
+  m_Enabled: 1
+  m_EditorHideFlags: 0
+  m_Script: {fileID: 11500000, guid: 899c54efeace73346a0a16faa3afe726, type: 3}
+  m_Name: Vignette
+  m_EditorClassIdentifier: 
+  active: 1
+  color:
+    m_OverrideState: 0
+    m_Value: {r: 0, g: 0, b: 0, a: 1}
+  center:
+    m_OverrideState: 0
+    m_Value: {x: 0.5, y: 0.5}
+  intensity:
+    m_OverrideState: 1
+    m_Value: 1
+  smoothness:
+    m_OverrideState: 1
+    m_Value: 1
+  rounded:
+    m_OverrideState: 1
+    m_Value: 1
+--- !u!114 &11400000
+MonoBehaviour:
+  m_ObjectHideFlags: 0
+  m_CorrespondingSourceObject: {fileID: 0}
+  m_PrefabInstance: {fileID: 0}
+  m_PrefabAsset: {fileID: 0}
+  m_GameObject: {fileID: 0}
+  m_Enabled: 1
+  m_EditorHideFlags: 0
+  m_Script: {fileID: 11500000, guid: d7fd9488000d3734a9e00ee676215985, type: 3}
+  m_Name: BlindersSceneProfile
+  m_EditorClassIdentifier: 
+  components:
+  - {fileID: -7011558710299706105}"
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Settings/BlindersSceneProfile.asset.meta,renamed,0,0,0,
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Settings/FaderSceneProfile.asset,added,44,0,44,"@@ -0,0 +1,44 @@
+%YAML 1.1
+%TAG !u! tag:unity3d.com,2011:
+--- !u!114 &11400000
+MonoBehaviour:
+  m_ObjectHideFlags: 0
+  m_CorrespondingSourceObject: {fileID: 0}
+  m_PrefabInstance: {fileID: 0}
+  m_PrefabAsset: {fileID: 0}
+  m_GameObject: {fileID: 0}
+  m_Enabled: 1
+  m_EditorHideFlags: 0
+  m_Script: {fileID: 11500000, guid: d7fd9488000d3734a9e00ee676215985, type: 3}
+  m_Name: FaderSceneProfile
+  m_EditorClassIdentifier: 
+  components:
+  - {fileID: 947402647647805138}
+--- !u!114 &947402647647805138
+MonoBehaviour:
+  m_ObjectHideFlags: 3
+  m_CorrespondingSourceObject: {fileID: 0}
+  m_PrefabInstance: {fileID: 0}
+  m_PrefabAsset: {fileID: 0}
+  m_GameObject: {fileID: 0}
+  m_Enabled: 1
+  m_EditorHideFlags: 0
+  m_Script: {fileID: 11500000, guid: 66f335fb1ffd8684294ad653bf1c7564, type: 3}
+  m_Name: ColorAdjustments
+  m_EditorClassIdentifier: 
+  active: 1
+  postExposure:
+    m_OverrideState: 0
+    m_Value: 0
+  contrast:
+    m_OverrideState: 0
+    m_Value: 0
+  colorFilter:
+    m_OverrideState: 1
+    m_Value: {r: 0, g: 0, b: 0, a: 1}
+  hueShift:
+    m_OverrideState: 0
+    m_Value: 0
+  saturation:
+    m_OverrideState: 0
+    m_Value: 0"
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Settings/FaderSceneProfile.asset.meta,added,8,0,8,"@@ -0,0 +1,8 @@
+fileFormatVersion: 2
+guid: b3d01f440f8364b47833e744df141d52
+NativeFormatImporter:
+  externalObjects: {}
+  mainObjectFileID: 11400000
+  userData: 
+  assetBundleName: 
+  assetBundleVariant: "
arteranos/Arteranos,69,80769a6,Assets/Arteranos/Settings/SampleSceneProfile.asset,removed,0,103,103,"@@ -1,103 +0,0 @@
-%YAML 1.1
-%TAG !u! tag:unity3d.com,2011:
---- !u!114 &-7893295128165547882
-MonoBehaviour:
-  m_ObjectHideFlags: 3
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 0}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 0b2db86121404754db890f4c8dfe81b2, type: 3}
-  m_Name: Bloom
-  m_EditorClassIdentifier: 
-  active: 0
-  threshold:
-    m_OverrideState: 1
-    m_Value: 1
-  intensity:
-    m_OverrideState: 1
-    m_Value: 1
-  scatter:
-    m_OverrideState: 0
-    m_Value: 0.7
-  clamp:
-    m_OverrideState: 0
-    m_Value: 65472
-  tint:
-    m_OverrideState: 0
-    m_Value: {r: 1, g: 1, b: 1, a: 1}
-  highQualityFiltering:
-    m_OverrideState: 0
-    m_Value: 0
-  skipIterations:
-    m_OverrideState: 0
-    m_Value: 1
-  dirtTexture:
-    m_OverrideState: 0
-    m_Value: {fileID: 0}
-    dimension: 1
-  dirtIntensity:
-    m_OverrideState: 0
-    m_Value: 0
---- !u!114 &-7011558710299706105
-MonoBehaviour:
-  m_ObjectHideFlags: 3
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 0}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 899c54efeace73346a0a16faa3afe726, type: 3}
-  m_Name: Vignette
-  m_EditorClassIdentifier: 
-  active: 1
-  color:
-    m_OverrideState: 0
-    m_Value: {r: 0, g: 0, b: 0, a: 1}
-  center:
-    m_OverrideState: 0
-    m_Value: {x: 0.5, y: 0.5}
-  intensity:
-    m_OverrideState: 1
-    m_Value: 1
-  smoothness:
-    m_OverrideState: 1
-    m_Value: 1
-  rounded:
-    m_OverrideState: 1
-    m_Value: 1
---- !u!114 &11400000
-MonoBehaviour:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 0}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: d7fd9488000d3734a9e00ee676215985, type: 3}
-  m_Name: SampleSceneProfile
-  m_EditorClassIdentifier: 
-  components:
-  - {fileID: 849379129802519247}
-  - {fileID: -7893295128165547882}
-  - {fileID: -7011558710299706105}
---- !u!114 &849379129802519247
-MonoBehaviour:
-  m_ObjectHideFlags: 3
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 0}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 97c23e3b12dc18c42a140437e53d3951, type: 3}
-  m_Name: Tonemapping
-  m_EditorClassIdentifier: 
-  active: 0
-  mode:
-    m_OverrideState: 1
-    m_Value: 1"
arteranos/Arteranos,69,f10b969,Assets/Arteranos/Prefabs/Core/_ScreenFader.prefab,removed,0,188,188,"@@ -1,188 +0,0 @@
-%YAML 1.1
-%TAG !u! tag:unity3d.com,2011:
---- !u!1 &8215810771943107311
-GameObject:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  serializedVersion: 6
-  m_Component:
-  - component: {fileID: 8215810771943107310}
-  - component: {fileID: 8215810771943107308}
-  - component: {fileID: 8215810771943107309}
-  m_Layer: 5
-  m_Name: Image
-  m_TagString: Untagged
-  m_Icon: {fileID: 0}
-  m_NavMeshLayer: 0
-  m_StaticEditorFlags: 0
-  m_IsActive: 1
---- !u!224 &8215810771943107310
-RectTransform:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810771943107311}
-  m_LocalRotation: {x: 0, y: 0, z: 0, w: 1}
-  m_LocalPosition: {x: 0, y: 0, z: 0}
-  m_LocalScale: {x: 1, y: 1, z: 1}
-  m_ConstrainProportionsScale: 0
-  m_Children: []
-  m_Father: {fileID: 8215810773308470417}
-  m_RootOrder: 0
-  m_LocalEulerAnglesHint: {x: 0, y: 0, z: 0}
-  m_AnchorMin: {x: 0, y: 0}
-  m_AnchorMax: {x: 1, y: 1}
-  m_AnchoredPosition: {x: 0, y: 0}
-  m_SizeDelta: {x: 0, y: 0}
-  m_Pivot: {x: 0.5, y: 0.5}
---- !u!222 &8215810771943107308
-CanvasRenderer:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810771943107311}
-  m_CullTransparentMesh: 1
---- !u!114 &8215810771943107309
-MonoBehaviour:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810771943107311}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: fe87c0e1cc204ed48ad3b37840f39efc, type: 3}
-  m_Name: 
-  m_EditorClassIdentifier: 
-  m_Material: {fileID: 0}
-  m_Color: {r: 0, g: 0, b: 0, a: 1}
-  m_RaycastTarget: 1
-  m_RaycastPadding: {x: 0, y: 0, z: 0, w: 0}
-  m_Maskable: 1
-  m_OnCullStateChanged:
-    m_PersistentCalls:
-      m_Calls: []
-  m_Sprite: {fileID: 0}
-  m_Type: 0
-  m_PreserveAspect: 0
-  m_FillCenter: 1
-  m_FillMethod: 4
-  m_FillAmount: 1
-  m_FillClockwise: 1
-  m_FillOrigin: 0
-  m_UseSpriteMesh: 0
-  m_PixelsPerUnitMultiplier: 1
---- !u!1 &8215810773308470421
-GameObject:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  serializedVersion: 6
-  m_Component:
-  - component: {fileID: 8215810773308470417}
-  - component: {fileID: 8215810773308470418}
-  - component: {fileID: 8215810773308470419}
-  - component: {fileID: 8215810773308470416}
-  - component: {fileID: 8215810773308470431}
-  m_Layer: 5
-  m_Name: _ScreenFader
-  m_TagString: Untagged
-  m_Icon: {fileID: 0}
-  m_NavMeshLayer: 0
-  m_StaticEditorFlags: 0
-  m_IsActive: 1
---- !u!224 &8215810773308470417
-RectTransform:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810773308470421}
-  m_LocalRotation: {x: 0, y: 0, z: 0, w: 1}
-  m_LocalPosition: {x: 0, y: 0, z: 0}
-  m_LocalScale: {x: 0, y: 0, z: 0}
-  m_ConstrainProportionsScale: 0
-  m_Children:
-  - {fileID: 8215810771943107310}
-  m_Father: {fileID: 0}
-  m_RootOrder: 0
-  m_LocalEulerAnglesHint: {x: 0, y: 0, z: 0}
-  m_AnchorMin: {x: 0, y: 0}
-  m_AnchorMax: {x: 0, y: 0}
-  m_AnchoredPosition: {x: 0, y: 0}
-  m_SizeDelta: {x: 0, y: 0}
-  m_Pivot: {x: 0, y: 0}
---- !u!223 &8215810773308470418
-Canvas:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810773308470421}
-  m_Enabled: 1
-  serializedVersion: 3
-  m_RenderMode: 0
-  m_Camera: {fileID: 0}
-  m_PlaneDistance: 100
-  m_PixelPerfect: 0
-  m_ReceivesEvents: 1
-  m_OverrideSorting: 0
-  m_OverridePixelPerfect: 0
-  m_SortingBucketNormalizedSize: 0
-  m_AdditionalShaderChannelsFlag: 0
-  m_SortingLayerID: 0
-  m_SortingOrder: 0
-  m_TargetDisplay: 0
---- !u!114 &8215810773308470419
-MonoBehaviour:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810773308470421}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 0cd44c1031e13a943bb63640046fad76, type: 3}
-  m_Name: 
-  m_EditorClassIdentifier: 
-  m_UiScaleMode: 1
-  m_ReferencePixelsPerUnit: 100
-  m_ScaleFactor: 1
-  m_ReferenceResolution: {x: 1920, y: 1080}
-  m_ScreenMatchMode: 0
-  m_MatchWidthOrHeight: 0
-  m_PhysicalUnit: 3
-  m_FallbackScreenDPI: 96
-  m_DefaultSpriteDPI: 96
-  m_DynamicPixelsPerUnit: 1
-  m_PresetInfoIsWorld: 0
---- !u!114 &8215810773308470416
-MonoBehaviour:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810773308470421}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 504c971a29732eb4eb888fcb0f455b49, type: 3}
-  m_Name: 
-  m_EditorClassIdentifier: 
---- !u!114 &8215810773308470431
-MonoBehaviour:
-  m_ObjectHideFlags: 0
-  m_CorrespondingSourceObject: {fileID: 0}
-  m_PrefabInstance: {fileID: 0}
-  m_PrefabAsset: {fileID: 0}
-  m_GameObject: {fileID: 8215810773308470421}
-  m_Enabled: 1
-  m_EditorHideFlags: 0
-  m_Script: {fileID: 11500000, guid: 6fcd9f4d05a87e84ca83b209e68c9606, type: 3}
-  m_Name: 
-  m_EditorClassIdentifier: 
-  faderImage: {fileID: 8215810771943107309}"
arteranos/Arteranos,69,f10b969,Assets/Arteranos/Prefabs/Core/_ScreenFader.prefab.meta,removed,0,7,7,"@@ -1,7 +0,0 @@
-fileFormatVersion: 2
-guid: ae8bacc42fbc8894aa444001ac59d796
-PrefabImporter:
-  externalObjects: {}
-  userData: 
-  assetBundleName: 
-  assetBundleVariant: "
