repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/animation/index.html,modified,2,2,4,"@@ -9,9 +9,9 @@
   <body>
     <a-scene>
       <!-- Player -->
-      <a-entity camera
+      <a-entity camera=""userHeight: 1.6""
                 universal-controls
-                position=""0 1.764 4"">
+                position=""0 0 5"">
       </a-entity>
 
       <!-- Animation"
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/bumpmap/index.html,modified,2,2,4,"@@ -10,9 +10,9 @@
     <a-scene>
 
       <!-- Player -->
-      <a-entity camera
+      <a-entity camera=""userHeight: 1.6""
                 universal-controls
-                position=""0 1 4""
+                position=""0 0 4""
       ></a-entity>
 
       <!-- With bumpmap -->"
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/checkpoints/index.html,modified,8,8,16,"@@ -14,14 +14,14 @@
       </a-assets>
 
       <!-- Player -->
-      <a-entity camera
-                universal-controls=""movementControls: checkpoint""
-                checkpoint-controls=""mode: animate""
-                position=""0 1.764 0"">
-        <a-entity cursor=""maxDistance: 30""
-                  position=""0 0 -1""
-                  geometry=""primitive: ring; radiusInner: 0.02; radiusOuter: 0.03;""
-                  material=""color: #CCC; shader: flat;"">
+      <a-entity universal-controls=""movementControls: checkpoint""
+                checkpoint-controls=""mode: animate"">
+        <a-entity camera=""userHeight: 1.6"">
+          <a-entity cursor=""maxDistance: 30""
+                    position=""0 0 -1""
+                    geometry=""primitive: ring; radiusInner: 0.02; radiusOuter: 0.03;""
+                    material=""color: #CCC; shader: flat;"">
+          </a-entity>
         </a-entity>
       </a-entity>
 "
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/force-push/index.html,modified,2,3,5,"@@ -144,10 +144,9 @@
   <body>
     <a-scene rain-of-entities force-float=""selector: [force-pushable]"">
       <!-- Player -->
-      <a-entity camera
+      <a-entity camera=""userHeight: 1.6""
                 universal-controls=""movementEnabled: false""
-                kinematic-body
-                position=""0 1.764 0"">
+                kinematic-body>
         <a-entity cursor=""maxDistance: 75""
                   position=""0 0 -1""
                   geometry=""primitive: circle; radius: 0.01; segments: 4;"""
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/island/index.html,modified,1,1,2,"@@ -9,7 +9,7 @@
   <body>
     <a-scene>
       <!-- Camera -->
-      <a-entity camera universal-controls position=""3 5 -10""></a-entity>
+      <a-entity camera=""userHeight: 1.6"" universal-controls position=""3 3.4 -10""></a-entity>
 
       <!-- Island - Made in MagicaVoxel. -->
       <a-entity rotation=""-90 0 0"" scale=""0.3 0.3 0.3"" ply-model=""src: url(../../assets/island-hut/island-hut.bake.ply);""></a-entity>"
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/monument/index.html,modified,2,2,4,"@@ -42,10 +42,10 @@
   <body>
     <a-scene>
       <a-entity id=""player""
-                camera
+                camera=""userHeight: 1.6""
                 universal-controls
                 kinematic-body=""enableSlopes: false""
-                position=""15 2.764 10""
+                position=""15 1 10""
                 jump-ability=""maxJumps: 2;"">
       </a-entity>
 "
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/platforms/index.html,modified,2,2,4,"@@ -10,10 +10,10 @@
     <a-scene fog=""type: exponential; color: #FFF; density: 0.04;"">
       <!-- Player -->
       <a-entity id=""player""
-                camera
+                camera=""userHeight: 1.6""
                 universal-controls
                 kinematic-body
-                position=""15 1.764 10""
+                position=""15 0 10""
                 jump-ability=""maxJumps: 3;
                               distance: 10;"">
       </a-entity>"
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/playground/index.html,modified,2,2,4,"@@ -9,11 +9,11 @@
   <body>
     <a-scene>
       <!-- Player -->
-      <a-entity camera
+      <a-entity camera=""userHeight: 1.6""
                 universal-controls
                 kinematic-body
                 jump-ability
-                position=""10 1.764 0""></a-entity>
+                position=""10 0 0""></a-entity>
 
       <!-- Ground -->
       <a-grid static-body></a-grid>"
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/scythian/index.html,modified,1,1,2,"@@ -9,7 +9,7 @@
   <body>
     <a-scene>
       <!-- Player -->
-      <a-entity camera universal-controls position=""0 1.764 4""></a-entity>
+      <a-entity camera=""userHeight: 1.6"" universal-controls position=""0 0 4""></a-entity>
 
       <a-entity rotation=""-90 0 0""
                 scale=""0.1 0.1 0.1"""
c-frame/aframe-extras,118,432344a1d8c42ba89b2efa364eaa6164e1c1a203,examples/vive/index.html,modified,1,1,2,"@@ -9,7 +9,7 @@
   <body>
     <a-scene physics=""debug: true"">
       <!-- Player -->
-      <a-entity camera look-controls></a-entity>
+      <a-entity camera=""userHeight: 1.6"" look-controls></a-entity>
       <a-entity static-body=""shape: sphere; sphereRadius: 0.02;"" vive-controls=""hand: left"" sphere-collider=""objects: .cube;"" grab></a-entity>
       <a-entity static-body=""shape: sphere; sphereRadius: 0.02;"" vive-controls=""hand: right"" sphere-collider=""objects: .cube;"" grab></a-entity>
 "
