repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
fabio914/RealityMixer,1,50681d5,README.md,modified,0,2,2,"@@ -14,8 +14,6 @@ This is still a work in progress and it has only been tested on the Oculus Quest
 
 ## TO-DOs
 
-- [ ] Add the foreground image;
-
 - [ ] Implement the calibration mechanism;
 
 - [ ] Optimize the video decoding with VideoToolbox (hardware decoding);"
fabio914/RealityMixer,1,50681d5,RealityMixer.xcodeproj/project.xcworkspace/xcuserdata/fdelaantonio.xcuserdatad/UserInterfaceState.xcuserstate,modified,0,0,0,
fabio914/RealityMixer,1,50681d5,RealityMixer/AppDelegate.swift,modified,1,2,3,"@@ -15,8 +15,7 @@ class AppDelegate: UIResponder, UIApplicationDelegate {
     func application(_ application: UIApplication, didFinishLaunchingWithOptions launchOptions: [UIApplication.LaunchOptionsKey: Any]?) -> Bool {
         let window = UIWindow(frame: UIScreen.main.bounds)
         self.window = window
-
-        window.rootViewController = ConnectionViewController()
+        window.rootViewController = UINavigationController(rootViewController: ConnectionViewController())
         window.makeKeyAndVisible()
         return true
     }"
fabio914/RealityMixer,1,50681d5,RealityMixer/ViewControllers/ConnectionViewController.swift,modified,7,1,8,"@@ -12,6 +12,7 @@ final class ConnectionViewController: UIViewController {
 
     @IBOutlet private weak var addressTextField: UITextField!
     @IBOutlet private weak var portTextField: UITextField!
+    @IBOutlet private weak var showDebugSwitch: UISwitch!
 
     @IBOutlet private weak var overlayView: UIView!
     private let storage = AddressPortPreferenceStorage()
@@ -26,6 +27,7 @@ final class ConnectionViewController: UIViewController {
 
     override func viewDidLoad() {
         super.viewDidLoad()
+        title = ""Reality Mixer""
         overlayView.isHidden = true
 
         if let preferences = storage.preference {
@@ -62,7 +64,11 @@ final class ConnectionViewController: UIViewController {
         case .success:
             try? storage.save(preference: .init(address: address, port: port))
 
-            let viewController = MixedRealityViewController(client: client)
+            let viewController = MixedRealityViewController(
+                client: client,
+                shouldShowDebug: showDebugSwitch.isOn
+            )
+
             viewController.modalPresentationStyle = .overFullScreen
             present(viewController, animated: true, completion: nil)
         }"
fabio914/RealityMixer,1,50681d5,RealityMixer/ViewControllers/ConnectionViewController.xib,modified,22,6,28,"@@ -8,21 +8,22 @@
         <capability name=""documents saved in the Xcode 8 format"" minToolsVersion=""8.0""/>
     </dependencies>
     <objects>
-        <placeholder placeholderIdentifier=""IBFilesOwner"" id=""-1"" userLabel=""File's Owner"" customClass=""ConnectionViewController"" customModule=""MRTest2"" customModuleProvider=""target"">
+        <placeholder placeholderIdentifier=""IBFilesOwner"" id=""-1"" userLabel=""File's Owner"" customClass=""ConnectionViewController"" customModule=""RealityMixer"" customModuleProvider=""target"">
             <connections>
                 <outlet property=""addressTextField"" destination=""DZi-cu-2ge"" id=""Klz-WA-Xd6""/>
                 <outlet property=""overlayView"" destination=""PfG-yH-roU"" id=""pDa-hn-h39""/>
                 <outlet property=""portTextField"" destination=""Lky-ae-zSD"" id=""2KE-UZ-PBo""/>
+                <outlet property=""showDebugSwitch"" destination=""PnQ-MP-mA0"" id=""WiD-Hs-OuN""/>
                 <outlet property=""view"" destination=""iN0-l3-epB"" id=""MVq-9T-B2W""/>
             </connections>
         </placeholder>
         <placeholder placeholderIdentifier=""IBFirstResponder"" id=""-2"" customClass=""UIResponder""/>
         <view contentMode=""scaleToFill"" id=""iN0-l3-epB"">
-            <rect key=""frame"" x=""0.0"" y=""0.0"" width=""414"" height=""896""/>
+            <rect key=""frame"" x=""0.0"" y=""0.0"" width=""414"" height=""808""/>
             <autoresizingMask key=""autoresizingMask"" widthSizable=""YES"" heightSizable=""YES""/>
             <subviews>
                 <stackView opaque=""NO"" contentMode=""scaleToFill"" axis=""vertical"" spacing=""10"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""ThD-0e-MfL"">
-                    <rect key=""frame"" x=""57"" y=""394"" width=""300"" height=""118""/>
+                    <rect key=""frame"" x=""57"" y=""40"" width=""300"" height=""159""/>
                     <subviews>
                         <textField opaque=""NO"" contentMode=""scaleToFill"" contentHorizontalAlignment=""left"" contentVerticalAlignment=""center"" text=""192.168.0.1"" borderStyle=""roundedRect"" placeholder=""IP"" textAlignment=""natural"" minimumFontSize=""17"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""DZi-cu-2ge"">
                             <rect key=""frame"" x=""0.0"" y=""0.0"" width=""300"" height=""34""/>
@@ -34,8 +35,22 @@
                             <fontDescription key=""fontDescription"" type=""system"" pointSize=""14""/>
                             <textInputTraits key=""textInputTraits""/>
                         </textField>
+                        <stackView opaque=""NO"" contentMode=""scaleToFill"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""uxu-YY-01Y"">
+                            <rect key=""frame"" x=""0.0"" y=""88"" width=""300"" height=""31""/>
+                            <subviews>
+                                <label opaque=""NO"" userInteractionEnabled=""NO"" contentMode=""left"" horizontalHuggingPriority=""251"" verticalHuggingPriority=""251"" text=""Show Debug View"" textAlignment=""natural"" lineBreakMode=""tailTruncation"" baselineAdjustment=""alignBaselines"" adjustsFontSizeToFit=""NO"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""1Hd-01-Gc2"">
+                                    <rect key=""frame"" x=""0.0"" y=""0.0"" width=""251"" height=""31""/>
+                                    <fontDescription key=""fontDescription"" type=""system"" pointSize=""14""/>
+                                    <nil key=""textColor""/>
+                                    <nil key=""highlightedColor""/>
+                                </label>
+                                <switch opaque=""NO"" contentMode=""scaleToFill"" horizontalHuggingPriority=""750"" verticalHuggingPriority=""750"" contentHorizontalAlignment=""center"" contentVerticalAlignment=""center"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""PnQ-MP-mA0"">
+                                    <rect key=""frame"" x=""251"" y=""0.0"" width=""51"" height=""31""/>
+                                </switch>
+                            </subviews>
+                        </stackView>
                         <button opaque=""NO"" contentMode=""scaleToFill"" contentHorizontalAlignment=""center"" contentVerticalAlignment=""center"" buttonType=""system"" lineBreakMode=""middleTruncation"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""r2g-AA-pGA"">
-                            <rect key=""frame"" x=""0.0"" y=""88"" width=""300"" height=""30""/>
+                            <rect key=""frame"" x=""0.0"" y=""129"" width=""300"" height=""30""/>
                             <state key=""normal"" title=""Connect""/>
                             <connections>
                                 <action selector=""connectAction:"" destination=""-1"" eventType=""touchUpInside"" id=""qtt-zz-eKk""/>
@@ -47,20 +62,21 @@
                     </constraints>
                 </stackView>
                 <view alpha=""0.69999999999999996"" contentMode=""scaleToFill"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""PfG-yH-roU"">
-                    <rect key=""frame"" x=""57"" y=""389"" width=""300"" height=""128""/>
+                    <rect key=""frame"" x=""57"" y=""33.5"" width=""300"" height=""172""/>
                     <color key=""backgroundColor"" white=""1"" alpha=""1"" colorSpace=""custom"" customColorSpace=""genericGamma22GrayColorSpace""/>
                 </view>
             </subviews>
             <viewLayoutGuide key=""safeArea"" id=""vUN-kp-3ea""/>
             <color key=""backgroundColor"" systemColor=""systemBackgroundColor""/>
             <constraints>
                 <constraint firstItem=""PfG-yH-roU"" firstAttribute=""width"" secondItem=""ThD-0e-MfL"" secondAttribute=""width"" id=""D6F-24-Xlb""/>
+                <constraint firstItem=""ThD-0e-MfL"" firstAttribute=""top"" secondItem=""vUN-kp-3ea"" secondAttribute=""top"" constant=""40"" id=""FaB-tD-DH0""/>
                 <constraint firstItem=""PfG-yH-roU"" firstAttribute=""height"" secondItem=""ThD-0e-MfL"" secondAttribute=""height"" multiplier=""1.08475"" id=""VgO-CD-fXl""/>
                 <constraint firstItem=""PfG-yH-roU"" firstAttribute=""centerX"" secondItem=""ThD-0e-MfL"" secondAttribute=""centerX"" id=""Yxh-Ra-Fzd""/>
                 <constraint firstItem=""PfG-yH-roU"" firstAttribute=""centerY"" secondItem=""ThD-0e-MfL"" secondAttribute=""centerY"" id=""dxL-56-Po9""/>
                 <constraint firstItem=""ThD-0e-MfL"" firstAttribute=""centerX"" secondItem=""vUN-kp-3ea"" secondAttribute=""centerX"" id=""eKv-DJ-56e""/>
-                <constraint firstItem=""ThD-0e-MfL"" firstAttribute=""centerY"" secondItem=""vUN-kp-3ea"" secondAttribute=""centerY"" id=""xf1-cC-ett""/>
             </constraints>
+            <simulatedNavigationBarMetrics key=""simulatedTopBarMetrics"" translucent=""NO"" prompted=""NO""/>
             <point key=""canvasLocation"" x=""139"" y=""52""/>
         </view>
     </objects>"
fabio914/RealityMixer,1,50681d5,RealityMixer/ViewControllers/MixedRealityViewController.swift,modified,84,32,116,"@@ -11,12 +11,16 @@ import SwiftSocket
 
 final class MixedRealityViewController: UIViewController {
     private let client: TCPClient
+    private let shouldShowDebug: Bool
     private var displayLink: CADisplayLink?
     private var oculusMRC: OculusMRC?
 
+    @IBOutlet private weak var debugView: UIImageView!
     @IBOutlet private weak var sceneView: ARSCNView!
-
     private var backgroundNode: SCNNode?
+    private var foregroundNode: SCNNode?
+
+    private let flipTransform = SCNMatrix4Translate(SCNMatrix4MakeScale(1, -1, 1), 0, 1, 0)
 
     override var prefersStatusBarHidden: Bool {
         true
@@ -26,8 +30,9 @@ final class MixedRealityViewController: UIViewController {
         true
     }
 
-    init(client: TCPClient) {
+    init(client: TCPClient, shouldShowDebug: Bool) {
         self.client = client
+        self.shouldShowDebug = shouldShowDebug
         super.init(nibName: String(describing: type(of: self)), bundle: Bundle(for: type(of: self)))
     }
 
@@ -37,18 +42,80 @@ final class MixedRealityViewController: UIViewController {
 
     override func viewDidLoad() {
         super.viewDidLoad()
+        configureDisplay()
+        configureDisplayLink()
+        configureOculusMRC()
+        configureBackground()
+        configureForeground()
+        configureDebugView()
+    }
 
+    private func configureDisplay() {
         UIApplication.shared.isIdleTimerDisabled = true
+    }
 
+    private func configureDisplayLink() {
         let displayLink = CADisplayLink(target: self, selector: #selector(update(with:)))
         displayLink.add(to: .main, forMode: .default)
         self.displayLink = displayLink
+    }
+
+    private func configureOculusMRC() {
         self.oculusMRC = OculusMRC()
         oculusMRC?.delegate = self
+    }
+
+    private func configureBackground() {
+        let backgroundScene = SCNScene()
+        sceneView.scene = backgroundScene
+
+        let backgroundPlane = SCNPlane(width: 160, height: 90) // Assuming a 16:9 aspect ratio
+        backgroundPlane.cornerRadius = 0
+        backgroundPlane.firstMaterial?.lightingModel = .constant
+        backgroundPlane.firstMaterial?.diffuse.contents = UIColor(red: 0, green: 1, blue: 0, alpha: 1)
+
+        let backgroundPlaneNode = SCNNode(geometry: backgroundPlane)
+        backgroundPlaneNode.position = .init(0, 0, -90)
+
+        // Flipping image
+        backgroundPlaneNode.geometry?.firstMaterial?.diffuse.contentsTransform = flipTransform
+
+        sceneView.pointOfView?.addChildNode(backgroundPlaneNode)
+        self.backgroundNode = backgroundPlaneNode
+    }
+
+    private func configureForeground() {
+        let foregroundPlane = SCNPlane(width: 0.16, height: 0.09) // Assuming a 16:9 aspect ratio
+        foregroundPlane.cornerRadius = 0
+        foregroundPlane.firstMaterial?.lightingModel = .constant
+        foregroundPlane.firstMaterial?.diffuse.contents = UIColor(red: 0, green: 0, blue: 1, alpha: 1)
+
+        let foregroundPlaneNode = SCNNode(geometry: foregroundPlane)
+        foregroundPlaneNode.position = .init(0, 0, -0.09)
+
+        // Flipping image
+        foregroundPlane.firstMaterial?.diffuse.contentsTransform = flipTransform
+        foregroundPlane.firstMaterial?.transparent.contentsTransform = flipTransform
+
+        foregroundPlane.firstMaterial?.transparencyMode = .rgbZero
+
+        // Shader to invert the colors from the transparent texture
+        foregroundPlane.firstMaterial?.shaderModifiers = [
+            .surface: """"""
+            float value = (1.0 - texture2D(u_transparentTexture, _surface.transparentTexcoord).r);
+            _surface.transparent = vec4(value, value, value, 1.0);
+            """"""
+        ]
 
-        let scene = SCNScene()
-//        sceneView.delegate = self
-        sceneView.scene = scene
+        // FIXME: Semi-transparent textures won't work with person segmentation. They'll
+        // blend with the background instead of blending with the segmented image of the person.
+
+        sceneView.pointOfView?.addChildNode(foregroundPlaneNode)
+        self.foregroundNode = foregroundPlaneNode
+    }
+
+    private func configureDebugView() {
+        debugView.isHidden = !shouldShowDebug
     }
 
     override func viewWillAppear(_ animated: Bool) {
@@ -73,38 +140,13 @@ final class MixedRealityViewController: UIViewController {
 
     override func viewDidAppear(_ animated: Bool) {
         super.viewDidAppear(animated)
-        updateScenePlane()
-    }
-
-    override func viewWillTransition(to size: CGSize, with coordinator: UIViewControllerTransitionCoordinator) {
-        updateScenePlane()
     }
 
     override func viewWillDisappear(_ animated: Bool) {
         super.viewWillDisappear(animated)
         sceneView.session.pause()
     }
 
-    private func updateScenePlane() {
-        // Assuming a 16:9 aspect ratio
-        let plane = SCNPlane(width: 177.777777778, height: 100)
-
-        plane.cornerRadius = 0
-        plane.firstMaterial?.lightingModel = .constant
-        plane.firstMaterial?.diffuse.contents = UIColor(red: 0, green: 1, blue: 0, alpha: 1)
-
-        let planeNode = SCNNode(geometry: plane)
-        planeNode.position = .init(0, 0, -100)
-
-        // Flipping image
-        planeNode.geometry?.firstMaterial?.diffuse.contentsTransform = SCNMatrix4Translate(SCNMatrix4MakeScale(1, -1, 1), 0, 1, 0)
-
-        sceneView.pointOfView?.childNodes.forEach({ $0.removeFromParentNode() })
-        sceneView.pointOfView?.addChildNode(planeNode)
-
-        self.backgroundNode = planeNode
-    }
-
     @objc func update(with sender: CADisplayLink) {
         guard let oculusMRC = oculusMRC,
             let data = client.read(65536, timeout: 0),
@@ -119,8 +161,18 @@ final class MixedRealityViewController: UIViewController {
 }
 
 extension MixedRealityViewController: OculusMRCDelegate {
+    func oculusMRC(
+        _ oculusMRC: OculusMRC,
+        didReceiveBackground background: UIImage,
+        foregroundColor: UIImage,
+        foregroundAlpha: UIImage
+    ) {
+        backgroundNode?.geometry?.firstMaterial?.diffuse.contents = background
+        foregroundNode?.geometry?.firstMaterial?.diffuse.contents = foregroundColor
+        foregroundNode?.geometry?.firstMaterial?.transparent.contents = foregroundAlpha
+    }
 
-    func oculusMRC(_ oculusMRC: OculusMRC, didReceiveNewFrame frame: UIImage) {
-        backgroundNode?.geometry?.firstMaterial?.diffuse.contents = frame
+    func oculusMRC(_ oculusMRC: OculusMRC, didReceive image: UIImage) {
+        debugView.image = image
     }
 }"
fabio914/RealityMixer,1,50681d5,RealityMixer/ViewControllers/MixedRealityViewController.xib,modified,14,4,18,"@@ -1,33 +1,43 @@
 <?xml version=""1.0"" encoding=""UTF-8""?>
 <document type=""com.apple.InterfaceBuilder3.CocoaTouch.XIB"" version=""3.0"" toolsVersion=""17156"" targetRuntime=""iOS.CocoaTouch"" propertyAccessControl=""none"" useAutolayout=""YES"" useTraitCollections=""YES"" useSafeAreas=""YES"" colorMatched=""YES"">
-    <device id=""retina6_1"" orientation=""portrait"" appearance=""light""/>
+    <device id=""retina6_1"" orientation=""landscape"" appearance=""light""/>
     <dependencies>
         <plugIn identifier=""com.apple.InterfaceBuilder.IBCocoaTouchPlugin"" version=""17125""/>
         <capability name=""Safe area layout guides"" minToolsVersion=""9.0""/>
         <capability name=""documents saved in the Xcode 8 format"" minToolsVersion=""8.0""/>
     </dependencies>
     <objects>
-        <placeholder placeholderIdentifier=""IBFilesOwner"" id=""-1"" userLabel=""File's Owner"" customClass=""MixedRealityViewController"" customModule=""MRTest2"" customModuleProvider=""target"">
+        <placeholder placeholderIdentifier=""IBFilesOwner"" id=""-1"" userLabel=""File's Owner"" customClass=""MixedRealityViewController"" customModule=""RealityMixer"" customModuleProvider=""target"">
             <connections>
+                <outlet property=""debugView"" destination=""rou-Hq-oeP"" id=""8zj-sX-nYa""/>
                 <outlet property=""sceneView"" destination=""2ar-Bw-mm2"" id=""qUN-my-w4z""/>
                 <outlet property=""view"" destination=""i5M-Pr-FkT"" id=""sfx-zR-JGt""/>
             </connections>
         </placeholder>
         <placeholder placeholderIdentifier=""IBFirstResponder"" id=""-2"" customClass=""UIResponder""/>
         <view clearsContextBeforeDrawing=""NO"" contentMode=""scaleToFill"" id=""i5M-Pr-FkT"">
-            <rect key=""frame"" x=""0.0"" y=""0.0"" width=""414"" height=""896""/>
+            <rect key=""frame"" x=""0.0"" y=""0.0"" width=""896"" height=""414""/>
             <autoresizingMask key=""autoresizingMask"" widthSizable=""YES"" heightSizable=""YES""/>
             <subviews>
                 <arscnView clipsSubviews=""YES"" multipleTouchEnabled=""YES"" contentMode=""scaleToFill"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""2ar-Bw-mm2"">
-                    <rect key=""frame"" x=""0.0"" y=""0.0"" width=""414"" height=""896""/>
+                    <rect key=""frame"" x=""0.0"" y=""0.0"" width=""896"" height=""414""/>
                     <color key=""backgroundColor"" white=""0.0"" alpha=""0.0"" colorSpace=""custom"" customColorSpace=""genericGamma22GrayColorSpace""/>
                 </arscnView>
+                <imageView hidden=""YES"" clipsSubviews=""YES"" userInteractionEnabled=""NO"" contentMode=""scaleAspectFit"" horizontalHuggingPriority=""251"" verticalHuggingPriority=""251"" translatesAutoresizingMaskIntoConstraints=""NO"" id=""rou-Hq-oeP"">
+                    <rect key=""frame"" x=""387"" y=""255"" width=""455"" height=""128""/>
+                    <constraints>
+                        <constraint firstAttribute=""height"" constant=""128"" id=""4jq-gg-TcK""/>
+                        <constraint firstAttribute=""width"" secondItem=""rou-Hq-oeP"" secondAttribute=""height"" multiplier=""32:9"" id=""90Q-b8-udo""/>
+                    </constraints>
+                </imageView>
             </subviews>
             <viewLayoutGuide key=""safeArea"" id=""fnl-2z-Ty3""/>
             <color key=""backgroundColor"" white=""0.0"" alpha=""1"" colorSpace=""custom"" customColorSpace=""genericGamma22GrayColorSpace""/>
             <constraints>
                 <constraint firstItem=""2ar-Bw-mm2"" firstAttribute=""leading"" secondItem=""i5M-Pr-FkT"" secondAttribute=""leading"" id=""0tP-QG-61G""/>
+                <constraint firstItem=""fnl-2z-Ty3"" firstAttribute=""trailing"" secondItem=""rou-Hq-oeP"" secondAttribute=""trailing"" constant=""10"" id=""692-7p-Wae""/>
                 <constraint firstAttribute=""bottom"" secondItem=""2ar-Bw-mm2"" secondAttribute=""bottom"" id=""MrF-4C-i8c""/>
+                <constraint firstItem=""fnl-2z-Ty3"" firstAttribute=""bottom"" secondItem=""rou-Hq-oeP"" secondAttribute=""bottom"" constant=""10"" id=""Ynh-OC-IDg""/>
                 <constraint firstItem=""2ar-Bw-mm2"" firstAttribute=""top"" secondItem=""i5M-Pr-FkT"" secondAttribute=""top"" id=""eOM-Bh-ili""/>
                 <constraint firstAttribute=""trailing"" secondItem=""2ar-Bw-mm2"" secondAttribute=""trailing"" id=""mAO-gu-kie""/>
             </constraints>"
fabio914/RealityMixer,1,50681d5,RealityMixer/oculus-mrc/OculusMRC.h,modified,2,1,3,"@@ -13,7 +13,8 @@ NS_ASSUME_NONNULL_BEGIN
 @class OculusMRC;
 
 @protocol OculusMRCDelegate <NSObject>
-- (void)oculusMRC:(OculusMRC *)oculusMRC didReceiveNewFrame:(UIImage *)frame;
+- (void)oculusMRC:(OculusMRC *)oculusMRC didReceiveImage:(UIImage *)image;
+- (void)oculusMRC:(OculusMRC *)oculusMRC didReceiveBackground:(UIImage *)background foregroundColor:(UIImage *)foregroundColor foregroundAlpha:(UIImage *)foregroundAlpha;
 @end
 
 @interface OculusMRC : NSObject"
fabio914/RealityMixer,1,50681d5,RealityMixer/oculus-mrc/OculusMRC.mm,modified,45,21,66,"@@ -282,16 +282,22 @@ - (void)update {
                         data,
                         stride);
 
-                    UIImage * image = [self imageFromData:data[0] lineSize:stride width:picture->width height:picture->height];
-                    UIImage * backgroundImage = [self backgroundImageFrom:image];
+                    @autoreleasepool {
+                        UIImage * image = [self imageFromData:data[0] lineSize:stride width:picture->width height:picture->height];
+                        UIImage * backgroundImage = [self backgroundImageFrom:image];
+                        UIImage * foregroundColorImage = [self foregroundColorImageFrom:image];
+                        UIImage * foregroundAlphaImage = [self foregroundAlphaImageFrom:image];
 
-                    // TODO: Return foreground image
+                        delete data[0];
 
-                    if (backgroundImage) {
-                        [_delegate oculusMRC:self didReceiveNewFrame:backgroundImage];
-                    }
+                        if (image != nil) {
+                            [_delegate oculusMRC:self didReceiveImage:image];
+                        }
 
-                    delete data[0];
+                        if (backgroundImage != nil && foregroundColorImage != nil && foregroundAlphaImage != nil) {
+                            [_delegate oculusMRC:self didReceiveBackground:backgroundImage foregroundColor:foregroundColorImage foregroundAlpha:foregroundAlphaImage];
+                        }
+                    }
                 }
             }
 
@@ -324,22 +330,24 @@ - (UIImage *)imageFromData:(uint8_t *)dt lineSize:(int *)lineSize width:(int)wid
 
     CGBitmapInfo bitmapInfo = kCGBitmapByteOrderDefault;
     CFDataRef data = CFDataCreateWithBytesNoCopy(kCFAllocatorDefault, dt, lineSize[0]*height,kCFAllocatorNull);
-
     CFDataRef copy = CFDataCreateCopy(kCFAllocatorDefault, data);
-
     CGDataProviderRef provider = CGDataProviderCreateWithCFData(copy);
     CGColorSpaceRef colorSpace = CGColorSpaceCreateDeviceRGB();
-    CGImageRef cgImage = CGImageCreate(width,
-                                       height,
-                                       8,
-                                       24,
-                                       lineSize[0],
-                                       colorSpace,
-                                       bitmapInfo,
-                                       provider,
-                                       NULL,
-                                       NO,
-                                       kCGRenderingIntentDefault);
+
+    CGImageRef cgImage = CGImageCreate(
+        width,
+        height,
+        8,
+        24,
+        lineSize[0],
+        colorSpace,
+        bitmapInfo,
+        provider,
+        NULL,
+        NO,
+        kCGRenderingIntentDefault
+    );
+
     CGColorSpaceRelease(colorSpace);
     UIImage *image = [UIImage imageWithCGImage:cgImage scale:1.0 orientation:UIImageOrientationDownMirrored];
     CGImageRelease(cgImage);
@@ -353,7 +361,23 @@ - (UIImage *)imageFromData:(uint8_t *)dt lineSize:(int *)lineSize width:(int)wid
 - (UIImage *)backgroundImageFrom:(UIImage *)image {
     CGRect cropRect = CGRectMake(0, 0, image.size.width/2.0, image.size.height);
     CGImageRef imageRef = CGImageCreateWithImageInRect([image CGImage], cropRect);
-    UIImage * result = [UIImage imageWithCGImage:imageRef scale:1.0 orientation:UIImageOrientationDownMirrored];
+    UIImage * result = [UIImage imageWithCGImage:imageRef];
+    CGImageRelease(imageRef);
+    return result;
+}
+
+- (UIImage *)foregroundColorImageFrom:(UIImage *)image {
+    CGRect cropRect = CGRectMake(image.size.width/2.0, 0, image.size.width/4.0, image.size.height);
+    CGImageRef imageRef = CGImageCreateWithImageInRect([image CGImage], cropRect);
+    UIImage * result = [UIImage imageWithCGImage:imageRef];
+    CGImageRelease(imageRef);
+    return result;
+}
+
+- (UIImage *)foregroundAlphaImageFrom:(UIImage *)image {
+    CGRect cropRect = CGRectMake(image.size.width * 0.75, 0, image.size.width/4.0, image.size.height);
+    CGImageRef imageRef = CGImageCreateWithImageInRect([image CGImage], cropRect);
+    UIImage * result = [UIImage imageWithCGImage:imageRef];
     CGImageRelease(imageRef);
     return result;
 }"
fabio914/RealityMixer,1,334136d,Compatibility.md,modified,1,0,1,"@@ -31,6 +31,7 @@ You can find a list of the officially supported games/applications [here](https:
 | [Open Brush](https://www.oculus.com/experiences/quest/3600360710032222) |  |  |  | Version 0.3.0 supports Mixed Reality Capture. You can try [this version](https://github.com/fabio914/open-brush/releases/tag/0.2.1) if you wish to use the ""moving camera"". | 
 | [Peco Peco](https://benthamrealities.itch.io/pecopeco) | 5 | 5 | [YouTube video](https://www.youtube.com/watch?v=Zrf2i6FvkrU) | Works perfectly. |
 | [Pistol Whip](https://www.oculus.com/experiences/quest/2104963472963790) | 2 | 0 | [Tweet](https://twitter.com/fabio914/status/1326699860146401284) | The audio didn't work and the video was showing a first person POV. |
+| [Premium Bowling](https://www.oculus.com/experiences/quest/2773034772778845/) | 5 | 5 | |
 | [Puzzling Places Prototype](https://sidequestvr.com/app/809/puzzling-places-prototype) | 5 | 5 | [YouTube video](https://www.youtube.com/watch?v=a8Ph-bUJFoA) | The colors appear desaturated. |
 | [QuestDraw AR](https://sidequestvr.com/app/1168) | 5 | ? | ? | ? |
 | [Racket Fury](https://www.oculus.com/experiences/quest/1952355814856769) | ? | ? | ? | You'll have to use the ""Unflip output"" option. |"
