repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
fpw/avitab,121,2e3fee3,src/avitab/apps/ChartsApp.cpp,modified,77,4,81,"@@ -147,6 +147,13 @@ void ChartsApp::createPdfTab(const std::string &pdfPath) {
 
     pages.push_back(tab);
     tabs->showTab(page);
+
+    if (tab.stitcher->getPageCount() > 1) {
+        positionPage(tab, VerticalPosition::Top, HorizontalPosition::Middle, ZoomAdjust::Width);
+    } else {
+        positionPage(tab, VerticalPosition::Centre, HorizontalPosition::Middle, ZoomAdjust::All);
+    }
+
 }
 
 void ChartsApp::removeTab(std::shared_ptr<Page> page) {
@@ -221,16 +228,24 @@ void ChartsApp::onPan(int x, int y, bool start, bool end) {
 void ChartsApp::onNextPage() {
     PdfPage *tab = getActivePdfPage();
     if (tab && tab->source) {
-        tab->stitcher->nextPage();
-        setTitle(*tab);
+        if (tab->stitcher->nextPage()) {
+            setTitle(*tab);
+            positionPage(*tab, VerticalPosition::Top, HorizontalPosition::Middle);
+        } else {
+            positionPage(*tab, VerticalPosition::Bottom, HorizontalPosition::Middle);
+        }
     }
 }
 
 void ChartsApp::onPrevPage() {
     PdfPage *tab = getActivePdfPage();
     if (tab && tab->source) {
-        tab->stitcher->prevPage();
-        setTitle(*tab);
+        if (tab->stitcher->prevPage()) {
+            setTitle(*tab);
+            positionPage(*tab, VerticalPosition::Bottom, HorizontalPosition::Middle);
+        } else {
+            positionPage(*tab, VerticalPosition::Top, HorizontalPosition::Middle);
+        }
     }
 }
 
@@ -252,6 +267,11 @@ void ChartsApp::onRotate() {
     PdfPage *tab = getActivePdfPage();
     if (tab && tab->stitcher) {
         tab->stitcher->rotateRight();
+        if (tab->stitcher->getPageCount() > 1) {
+            positionPage(*tab, VerticalPosition::Top, HorizontalPosition::Middle);
+        } else {
+            positionPage(*tab, VerticalPosition::Centre, HorizontalPosition::Middle, ZoomAdjust::All);
+        }
     }
 }
 
@@ -280,4 +300,57 @@ void ChartsApp::onMouseWheel(int dir, int x, int y) {
     }
 }
 
+void ChartsApp::positionPage(PdfPage &tab, VerticalPosition vp, HorizontalPosition hp, ZoomAdjust za) {
+    if (!tab.stitcher) {
+        return;
+    }
+
+    auto doc = tab.stitcher->getTileSource();
+    if (!doc) {
+        return;
+    }
+
+    img::Point<int> aperturexy{tab.pixMap->getWidth(), tab.pixMap->getHeight()};
+    auto angle = tab.stitcher->getRotation();
+
+    // set the required zoom
+    if (za != ZoomAdjust::None) {
+        // start with maximal zoom, and then zoom out until all criteria are met
+        int z  = doc->getMaxZoomLevel();
+        while (z > doc->getMinZoomLevel()) {
+            // iterative loop could be optimised to binary search
+            auto pagexy = doc->getPageDimensions(tab.stitcher->getCurrentPage(), z);
+            if ((angle == 90) || (angle == 270)) std::swap(pagexy.x, pagexy.y);
+            bool fitsWidth = (za == ZoomAdjust::Height) ? true : (pagexy.x <= aperturexy.x);
+            bool fitsHeight = (za == ZoomAdjust::Width) ? true : (pagexy.y <= aperturexy.y);
+            if (fitsWidth && fitsHeight) break;
+            --z;
+        }
+        tab.stitcher->setZoomLevel(z);
+    }
+
+    // now adjust the tile centre to align as requested
+    auto zoomNow = tab.map->getZoomLevel();
+    auto tilexy = doc->getTileDimensions(zoomNow);
+    auto pagexy = doc->getPageDimensions(tab.stitcher->getCurrentPage(), zoomNow);
+    float cx = 0.0, cy = 0.0;
+    if (angle == 0) {
+        cx = (hp == HorizontalPosition::Left) ? (aperturexy.x / 2) : ((hp == HorizontalPosition::Right) ? (pagexy.x - (aperturexy.x / 2)) : (pagexy.x / 2));
+        cy = (vp == VerticalPosition::Top) ? (aperturexy.y / 2) : ((vp == VerticalPosition::Bottom) ? (pagexy.y - (aperturexy.y / 2)) : (pagexy.y / 2));
+    } else if (angle == 90) {
+        cx = (vp == VerticalPosition::Top) ? (aperturexy.y / 2) : ((vp == VerticalPosition::Bottom) ? (pagexy.x - (aperturexy.y / 2)) : (pagexy.x / 2));
+        cy = (hp == HorizontalPosition::Left) ? (pagexy.y - (aperturexy.x / 2)) : ((hp == HorizontalPosition::Right) ? (aperturexy.x / 2) : (pagexy.y / 2));
+    } else if (angle == 180) {
+        cx = (hp == HorizontalPosition::Left) ? (pagexy.x - (aperturexy.x / 2)) : ((hp == HorizontalPosition::Right) ? (aperturexy.x / 2) : (pagexy.x / 2));
+        cy = (vp == VerticalPosition::Top) ? (pagexy.y - (aperturexy.y / 2)) : ((vp == VerticalPosition::Bottom) ? (aperturexy.y / 2) : (pagexy.y / 2));
+    } else if (angle == 270) {
+        cx = (vp == VerticalPosition::Top) ? (pagexy.x - (aperturexy.y / 2)) : ((vp == VerticalPosition::Bottom) ? (aperturexy.y / 2) : (pagexy.x / 2));
+        cy = (hp == HorizontalPosition::Left) ? (aperturexy.x / 2) : ((hp == HorizontalPosition::Right) ? (pagexy.y - (aperturexy.x / 2)) : (pagexy.y / 2));
+    }
+
+    if (tilexy.x != 0 && tilexy.y != 0) {
+        tab.stitcher->setCenter((float) cx / tilexy.x, (float) cy / tilexy.y);
+    }
+}
+
 } /* namespace avitab */"
fpw/avitab,121,2e3fee3,src/avitab/apps/ChartsApp.h,modified,5,0,5,"@@ -89,6 +89,11 @@ class ChartsApp: public App {
     void onRotate();
     void onPan(int x, int y, bool start, bool end);
     bool onTimer();
+
+    enum class VerticalPosition { Top, Centre, Bottom };
+    enum class HorizontalPosition { Left, Middle, Right };
+    enum class ZoomAdjust { None, Height, Width, All };
+    void positionPage(PdfPage &tab, VerticalPosition vp, HorizontalPosition hp, ZoomAdjust za = ZoomAdjust::None);
 };
 
 } /* namespace avitab */"
fpw/avitab,121,2e3fee3,src/libimg/stitcher/Stitcher.cpp,modified,10,2,12,"@@ -59,20 +59,24 @@ img::Point<double> Stitcher::getCenter() const {
     return img::Point<double>{centerX, centerY};
 }
 
-void Stitcher::nextPage() {
+bool Stitcher::nextPage() {
     if (page + 1 < tileSource->getPageCount()) {
         page++;
         tileCache.cancelPendingRequests();
         updateImage();
+        return true;
     }
+    return false;
 }
 
-void Stitcher::prevPage() {
+bool Stitcher::prevPage() {
     if (page > 0) {
         page--;
         tileCache.cancelPendingRequests();
         updateImage();
+        return true;
     }
+    return false;
 }
 
 int Stitcher::getPageCount() const {
@@ -148,6 +152,10 @@ void Stitcher::convertSourceImageToRenderedCoords(int &x, int &y) {
     y += offsetY;
 }
 
+int Stitcher::getRotation() const {
+    return rotAngle;
+}
+
 void Stitcher::rotateRight() {
     rotAngle = (rotAngle + 90) % 360;
     updateImage();"
fpw/avitab,121,2e3fee3,src/libimg/stitcher/Stitcher.h,modified,3,2,5,"@@ -41,8 +41,8 @@ class Stitcher {
 
     int getCurrentPage() const;
     int getPageCount() const;
-    void nextPage();
-    void prevPage();
+    bool nextPage();
+    bool prevPage();
 
     void pan(int dx, int dy);
     void setZoomLevel(int level);
@@ -52,6 +52,7 @@ class Stitcher {
     void updateImage();
     void doWork();
 
+    int getRotation() const;
     void rotateRight();
 
     std::shared_ptr<Image> getPreRotatedImage();"
fpw/avitab,121,2e3fee3,src/libimg/stitcher/TileSource.h,modified,1,0,1,"@@ -46,6 +46,7 @@ class TileSource {
 
     // Query and load tile information
     virtual int getPageCount() = 0;
+    virtual Point<int> getPageDimensions(int page, int zoom) = 0;
     virtual bool isTileValid(int page, int x, int y, int zoom) = 0;
     virtual std::string getUniqueTileName(int page, int x, int y, int zoom) = 0;
     virtual std::unique_ptr<img::Image> loadTileImage(int page, int x, int y, int zoom) = 0;"
fpw/avitab,121,2e3fee3,src/maps/sources/EPSGSource.cpp,modified,4,0,4,"@@ -90,6 +90,10 @@ int EPSGSource::getPageCount() {
     return 1;
 }
 
+img::Point<int> EPSGSource::getPageDimensions(int page, int zoom) {
+    return img::Point<int>{0, 0};
+}
+
 bool EPSGSource::isTileValid(int page, int x, int y, int zoom) {
     if (page != 0) {
         return false;"
fpw/avitab,121,2e3fee3,src/maps/sources/EPSGSource.h,modified,1,0,1,"@@ -43,6 +43,7 @@ class EPSGSource: public img::TileSource {
 
     // Query and load tile information
     int getPageCount() override;
+    img::Point<int> getPageDimensions(int page, int zoom) override;
     bool isTileValid(int page, int x, int y, int zoom) override;
     std::string getUniqueTileName(int page, int x, int y, int zoom) override;
     std::unique_ptr<img::Image> loadTileImage(int page, int x, int y, int zoom) override;"
fpw/avitab,121,2e3fee3,src/maps/sources/GeoTIFFSource.cpp,modified,5,0,5,"@@ -90,6 +90,11 @@ int GeoTIFFSource::getPageCount() {
     return 1;
 }
 
+img::Point<int> GeoTIFFSource::getPageDimensions(int page, int zoom) {
+    auto scale = zoomToScale(zoom);
+    return img::Point<int>{(int)(scale * tiff.getFullWidth()), (int)(scale * tiff.getFullHeight())};
+}
+
 bool GeoTIFFSource::isTileValid(int page, int x, int y, int zoom) {
     if (page != 0) {
         return false;"
fpw/avitab,121,2e3fee3,src/maps/sources/GeoTIFFSource.h,modified,1,0,1,"@@ -40,6 +40,7 @@ class GeoTIFFSource: public img::TileSource {
     img::Point<double> transformZoomedPoint(int page, double oldX, double oldY, int oldZoom, int newZoom) override;
 
     int getPageCount() override;
+    img::Point<int> getPageDimensions(int page, int zoom) override;
     bool isTileValid(int page, int x, int y, int zoom) override;
     std::string getUniqueTileName(int page, int x, int y, int zoom) override;
     std::unique_ptr<img::Image> loadTileImage(int page, int x, int y, int zoom) override;"
fpw/avitab,121,2e3fee3,src/maps/sources/ImageSource.cpp,modified,5,0,5,"@@ -168,4 +168,9 @@ img::Point<double> ImageSource::xyToWorld(double x, double y, int zoom) {
     return calibration.pixelsToWorld(normX, normY);
 }
 
+img::Point<int> ImageSource::getPageDimensions(int page, int zoom) {
+    auto scale = zoomToScale(zoom);
+    return img::Point<int>{(int)(scale * image->getWidth()), (int)(scale * image->getHeight())};
+}
+
 } /* namespace maps */"
fpw/avitab,121,2e3fee3,src/maps/sources/ImageSource.h,modified,2,0,2,"@@ -39,6 +39,7 @@ class ImageSource: public img::TileSource {
     img::Point<double> transformZoomedPoint(int page, double oldX, double oldY, int oldZoom, int newZoom) override;
 
     int getPageCount() override;
+    img::Point<int> getPageDimensions(int page, int zoom) override;
     bool isTileValid(int page, int x, int y, int zoom) override;
     std::string getUniqueTileName(int page, int x, int y, int zoom) override;
     std::unique_ptr<img::Image> loadTileImage(int page, int x, int y, int zoom) override;
@@ -50,6 +51,7 @@ class ImageSource: public img::TileSource {
     void attachCalibration2(double x, double y, double lat, double lon, int zoom) override;
     img::Point<double> worldToXY(double lon, double lat, int zoom) override;
     img::Point<double> xyToWorld(double x, double y, int zoom) override;
+
 private:
     static constexpr const int TILE_SIZE = 256;
     std::shared_ptr<img::Image> image;"
fpw/avitab,121,2e3fee3,src/maps/sources/NavigraphSource.cpp,modified,4,0,4,"@@ -99,6 +99,10 @@ int NavigraphSource::getPageCount() {
     return 1;
 }
 
+img::Point<int> NavigraphSource::getPageDimensions(int page, int zoom) {
+    return img::Point<int>{0, 0};
+}
+
 bool NavigraphSource::isTileValid(int page, int x, int y, int zoom) {
     if (page != 0) {
         return false;"
fpw/avitab,121,2e3fee3,src/maps/sources/NavigraphSource.h,modified,1,0,1,"@@ -43,6 +43,7 @@ class NavigraphSource: public img::TileSource {
 
     // Query and load tile information
     int getPageCount() override;
+    img::Point<int> getPageDimensions(int page, int zoom) override;
     bool isTileValid(int page, int x, int y, int zoom) override;
     std::string getUniqueTileName(int page, int x, int y, int zoom) override;
     std::unique_ptr<img::Image> loadTileImage(int page, int x, int y, int zoom) override;"
