repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,.github/ISSUE_TEMPLATE/add-edit-team-meeting-time.md,modified,1,2,3,"@@ -2,8 +2,7 @@
 name: Add/edit team meeting time
 about: Use this template to request a meeting time change for your project
 title: Meeting time change request for [Project Name]
-labels: '1 week change request, feature: meeting time change ticket, role: Product,
-  size: 0.25, time-sensitive'
+labels: '1 week change request, role: Product, time-sensitive'
 assignees: ''
 
 ---"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,.github/ISSUE_TEMPLATE/add-remove-pm-admin-access.md,modified,1,1,2,"@@ -3,7 +3,7 @@ name: Add/Remove PM Admin Access
 about: VRMS admin team members are currently adding or removing product managers manually.
   This issue is how PMs can request changes to access on VRMS.
 title: 'Add/Remove PM Admin Access: [name of project]'
-labels: 'role: Product, size: 0.25, time-sensitive'
+labels: 'role: Product, time-sensitive'
 assignees: ''
 
 ---"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,.github/ISSUE_TEMPLATE/address-warnings-for-rule-.md,modified,1,1,2,"@@ -2,7 +2,7 @@
 name: 'Address warnings for rule:'
 about: Describe this issue template's purpose here.
 title: 'Address warnings for rule:'
-labels: 'feature: eslint warnings, role: Front End, size: 1pt'
+labels: 'role: Front End, size: 1pt'
 assignees: ''
 
 ---"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,.github/ISSUE_TEMPLATE/blank-issue.md,modified,1,1,2,"@@ -2,7 +2,7 @@
 name: Blank Issue
 about: Consistent formatting make Issues concise and easy to navigate
 title: ''
-labels: ''
+labels: 'feature: missing, milestone: missing, role: Missing, size: missing'
 assignees: ''
 
 ---"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,CONTRIBUTING.md,modified,1,1,2,"@@ -128,7 +128,7 @@ Note: Understanding how git remotes work will make collaborating much easier. Yo
 
    Note 2: `touch` is a Unix/Linux or Mac command; It is not available in Windows. In Windows, use a text editor (e.g. Notepad) to create an empty file and save it in each of the locations as `.env` . (If you use Windows Explorer to create the file it will create a file called `.env.txt`, which will not work.)
 
-   - Then paste the content from the [document](https://docs.google.com/document/d/1yDF6UmyO-MPNrl3y_Mw0mkm_WaixlSkXzWbudCzHXDY/edit?usp=sharing). It is accessible for the project team members only. 
+   - Then paste the content from the [document](https://docs.google.com/document/d/1PdcZhyo2a2lr0JNcgyzpWi98tGkZeH1Zxz-Jnf6JQDU/edit?usp=sharing). It is accessible for the project team members only. 
 
    - _Please note that the `ports` for the frontend and backend are set in this location_
 "
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,README.md,modified,147,9,156,"@@ -1,26 +1,164 @@
+<a name=""readme-top""></a>
+
+<div align=""center"">
+  <p align=""center"">
+    <img alt=""logo"" src=""client/src/svg/hflalogo_white.png"">
+    <br />
+    <a href=""https://www.vrms.io"">Live Site</a>
+    <!-- ·
+    <a href=""https://github.com/hackforla/VRMS/issues/new?labels=bug&template=bug-report---.md"">Report Bug</a>
+    ·
+    <a href=""https://github.com/hackforla/VRMS/issues/new?labels=enhancement&template=feature-request---.md"">Request Feature</a> -->
+  </p>
+</div>
+
 # Volunteer Relationship Management System
-Live Site: [https://www.vrms.io](https://www.vrms.io)
+
+<!-- PROJECT SHIELDS -->
+<!--
+*** See the bottom of this document for the declaration of the reference variables
+*** https://www.markdownguide.org/basic-syntax/#reference-style-links
+-->
+
+<!-- The format for these shields is [![NAME][IMAGE-URL]][LINK-URL] -->
+
+[![GitHub commit activity][commit-activity-shield]][commit-activity-url]
+[![Contributors][contributors-shield]][contributors-url]
+[![Forks][forks-shield]][forks-url]
+[![Stargazers][stars-shield]][stars-url]
+[![Issues][issues-shield]][issues-url]
+[![MIT License][license-shield]][license-url]
 
 VRMS is a tool used for the engagement, support, and retention of a network of volunteers.
 
 This is an ambitious project to create a system that will help us measure our human capital development, reduce repetitive tasks and processes for leadership, and improve outcomes for both volunteers and the projects they contribute to.
 
+<!-- TABLE OF CONTENTS -->
+<details>
+  <summary>Table of Contents</summary>
+  <ol>
+    <li>
+      <a href=""#about-the-project"">About The Project</a>
+      <ul>
+        <li><a href=""#built-with"">Built With</a></li>
+      </ul>
+    </li>
+    <li><a href=""#contributing"">Contributing</a></li>
+    <li><a href=""#wiki-highlights"">Wiki Highlights</a></li>  
+    <!-- <li><a href=""#usage"">Usage</a></li> -->
+    <li><a href=""#roadmap"">Roadmap</a></li>
+    <li><a href=""#license"">License</a></li>
+    <li><a href=""#acknowledgments"">Acknowledgments</a></li>
+  </ol>
+</details>
+
+<!-- ABOUT THE PROJECT -->
+
+## About The Project
+
+VRMS is a tool originally developed to track membership attendance of meetings and evets. It's built in-house, deployed with an express backend and React frontend on AWS, and uses service workers to manage event creation and opening/closing of events.
+
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+### Built With
+
+<div align=""center"">
+
+<!-- The format for these shields is [![NAME][IMAGE-URL]][LINK-URL] -->
+
+[![React][react-shield]][React-url]
+[![AWS][aws-shield]][aws-url]
+[![GitHub Actions][github-actions-shield]][github-actions-url]
+[![Yarn][yarn-shield]][yarn-url]
+[![Vite][vite-shield]][vite-url]
+[![Docker][docker-shield]][docker-url]
+
+
+</div>
+
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+## Contributing
+
+Contributions are welcome once you've been onboarded to Hack for LA through an onboarding event:
 
-## How to Contribute
-We require all code contributors to 
-1. Join our organization by going through [Hack for LA onboarding](https://www.hackforla.org/getting-started). It's free to join!
-2. Read our [CONTRIBUTING.md](https://github.com/hackforla/VRMS/blob/development/CONTRIBUTING.md) document.
+1. Join our organization by going through [Hack for LA onboarding](https://www.hackforla.org/getting-started)
+    - Joining is free, and opens up access to contribute to many projects, including VRMS
+2. From there, read our [CONTRIBUTING.md](https://github.com/hackforla/VRMS/blob/development/CONTRIBUTING.md) document to get started!
+
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
 
 ## Wiki Highlights
+
 1. [Introduction](https://github.com/hackforla/VRMS/wiki/Introduction)
 2. [Technology Stack](https://github.com/hackforla/VRMS/wiki/Technology)
 3. [Team Meetings](https://github.com/hackforla/VRMS/wiki/Team-Meetings)
 
-## We Love Our Stars ⭐⭐⭐
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+<!-- ROADMAP -->
+
+## Roadmap
+
+<!-- - [ ] Todo -->
 
-Thanks to the following people who have given us a star on our repo:
-[![Stargazers repo roster for @hackforla/vrms](https://reporoster.com/stars/hackforla/vrms)](https://github.com/hackforla/vrms/stargazers)
+See the [open issues](https://github.com/hackforla/VRMS/issues) and [VRMS project board](https://github.com/orgs/hackforla/projects/72) for a full list of proposed features (and known issues).
 
-### Licensing
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+## License
 
 [AGPL-3.0 License](https://github.com/hackforla/VRMS/blob/development/LICENSE)
+
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+<!-- USAGE EXAMPLES -->
+
+<!-- ## Usage -->
+<!-- Add screenshots -->
+<!-- Add usage videos -->
+<!-- Add login example -->
+
+<!-- ACKNOWLEDGMENTS -->
+
+## Acknowledgments
+
+While GitHub provides a lot of recognition of the code commits that exist within this project, often the contributions of the organizational structure go without credit. We'd like to thank all the designers, project managers, usability testers, and data scientists that have touched this project over the years.
+
+Thanks for all your hard work!
+
+<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>
+
+<!-- MARKDOWN LINKS & IMAGES -->
+<!-- https://www.markdownguide.org/basic-syntax/#reference-style-links -->
+
+[commit-activity-url]: https://github.com/hackforla/VRMS/commits/development/
+[commit-activity-shield]: https://img.shields.io/github/commit-activity/m/hackforla/vrms?style=for-the-badge
+[contributors-shield]: https://img.shields.io/github/contributors/hackforla/VRMS.svg?style=for-the-badge
+[contributors-url]: https://github.com/hackforla/VRMS/graphs/contributors
+[forks-shield]: https://img.shields.io/github/forks/hackforla/VRMS.svg?style=for-the-badge
+[forks-url]: https://github.com/hackforla/VRMS/network/members
+[stars-shield]: https://img.shields.io/github/stars/hackforla/VRMS.svg?style=for-the-badge
+[stars-url]: https://github.com/hackforla/VRMS/stargazers
+[issues-shield]: https://img.shields.io/github/issues/hackforla/VRMS.svg?style=for-the-badge
+[issues-url]: https://github.com/hackforla/VRMS/issues
+[license-shield]: https://img.shields.io/github/license/hackforla/VRMS.svg?style=for-the-badge
+[license-url]: https://github.com/hackforla/VRMS/blob/main/LICENSE.txt
+[linkedin-shield]: https://img.shields.io/badge/-LinkedIn-black.svg?style=for-the-badge&logo=linkedin&colorB=555
+[linkedin-url]: https://linkedin.com/in/trilliumsmith
+[product-screenshot]: images/screenshot.png
+[react-shield]: https://img.shields.io/badge/React-20232A?style=for-the-badge&logo=react&logoColor=61DAFB
+[React-url]: https://reactjs.org/
+[Site-url]: https://vrms.io
+
+
+[aws-shield]: https://img.shields.io/badge/AWS-%23FF9900.svg?style=for-the-badge&logo=amazon-aws&logoColor=white
+[aws-url]: https://aws.amazon.com/
+[github-actions-shield]: https://img.shields.io/badge/github%20actions-%232671E5.svg?style=for-the-badge&logo=githubactions&logoColor=white
+[github-actions-url]: https://docs.github.com/en/actions
+[yarn-shield]: https://img.shields.io/badge/yarn-%232C8EBB.svg?style=for-the-badge&logo=yarn&logoColor=white
+[yarn-url]: https://yarnpkg.com/
+[vite-shield]: https://img.shields.io/badge/vite-%23646CFF.svg?style=for-the-badge&logo=vite&logoColor=white
+[vite-url]: https://vitejs.dev/
+[docker-shield]: https://img.shields.io/badge/docker-%230db7ed.svg?style=for-the-badge&logo=docker&logoColor=white
+[docker-url]: https://www.docker.com/
\ No newline at end of file"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,client/src/components/ProjectForm.js,modified,71,65,136,"@@ -3,6 +3,7 @@ import { useHistory } from 'react-router-dom';
 import { useForm, useFormState } from 'react-hook-form';
 import { Redirect } from 'react-router-dom';
 import {
+  CircularProgress,
   Typography,
   Box,
   Button,
@@ -69,10 +70,11 @@ export default function ProjectForm({
   const history = useHistory();
 
   // ----------------- States -----------------
+  const { auth } = useAuth();
+  const [isLoading, setIsLoading] = useState(false);
   const [locationType, setLocationType] = useState('remote');
   // State to track the toggling from Project view to Edit Project View via edit icon.
   const [editMode, setEditMode] = useState(false);
-  const { auth } = useAuth();
   const [isModalOpen, setIsModalOpen] = useState(false);
   const handleOpen = () => setIsModalOpen(true);
   const handleClose = () => setIsModalOpen(false);
@@ -111,25 +113,31 @@ export default function ProjectForm({
   // Handles POST request found in api/ProjectApiService.
   const submitNewProject = async (data) => {
     const projectApi = new ProjectApiService();
+
     try {
+      setIsLoading(true);
       const id = await projectApi.create(data);
       history.push(`/projects/${id}`);
     } catch (errors) {
       console.error(errors);
-      return;
     }
+    return () => setIsLoading(false);
   };
 
   // Fires PUT request to update the project,
   const submitEditProject = async (data) => {
     const projectApi = new ProjectApiService();
     try {
+      setIsLoading(true);
       await projectApi.updateProject(projectToEdit._id, data);
     } catch (errors) {
       console.error(errors);
+      setIsLoading(false);
       return;
     }
     // setOriginalProjectData(data);
+
+    setIsLoading(false);
     setFormData(data);
     setEditMode(false);
   };
@@ -231,70 +239,68 @@ export default function ProjectForm({
         <TitledBox
           title={editMode ? 'Editing Project' : 'Project Information'}
           badge={isEdit ? editIcon() : addIcon()}
-        >
-          {' '}
-          <form
-            id=""project-form""
-            onSubmit={handleSubmit((data) => {
-              isEdit ? submitEditProject(data) : submitNewProject(data);
-            })}
-          >
-            {arr.map((input) => (
-              <ValidatedTextField
-                key={input.name}
-                register={register}
-                isEdit={isEdit}
-                editMode={editMode}
-                locationType={locationType}
-                locationRadios={locationRadios}
-                errors={errors}
-                input={input}
-              />
-            ))}
-            <ChangesModal
-              open={isModalOpen}
-              onClose={handleClose}
-              destination={'/projects'}
-              aria-labelledby=""modal-modal-title""
-              aria-describedby=""modal-modal-description""
-              handleClose={handleClose}
-            />
-          </form>
-          <Box>
-            <Grid container justifyContent=""space-evenly"" sx={{ my: 3 }}>
-              <Grid item xs=""auto"">
-                <StyledButton
-                  type=""submit""
-                  form=""project-form""
-                  variant={
-                    !isEdit
-                      ? 'secondary'
-                      : !editMode
-                      ? 'contained'
-                      : 'secondary'
-                  }
-                  cursor=""pointer""
-                  disabled={isEdit ? !editMode : false}
-                >
-                  Save
-                </StyledButton>
-              </Grid>
-              <Grid item xs=""auto"">
-                <StyledButton
-                  variant=""contained""
-                  cursor=""pointer""
-                  onClick={
-                    !editMode || Object.keys(dirtyFields).length === 0
-                      ? checkFields
-                      : handleOpen
-                  }
-                >
-                  Close
-                </StyledButton>
-              </Grid>
+        />
+      ) : (
+        <TitledBox title={'Project Information'} />
+      )}
+      <form
+        id=""project-form""
+        onSubmit={handleSubmit((data) => {
+          isEdit ? submitEditProject(data) : submitNewProject(data);
+        })}
+      >
+        {arr.map((input) => (
+          <ValidatedTextField
+            key={input.name}
+            register={register}
+            isEdit={isEdit}
+            editMode={editMode}
+            locationType={locationType}
+            locationRadios={locationRadios}
+            errors={errors}
+            input={input}
+          />
+        ))}
+        <ChangesModal
+          open={isModalOpen}
+          onClose={handleClose}
+          destination={'/projects'}
+          aria-labelledby=""modal-modal-title""
+          aria-describedby=""modal-modal-description""
+          handleClose={handleClose}
+        />
+      </form>
+      {auth.user.accessLevel === 'admin' ? (
+        <Box>
+          <Grid container justifyContent=""space-evenly"" sx={{ my: 3 }}>
+            <Grid item xs=""auto"">
+              <StyledButton
+                type=""submit""
+                form=""project-form""
+                variant={
+                  !isEdit ? 'secondary' : !editMode ? 'contained' : 'secondary'
+                }
+                cursor=""pointer""
+                disabled={isEdit && isLoading ? !editMode : false}
+              >
+                {isLoading ? <CircularProgress /> : 'Save'}
+              </StyledButton>
             </Grid>
-          </Box>
-        </TitledBox>
+            <Grid item xs=""auto"">
+              <StyledButton
+                variant=""contained""
+                cursor=""pointer""
+                onClick={
+                  !editMode || Object.keys(dirtyFields).length === 0
+                    ? checkFields
+                    : handleOpen
+                }
+              >
+                Close
+              </StyledButton>
+            </Grid>
+          </Grid>
+        </Box>
       ) : (
         <TitledBox title={'Project Information'}>
           {' '}"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,client/src/components/admin/donutChartContainer.js,modified,39,38,77,"@@ -1,7 +1,8 @@
-import React, { useEffect, useRef } from ""react"";
-import * as d3 from ""d3"";
+import React, { useEffect, useRef } from 'react';
+import * as d3 from 'd3';
+import { Box, Typography } from '@mui/material';
 
-import ""../../sass/Dashboard.scss"";
+import '../../sass/Dashboard.scss';
 
 const DonutChartContainer = (props) => {
   const ref = useRef(null);
@@ -25,75 +26,75 @@ const DonutChartContainer = (props) => {
     total += newValue;
     pieData.push({ value: newValue, color: color });
     pieNames.push(
-      <div className=""key-info-container"" key={count}>
-        <div
+      <Box className=""key-info-container"" key={count}>
+        <Box
           className=""key-color""
           style={{ backgroundColor: `${color}` }}
-        >
-        </div>
-        <div className=""key-location"">
-          <p>
+        ></Box>
+        <Box className=""key-location"">
+          <Typography>
             {key}: {newValue}
-          </p>
-        </div>
-      </div>
+          </Typography>
+        </Box>
+      </Box>
     );
   }
   total = Math.round(100 * total) / 100;
 
-  
   useEffect(() => {
     const createPie = d3
       .pie(pieData)
       .value((d) => d.value)
       .sort(null);
-  
+
     const createArc = d3.arc().innerRadius(40).outerRadius(80);
-    
+
     const data = createPie(pieData);
 
     const group = d3.select(ref.current);
-    const groupWithData = group.selectAll(""g.arc"").data(data);
+    const groupWithData = group.selectAll('g.arc').data(data);
 
     groupWithData.exit().remove();
 
     const groupWithUpdate = groupWithData
       .enter()
-      .append(""g"")
-      .attr(""class"", ""arc"");
+      .append('g')
+      .attr('class', 'arc');
 
     const path = groupWithUpdate
-      .append(""path"")
-      .merge(groupWithData.select(""path.arc""));
+      .append('path')
+      .merge(groupWithData.select('path.arc'));
 
     path
-      .attr(""class"", ""arc"")
-      .attr(""d"", createArc)
-      .attr(""fill"", (d, i) => {
+      .attr('class', 'arc')
+      .attr('d', createArc)
+      .attr('fill', (d, i) => {
         const { data } = d;
         return data.color;
       });
   }, [props, pieData]);
 
   return (
-    <div className=""dashboard-stats"">
-      <div className=""dashboard-stat-container"">
-        <div className=""stat-header"">
-          <p className=""stat-header-text"">{props.chartName}:</p>
-        </div>
-        <div className=""stat-number"">{total}</div>
-      </div>
-      <div className=""dashboard-chart-container"">
-        <div className=""donut-container"">
+    <Box className=""dashboard-stats"">
+      <Box className=""dashboard-stat-container"">
+        <Box className=""stat-header"">
+          <Typography className=""stat-header-text"">
+            {props.chartName}:
+          </Typography>
+        </Box>
+        <Box className=""stat-number"">{total}</Box>
+      </Box>
+      <Box className=""dashboard-chart-container"">
+        <Box className=""donut-container"">
           <svg className=""donut"" width={160} height={160}>
             <g ref={ref} transform={`translate(${80} ${80})`} />
           </svg>
-        </div>
-        <div className=""key-wrapper"">
-          <div className=""key-container"">{pieNames}</div>
-        </div>
-      </div>
-    </div>
+        </Box>
+        <Box className=""key-wrapper"">
+          <Box className=""key-container"">{pieNames}</Box>
+        </Box>
+      </Box>
+    </Box>
   );
 };
 "
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,client/src/components/admin/donutChartLoading.js,modified,14,15,29,"@@ -1,20 +1,19 @@
-import React from ""react"";
-import Loading from ""../../svg/22.gif"";
-
-import ""../../sass/Dashboard.scss"";
+import React from 'react';
+import { Box, Container, CircularProgress, Typography } from '@mui/material';
+import '../../sass/Dashboard.scss';
 
 const DonutChartLoading = (props) => (
-  <div className=""dashboard-stats"">
-    <div className=""dashboard-stat-container"">
-      <div className=""stat-header"">
-        <p className=""stat-header-text""></p>
-      </div>
-      <div className=""stat-number""></div>
-    </div>
-    <div className=""dashboard-chart-container"">
-      <img src={Loading} alt=""Logo"" />
-    </div>
-  </div>
+  <Container className=""dashboard-stats"">
+    <Box className=""dashboard-stat-container"">
+      <Box className=""stat-header"">
+        <Typography className=""stat-header-text""></Typography>
+      </Box>
+      <Box className=""stat-number""></Box>
+    </Box>
+    <Box className=""dashboard-chart-container"">
+      <CircularProgress />
+    </Box>
+  </Container>
 );
 
 export default DonutChartLoading;"
hackforla/VRMS,1646,194e38f0d0e29fa7cd82c43646a1d1247eecbf6d,client/src/components/auth/Auth.js,modified,12,3,15,"@@ -22,7 +22,7 @@ const Auth = () => {
   const [email, setEmail] = useState('');
   const [isDisabled, setIsDisabled] = useState(true);
   const [isError, setIsError] = useState(false);
-  const [errorMessage, setErrorMessage] = useState('');
+  const [errorMessage, setErrorMessage] = useState(' ');
 
   const validateEmail = () => {
     if (email.search(pattern) !== -1) {
@@ -102,7 +102,11 @@ const Auth = () => {
         <div className=""adminlogin-headers"">
           <h3>Welcome Back!</h3>
         </div>
-        <form onSubmit={handleLogin} className=""form-check-in"" autoComplete=""off"">
+        <form
+          onSubmit={handleLogin}
+          className=""form-check-in""
+          autoComplete=""off""
+        >
           <div className=""form-row"">
             <div className=""form-input-text"">
               <label htmlFor=""email"">Enter your email address:</label>
@@ -120,7 +124,12 @@ const Auth = () => {
           </div>
         </form>
 
-        {isError && <div className=""adminlogin-warning"">{errorMessage}</div>}
+        <div
+          className=""adminlogin-warning""
+          style={{ visibility: isError ? 'visible' : 'hidden' }}
+        >
+          {errorMessage}
+        </div>
 
         <div className=""form-input-button"">
           <button"
