repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
icosa-foundation/open-brush,722,969783e,Assets/Prefabs/Panels/ReferencePanel/ReferencePanelTabImage.prefab,modified,162,0,162,"@@ -121,6 +121,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -207,6 +225,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -262,6 +298,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -317,6 +371,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -372,6 +444,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -427,6 +517,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -482,6 +590,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -537,6 +663,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -592,6 +736,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []"
icosa-foundation/open-brush,722,969783e,Assets/Scripts/GUI/LoadReferenceImageButton.cs,modified,22,13,35,"@@ -12,24 +12,40 @@
 // See the License for the specific language governing permissions and
 // limitations under the License.
 
+using UnityEngine.Localization;
+using UnityEngine;
+
 namespace TiltBrush
 {
 
     public class LoadReferenceImageButton : BaseButton
     {
         public ReferenceImage ReferenceImage { get; set; }
 
+        [SerializeField] private LocalizedString m_ErrorHelpText;
+
+
+
         public void RefreshDescription()
         {
             if (ReferenceImage != null)
             {
-                SetDescriptionText(ReferenceImage.FileName);
+
+                if (!ReferenceImage.Valid)
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), ImageErrorExtraDescription());
+                }
+                else
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
+                }
+
             }
         }
 
         override protected void OnButtonPressed()
         {
-            if (ReferenceImage == null)
+            if (ReferenceImage == null || !ReferenceImage.Valid)
             {
                 return;
             }
@@ -56,18 +72,11 @@ override protected void OnButtonPressed()
         override public void ResetState()
         {
             base.ResetState();
+        }
 
-            // Make ourselves unavailable if our image has an error.
-            bool available = false;
-            if (ReferenceImage != null)
-            {
-                available = ReferenceImage.NotLoaded || ReferenceImage.Valid;
-            }
-
-            if (available != IsAvailable())
-            {
-                SetButtonAvailable(available);
-            }
+        public string ImageErrorExtraDescription()
+        {
+            return m_ErrorHelpText.GetLocalizedStringAsync().Result;
         }
     }
 } // namespace TiltBrush"
icosa-foundation/open-brush,722,969783e,Assets/Settings/Localization/Strings/Strings Shared Data.asset,modified,4,0,4,"@@ -3315,6 +3315,10 @@ MonoBehaviour:
     m_Key: DirectoryChooserPopupButton
     m_Metadata:
       m_Items: []
+  - m_Id: 238556149774557184
+    m_Key: PANEL_REFERENCE_ICONIMAGE_LOADERRORTEXT
+    m_Metadata:
+      m_Items: []
   m_Metadata:
     m_Items: []
   m_KeyGenerator:"
icosa-foundation/open-brush,722,969783e,Assets/Settings/Localization/Strings/Strings_en.asset,modified,5,1,6,"@@ -11,7 +11,7 @@ MonoBehaviour:
   m_EditorHideFlags: 0
   m_Script: {fileID: 11500000, guid: e9620f8c34305754d8cc9a7e49e852d9, type: 3}
   m_Name: Strings_en
-  m_EditorClassIdentifier:
+  m_EditorClassIdentifier: 
   m_LocaleId:
     m_Code: en
   m_SharedData: {fileID: 11400000, guid: c84355079ab3f3e4f8f3812258805f86, type: 2}
@@ -3512,6 +3512,10 @@ MonoBehaviour:
     m_Localized: Pick a Subfolder
     m_Metadata:
       m_Items: []
+  - m_Id: 238556149774557184
+    m_Localized: Image too large to load
+    m_Metadata:
+      m_Items: []
   references:
     version: 2
     RefIds: []"
icosa-foundation/open-brush,722,a66aa96,Assets/Scripts/GUI/LoadReferenceImageButton.cs,modified,22,24,46,"@@ -24,30 +24,28 @@ public class LoadReferenceImageButton : BaseButton
 
         [SerializeField] private LocalizedString m_ErrorHelpText;
 
-
-        // this is commented out and moved into ResetState() because
-        // for a new image (ie., one that isn't in the cache yet), !ReferenceImage.Valid, even if the size is valid (ie less than the max size)
-        // TODO: figure out if it's bad to move this into ResetState()
         public void RefreshDescription()
         {
-            /* if (ReferenceImage != null)
-             {
+            if (ReferenceImage != null)
+            {
 
-                 if (!ReferenceImage.Valid)
-                 {
-                     SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), ImageErrorExtraDescription());
-                 }
-                 else
-                 {
-                     SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
-                 }
+                // Problem: image can have error for other reasons too, not just for being too large
+                // displays ""Image too large to load"" under the file name.
+                if (ReferenceImage.Icon == ReferenceImageCatalog.m_Instance.ErrorImage)
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), ImageErrorExtraDescription());
+                }
+                else
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
+                }
 
-             }*/
+            }
         }
 
         override protected void OnButtonPressed()
         {
-            if (ReferenceImage == null || !ReferenceImage.Valid)
+            if (ReferenceImage == null)
             {
                 return;
             }
@@ -75,19 +73,19 @@ override public void ResetState()
         {
             base.ResetState();
 
-            if (ReferenceImage == null)
+            // Make ourselves unavailable if our image has an error.
+            bool available = false;
+            if (ReferenceImage != null)
             {
-                return;
+                available = ReferenceImage.NotLoaded || ReferenceImage.Valid;
             }
 
-            if (!ReferenceImage.Valid)
+            if (available != IsAvailable())
             {
-                SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), ImageErrorExtraDescription());
-            }
-            else
-            {
-                SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
+                SetButtonAvailable(available);
             }
+
+            RefreshDescription();
         }
 
         public string ImageErrorExtraDescription()"
icosa-foundation/open-brush,722,6c0d56e,Assets/Resources/Brushes/Basic/Flat/Flat.asset,modified,1,1,2,"@@ -56,7 +56,7 @@ MonoBehaviour:
   m_Opacity: 1
   m_PressureOpacityRange: {x: 1, y: 1}
   m_ColorLuminanceMin: 0
-  m_ColorSaturationMax: 0
+  m_ColorSaturationMax: 1
   m_ParticleSpeed: 0
   m_ParticleRate: 1
   m_ParticleInitialRotationRange: 0"
icosa-foundation/open-brush,722,f6bcc9e,Assets/Prefabs/Panels/ReferencePanel/ReferencePanelIconBackgroundImage.prefab,modified,9,0,9,"@@ -144,6 +144,15 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238935604850335744
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []"
icosa-foundation/open-brush,722,f6bcc9e,Assets/Prefabs/Panels/ReferencePanel/ReferencePanelTabImage.prefab,modified,162,0,162,"@@ -121,6 +121,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -207,6 +225,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -262,6 +298,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -317,6 +371,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -372,6 +444,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -427,6 +517,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -482,6 +590,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -537,6 +663,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []
@@ -592,6 +736,24 @@ MonoBehaviour:
   m_HoverScale: 1.2
   m_HoverBoxColliderGrow: 0.2
   m_AddOverlay: 0
+  m_LoadHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238555522805800960
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
+  m_ErrorHelpText:
+    m_TableReference:
+      m_TableCollectionName: GUID:c84355079ab3f3e4f8f3812258805f86
+    m_TableEntryReference:
+      m_KeyId: 238556149774557184
+      m_Key: 
+    m_FallbackState: 0
+    m_WaitForCompletion: 0
+    m_LocalVariables: []
   references:
     version: 2
     RefIds: []"
icosa-foundation/open-brush,722,f6bcc9e,Assets/Scripts/GUI/LoadBackgroundImageButton.cs,modified,17,2,19,"@@ -13,6 +13,8 @@
 // limitations under the License.
 
 using UnityEngine;
+using UnityEngine.Localization;
+
 namespace TiltBrush
 {
 
@@ -24,10 +26,21 @@ public void RefreshDescription()
         {
             if (ReferenceImage != null)
             {
-                SetDescriptionText(ReferenceImage.FileName);
+
+                // null if image doesn't have error
+                string errorMessage = ReferenceImage.ImageErrorExtraDescription();
+
+                if (errorMessage != null)
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), errorMessage);
+                }
+                else
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
+                }
+
             }
         }
-
         override protected void OnButtonPressed()
         {
             if (ReferenceImage == null)
@@ -52,6 +65,8 @@ override public void ResetState()
             {
                 SetButtonAvailable(available);
             }
+
+            RefreshDescription();
         }
 
         public void Set360ButtonTexture(Texture2D rTexture, float aspect = -1)"
icosa-foundation/open-brush,722,f6bcc9e,Assets/Scripts/GUI/LoadReferenceImageButton.cs,modified,18,1,19,"@@ -12,6 +12,9 @@
 // See the License for the specific language governing permissions and
 // limitations under the License.
 
+using UnityEngine.Localization;
+using UnityEngine;
+
 namespace TiltBrush
 {
 
@@ -23,7 +26,19 @@ public void RefreshDescription()
         {
             if (ReferenceImage != null)
             {
-                SetDescriptionText(ReferenceImage.FileName);
+
+                // null if image doesn't have error
+                string errorMessage = ReferenceImage.ImageErrorExtraDescription();
+
+                if (errorMessage != null)
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName), errorMessage);
+                }
+                else
+                {
+                    SetDescriptionText(App.ShortenForDescriptionText(ReferenceImage.FileName));
+                }
+
             }
         }
 
@@ -68,6 +83,8 @@ override public void ResetState()
             {
                 SetButtonAvailable(available);
             }
+
+            RefreshDescription();
         }
     }
 } // namespace TiltBrush"
