repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
leetvr/hotham,402,e98cde6,test_assets/render_Full.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:a5846f134c74bcb628d4298e34269632b4b0f19bbaf7684855a2ba31b7d7439d
-size 51068
+oid sha256:40c9bf6ea1befcea9a6a6845f04aca924495ea2f9fa348107cabe37e1650dd1a
+size 51035"
leetvr/hotham,402,e98cde6,test_assets/render_Full_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:a5846f134c74bcb628d4298e34269632b4b0f19bbaf7684855a2ba31b7d7439d
-size 51068
+oid sha256:40c9bf6ea1befcea9a6a6845f04aca924495ea2f9fa348107cabe37e1650dd1a
+size 51035"
leetvr/hotham,402,e98cde6,test_assets/render_No_IBL.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:7f15cdd357cb9105100e091779bd5b5d0d17974edb31985a41083cdbfc7cc205
-size 24224
+oid sha256:751a914da91b38eaf6b27cf0ed3eaf58b9fc1daeb4964a1cd0c56f592a23daee
+size 24220"
leetvr/hotham,402,e98cde6,test_assets/render_No_IBL_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:7f15cdd357cb9105100e091779bd5b5d0d17974edb31985a41083cdbfc7cc205
-size 24224
+oid sha256:751a914da91b38eaf6b27cf0ed3eaf58b9fc1daeb4964a1cd0c56f592a23daee
+size 24220"
leetvr/hotham,402,e98cde6,test_assets/render_Normals.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:00ac769bb04e6662416f349c190703c3a1afe8ae4782a207337664d95909990c
-size 41975
+oid sha256:0735efcb315378e7c5d3d77e51545b372bd5bc649639e3d491588a8a5b871846
+size 41977"
leetvr/hotham,402,e98cde6,test_assets/render_Normals_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:00ac769bb04e6662416f349c190703c3a1afe8ae4782a207337664d95909990c
-size 41975
+oid sha256:0735efcb315378e7c5d3d77e51545b372bd5bc649639e3d491588a8a5b871846
+size 41977"
leetvr/hotham,402,e98cde6,test_assets/render_Spotlight.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:c164ecbe04b3114bfe937365f43462e70c7298d53945fc2db88a22682bc08bd6
-size 29199
+oid sha256:950be1e0fd697da45b115a2ecdb2a93d463b92a3209e5dfea9e7713e303ccd88
+size 29065"
leetvr/hotham,402,e98cde6,test_assets/render_Spotlight_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:c164ecbe04b3114bfe937365f43462e70c7298d53945fc2db88a22682bc08bd6
-size 29199
+oid sha256:950be1e0fd697da45b115a2ecdb2a93d463b92a3209e5dfea9e7713e303ccd88
+size 29065"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_IBL.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:834cb536a9b123a31476eb818a41d4da01807a541a93abd2af941f8ebd422353
-size 74903
+oid sha256:6a1691f14db855ff55de4f81d46b8e1ab47492be48e65c474f0e7ea1fad49244
+size 74817"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_IBL_and_spotlight.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:dba841a7b9dd0fedff9e59c60788ed1e245583b92b99ab01fdce57f5a5b5f276
-size 72453
+oid sha256:23ff9f6a5fdcc11597bf953db2b8d943f0b5012d854fcaf077d7a92d5a0ff3ba
+size 72320"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_IBL_and_spotlight_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:dba841a7b9dd0fedff9e59c60788ed1e245583b92b99ab01fdce57f5a5b5f276
-size 72453
+oid sha256:23ff9f6a5fdcc11597bf953db2b8d943f0b5012d854fcaf077d7a92d5a0ff3ba
+size 72320"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_IBL_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:834cb536a9b123a31476eb818a41d4da01807a541a93abd2af941f8ebd422353
-size 74903
+oid sha256:6a1691f14db855ff55de4f81d46b8e1ab47492be48e65c474f0e7ea1fad49244
+size 74817"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Normals.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:3db6179914f6229022103c5521539fa40990b49f05ae8d2cdb833231c4352a39
-size 71561
+oid sha256:890c85e8893c82cbad26fec38556750fcc4b52114b49e5b1726f2c4ca9b0fc5d
+size 71666"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Normals_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:3db6179914f6229022103c5521539fa40990b49f05ae8d2cdb833231c4352a39
-size 71561
+oid sha256:890c85e8893c82cbad26fec38556750fcc4b52114b49e5b1726f2c4ca9b0fc5d
+size 71666"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Spotlight1.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:b90fa6e04513d9925a89396a5b66705429e93ae5e4fd1037d548abf8d52f7910
-size 47213
+oid sha256:1dfde10f82816a3e3d3b1c2ae3e98f01ace398f17fc3260372bb6517f135312d
+size 47004"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Spotlight1_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:b90fa6e04513d9925a89396a5b66705429e93ae5e4fd1037d548abf8d52f7910
-size 47213
+oid sha256:1dfde10f82816a3e3d3b1c2ae3e98f01ace398f17fc3260372bb6517f135312d
+size 47004"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Spotlight2.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:8cccbea694c12d9dec9f07ae8eb6db8584e57966e706861afce4b25ca837d767
-size 52234
+oid sha256:0de111efb0157c7a8931977c7045261800967f2d74eea38d687c8488de2dcfa2
+size 52138"
leetvr/hotham,402,e98cde6,test_assets/render_normal_tangent_test_Spotlight2_known_good.jpg,modified,2,2,4,"@@ -1,3 +1,3 @@
 version https://git-lfs.github.com/spec/v1
-oid sha256:8cccbea694c12d9dec9f07ae8eb6db8584e57966e706861afce4b25ca837d767
-size 52234
+oid sha256:0de111efb0157c7a8931977c7045261800967f2d74eea38d687c8488de2dcfa2
+size 52138"
