repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/animation/index.html,modified,2,2,4,"@@ -19,8 +19,8 @@
     </a-assets>
 
     <a-scene stats=""true"">
-      <a-entity position=""0 0 20"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls></a-entity>
+      <a-entity position=""0 0 6"">
+        <a-entity camera look-controls wasd-controls></a-entity>
       </a-entity>
       <a-entity rotation=""0 0 0"" position=""0 0 -5"">
         <!-- Lights. -->"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/controls/index.html,modified,5,5,10,"@@ -12,12 +12,12 @@
   <body>
     <a-scene stats=""true"">
       <!-- We wrap the camera in an <a-entity> so we can position it without colliding with the HMD updates -->
-      <a-entity position=""0 0 20"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls></a-entity>
+      <a-entity>
+        <a-entity position=""0 1.8 4"" camera look-controls wasd-controls></a-entity>
       </a-entity>
-      <a-entity position=""-10 0 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: red""></a-entity>
-      <a-entity position=""0 0 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: green""></a-entity>
-      <a-entity class=""cube"" position=""10 0 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: blue""></a-entity>
+      <a-entity position=""-3.5 1 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: red""></a-entity>
+      <a-entity position=""0 1 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: green""></a-entity>
+      <a-entity position=""3.5 1 0"" rotation=""0 45 0"" geometry=""primitive: box"" material=""color: blue""></a-entity>
     </a-scene>
   </body>
 </html>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/cube/index.html,modified,2,2,4,"@@ -14,8 +14,8 @@
   <body>
     <a-scene stats=""true"">
       <!-- Cube -->
-      <a-entity position=""0 0 -20"" rotation=""45 30 0""
-                geometry=""primitive: box; height: 10; width: 10; depth: 10;""
+      <a-entity position=""0 0 -10"" rotation=""45 30 0""
+                geometry=""primitive: box; height: 8; width: 8; depth: 8;""
                 material=""color: #167341; roughness: 1.0; metalness: 0.2;""></a-entity>
     </a-scene>
   </body>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/cursor/index.html,modified,6,6,12,"@@ -21,8 +21,8 @@
     </a-assets>
 
     <a-scene stats=""true"">
-      <a-entity position=""-3 0 20"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls>
+      <a-entity position=""0 2.2 4"">
+        <a-entity camera look-controls wasd-controls>
           <a-entity position=""0 0 -5""
                     geometry=""primitive: ring; outerRadius: 0.30;
                               innerRadius: 0.20;""
@@ -31,29 +31,29 @@
         </a-entity>
       </a-entity>
 
-      <a-entity position=""-10 0 0"">
+      <a-entity position=""-3.5 1 0"">
         <a-entity mixin=""cube red"">
           <a-animation begin=""click"" attribute=""position"" from=""0 0 0""
                        to=""0 0 -10"" dur=""2000"" fill=""both""></a-animation>
         </a-entity>
       </a-entity>
 
-      <a-entity>
+      <a-entity position=""0 1 0"">
         <a-entity mixin=""cube green"">
           <a-animation begin=""click"" attribute=""rotation"" to=""0 360 0""
                        easing=""linear"" dur=""2000"" fill=""backwards""></a-animation>
         </a-entity>
       </a-entity>
 
-      <a-entity position=""10 0 0"" rotation=""0 45 0"">
+      <a-entity position=""3.5 1 0"" rotation=""0 45 0"">
         <a-entity mixin=""cube blue"">
           <a-animation begin=""click"" fill=""forwards"" repeat=""1""
                        direction=""alternate"" attribute=""position"" from=""0 0 0""
                        to=""15 0 0"" dur=""2000""></a-animation>
         </a-entity>
       </a-entity>
 
-      <a-entity class=""clickable"" mixin=""cube yellow"" position=""0 -5 0""
+      <a-entity position=""0 3 0"" class=""clickable"" mixin=""cube yellow""
                 rotation=""0 45 0"" scale="".5 .5 .5""></a-entity>
     </a-scene>
 "
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/cylinders/index.html,modified,3,3,6,"@@ -15,8 +15,8 @@
                                 material=""side: double""></a-mixin>
     </a-assets>
     <a-scene stats=""true"">
-      <a-entity position=""0 0 20"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls></a-entity>
+      <a-entity position=""0 0 8"">
+        <a-entity camera look-controls wasd-controls></a-entity>
       </a-entity>
 
       <a-entity mixin=""cylinder"" position=""-10 0 0"" rotation=""45 0 -45""
@@ -32,7 +32,7 @@
                 geometry=""radius: 4; height: 2; thetaLength: 3; thetaStart: 3""
                 material=""color: orchid""></a-entity>
 
-      <a-entity mixin=""cylinder"" position=""4 -5 0"" rotation=""0 0 0""
+      <a-entity mixin=""cylinder"" position=""5 -5 0"" rotation=""-45 0 0""
                 geometry=""radiusTop: 3; radiusBottom: 0.1; height: 2""
                 material=""color: green""></a-entity>
     </a-scene>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/fog/index.html,modified,18,14,32,"@@ -11,45 +11,49 @@
 
   <body>
     <a-assets>
-      <a-mixin id=""move"" attribute=""position"" direction=""alternate"" dur=""8192""
+      <a-mixin id=""move"" attribute=""position"" direction=""alternate"" dur=""4096""
                          fill=""forwards"" easing=""linear"" repeat=""indefinite"">
       </a-mixin>
-      <a-mixin id=""box"" geometry=""primitive: torusKnot; p: 3; q: 11; tube: .5""
+      <a-mixin id=""box"" geometry=""primitive: torusKnot; p: 3; q: 11; tube: .5; radius: 10""
                         material=""color: #2F3C4F""></a-mixin>
       <a-mixin id=""spin"" attribute=""rotation"" dur=""4096"" to=""-360 0 0""
                          easing=""linear"" repeat=""indefinite""></a-mixin>
     </a-assets>
-    <a-scene fog=""type: linear; color: #AAB; far: 120; near: 5""
+    <a-scene fog=""type: linear; color: #AAB; far: 120; near: 0""
              stats=""true"">
       <!-- Camera. -->
       <a-entity position=""0 1.8 0"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls></a-entity>
+        <a-entity camera look-controls wasd-controls></a-entity>
       </a-entity>
 
       <!-- Skysphere. -->
-      <a-entity geometry=""primitive: sphere; radius: 80""
+      <a-entity geometry=""primitive: sphere; radius: 120""
                 material=""shader: flat;
                           src: url(../_images/pano/louvre.jpg)""
-                position=""0 1.8 0"" scale=""1 1 -1""></a-entity>
+                position=""0 1.8 0"" scale=""1 1 -1"" rotation=""0 90 0""></a-entity>
 
-      <a-entity mixin=""box"" position=""-40 0 0"">
-        <a-animation mixin=""move"" from=""-40 0 0 "" to=""-80 0 0"">
+      <a-entity mixin=""box"" position=""-30 0 0"">
+        <a-animation mixin=""move"" to=""-100 0 0"">
         </a-animation>
         <a-animation mixin=""spin""></a-animation>
       </a-entity>
-      <a-entity mixin=""box"" position=""40 0 0"">
-        <a-animation mixin=""move"" from=""40 0 0"" to=""80 0 0""></a-animation>
+
+      <a-entity mixin=""box"" position=""30 0 0"">
+        <a-animation mixin=""move"" to=""100 0 0""></a-animation>
         <a-animation mixin=""spin""></a-animation>
       </a-entity>
-      <a-entity mixin=""box"" position=""0 0 -40"">
-        <a-animation mixin=""move"" from=""0 0 -40"" to=""0 0 -80"">
+
+      <a-entity mixin=""box"" position=""0 0 -30"">
+        <a-animation mixin=""move"" to=""0 0 -100"">
         </a-animation>
         <a-animation mixin=""spin""></a-animation>
       </a-entity>
-      <a-entity mixin=""box"" position=""0 0 40"">
-        <a-animation mixin=""move"" from=""0 0 40"" to=""0 0 80""></a-animation>
+
+      <a-entity mixin=""box"" position=""0 0 30"">
+        <a-animation mixin=""move"" to=""0 0 100""></a-animation>
         <a-animation mixin=""spin""></a-animation>
       </a-entity>
+
     </a-scene>
   </body>
 </html>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/geometries/index-gallery.html,added,201,0,201,"@@ -0,0 +1,201 @@
+<!DOCTYPE html>
+<html>
+  <head>
+    <meta charset=""utf-8"">
+    <title>Geometries</title>
+    <meta name=""description"" content=""Geometries — A-Frame Core"">
+    <link rel=""stylesheet"" type=""text/css"" href=""../../style/aframe-core.css"">
+    <link rel=""stylesheet"" type=""text/css"" href=""../_style/main.css"">
+    <script src=""../../build/aframe-core.js""></script>
+  </head>
+  <body>
+    <a-assets>
+      <!-- Geometry mixins. -->
+      <a-mixin id=""box""
+               geometry=""primitive: box; depth: .125; height: .125;
+                         width: .125""></a-mixin>
+      <a-mixin id=""circle""
+               geometry=""primitive: circle; openEnded: true; radius: .2;
+                         segments: 100; thetaStart: 0; thetaEnd: 3"">
+      </a-mixin>
+      <a-mixin id=""cylinder""
+               geometry=""primitive: cylinder; radius: 0.2; height: .5;
+                         segmentsRadius: 50; segmentsHeight: 50:
+                         openEnded: true; thetaStart: 0; thetaEnd: 3"">
+      </a-mixin>
+      <a-mixin id=""ring""
+                geometry=""primitive: ring; innerRadius: .3;
+                          openEnded: true; outerRadius: .5;
+                          segments: 50""></a-mixin>
+      <a-mixin id=""sphere""
+                geometry=""primitive: sphere; radius: .1""></a-mixin>
+      <a-mixin id=""torus""
+                geometry=""primitive: torus; arc: 6; radius: .3; tube: .05;
+                          segments: 32; tubularSegments: 10;""></a-mixin>
+      <a-mixin id=""torus-knot""
+                geometry=""primitive: torusKnot; p: 3; q: 7; radius: .25;
+                          segments: 32; tube: .07; tubularSegments: 10"">
+      </a-mixin>
+
+      <!-- Layout mixins. -->
+      <a-mixin id=""column""
+                geometry=""primitive: box; depth: .75; height: 1.2; width: .75""
+                material=""color: #FFF"" position=""0 .6 0""></a-mixin>
+      <a-mixin id=""column-bottom"" geometry=""primitive: box; depth: 1;
+                                            height: .1; width: 1;""
+               material=""color: #FFF"" position=""0 .1 0"">
+      </a-mixin>
+      <a-mixin id=""column-light"" light=""type: point; intensity: 0.5;
+                                        distance: 5;""
+                position=""0 1.5 0"">
+      </a-mixin>
+      <a-mixin id=""object-on-column"" position=""0 1.2 0""></a-mixin>
+
+      <!-- Animation mixins. -->
+      <a-mixin id=""yoyo"" direction=""alternate"" fill=""forwards""
+                         repeat=""indefinite""></a-mixin>
+      <a-mixin id=""spin"" attribute=""rotation"" to=""0 360 0""
+               repeat=""indefinite"" easing=""linear"" dur=""10000""></a-mixin>
+      <a-mixin id=""spin-x"" mixin=""spin"" attribute=""rotation"" to=""360 0 0""
+               repeat=""indefinite"" easing=""linear"" dur=""10000""></a-mixin>
+
+      <a-mixin id=""color"" material=""color: #FFFFC3""></a-mixin>
+      <a-mixin id=""doubleside"" material=""side: double""></a-mixin>
+
+      <img id=""carpet"" src=""../_images/textures/carpet.jpg"">
+      <img id=""floor"" src=""../_images/textures/marble.jpg"">
+    </a-assets>
+
+    <a-scene stats=""true"">
+      <!-- Camera. -->
+      <a-entity position=""0 1.8 0"">
+        <a-entity camera look-controls wasd-controls>
+        </a-entity>
+      </a-entity>
+
+      <!-- Lights. -->
+      <a-entity light=""type: ambient; color: #444""></a-entity>
+      <a-entity light=""type: directional; color: #EEE""
+                position=""0 1 1"">
+      </a-entity>
+
+      <!-- Skysphere. -->
+      <a-entity geometry=""primitive: sphere; radius: 80""
+                material=""color: #112; shader: flat"" scale=""1 1 -1"">
+      </a-entity>
+
+      <!-- Floor. -->
+      <a-entity geometry=""primitive: cylinder; height: .2; radius: 12;""
+                material=""color: #BABABA; src: #floor;
+                          metallic: .2; repeat: 50 20; roughness: .1""
+                position=""0 0 0""></a-entity>
+
+      <!-- Carpet. -->
+      <a-entity geometry=""primitive: box; depth: 20; height: 0.025; width: 2""
+                material=""color: #440000; metallic: 0; src: #carpet;
+                          repeat: 3 40; roughness: 1""
+                position=""0 .2 0"">
+      </a-entity>
+
+      <!-- Boxes. -->
+      <a-entity position=""-2.5 0 1"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color box"">
+            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color box"" position="".18 1.2 .1"">
+            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color box""
+                    position=""-.18 1.2 -.2"">
+            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Circles. -->
+      <a-entity position=""-2.5 0 -2"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color doubleside circle"">
+            <a-animation mixin=""spin""></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color doubleside circle"">
+            <a-animation mixin=""spin-x""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Cylinders. -->
+      <a-entity position=""-2.5 0 -5"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color cylinder"">
+            <a-animation mixin=""spin-x""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Rings. -->
+      <a-entity position=""2.5 0 1"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color doubleside ring"">
+            <a-animation mixin=""spin"" dur=""6000""></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color doubleside ring"">
+            <a-animation mixin=""spin"" to=""360 0 0"" dur=""6000""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Spheres. -->
+      <a-entity position=""2.5 0 -2"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color sphere""
+                    position=""-.2 1.2 0"">
+            <a-animation mixin=""yoyo"" attribute=""position"" from=""-.2 1 0""
+                         to=""-.2 1.8 0""></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color sphere"">
+            <a-animation mixin=""yoyo"" attribute=""position"" from=""0 1.8 0""
+                         to=""0 1 0"" ></a-animation>
+          </a-entity>
+          <a-entity mixin=""object-on-column color sphere"" position="".2 1 0"">
+            <a-animation mixin=""yoyo"" attribute=""position"" from="".2 1 0""
+                         to="".2 1.8 0""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Torus. -->
+      <a-entity position=""2.5 0 -5"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color torus"">
+            <a-animation mixin=""spin""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+
+      <!-- Torus Knot. -->
+      <a-entity position=""2.5 0 -8"">
+        <a-entity mixin=""column"">
+          <a-entity mixin=""column-light""></a-entity>
+          <a-entity mixin=""object-on-column color torus-knot"">
+            <a-animation mixin=""spin""></a-animation>
+          </a-entity>
+        </a-entity>
+        <a-entity mixin=""column-bottom""></a-entity>
+      </a-entity>
+    </a-scene>
+  </body>
+</html>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/geometries/index.html,modified,10,182,192,"@@ -9,193 +9,21 @@
     <script src=""../../build/aframe-core.js""></script>
   </head>
   <body>
-    <a-assets>
-      <!-- Geometry mixins. -->
-      <a-mixin id=""box""
-               geometry=""primitive: box; depth: .125; height: .125;
-                         width: .125""></a-mixin>
-      <a-mixin id=""circle""
-               geometry=""primitive: circle; openEnded: true; radius: .2;
-                         segments: 100; thetaStart: 0; thetaEnd: 3"">
-      </a-mixin>
-      <a-mixin id=""cylinder""
-               geometry=""primitive: cylinder; radius: 0.2; height: .5;
-                         segmentsRadius: 50; segmentsHeight: 50:
-                         openEnded: true; thetaStart: 0; thetaEnd: 3"">
-      </a-mixin>
-      <a-mixin id=""ring""
-                geometry=""primitive: ring; innerRadius: .3;
-                          openEnded: true; outerRadius: .5;
-                          segments: 50""></a-mixin>
-      <a-mixin id=""sphere""
-                geometry=""primitive: sphere; radius: .1""></a-mixin>
-      <a-mixin id=""torus""
-                geometry=""primitive: torus; arc: 6; radius: .3; tube: .05;
-                          segments: 32; tubularSegments: 10""></a-mixin>
-      <a-mixin id=""torus-knot""
-                geometry=""primitive: torusKnot; p: 3; q: 7; radius: .35;
-                          segments: 32; tube: .1; tubularSegments: 10"">
-      </a-mixin>
-
-      <!-- Layout mixins. -->
-      <a-mixin id=""column""
-                geometry=""primitive: box; depth: .75; height: 1.5; width: .75""
-                material=""color: #FFF"" position=""0 .75 0""></a-mixin>
-      <a-mixin id=""column-bottom"" geometry=""primitive: box; depth: 1;
-                                            height: .1; width: 1;""
-               material=""color: #FFF"" position=""0 .1 0"">
-      </a-mixin>
-      <a-mixin id=""column-light"" light=""type: point; intensity: 1;
-                                        distance: 5;""
-                position=""0 1.5 0"">
-      </a-mixin>
-      <a-mixin id=""object-on-column"" position=""0 1.4 0""></a-mixin>
-
-      <!-- Animation mixins. -->
-      <a-mixin id=""yoyo"" direction=""alternate"" fill=""forwards""
-                         repeat=""indefinite""></a-mixin>
-      <a-mixin id=""spin"" attribute=""rotation"" to=""0 360 0""
-               repeat=""indefinite"" easing=""linear"" dur=""10000""></a-mixin>
-      <a-mixin id=""spin-x"" mixin=""spin"" attribute=""rotation"" to=""360 0 0""
-               repeat=""indefinite"" easing=""linear"" dur=""10000""></a-mixin>
-
-      <a-mixin id=""color"" material=""color: #FFFFC3""></a-mixin>
-      <a-mixin id=""doubleside"" material=""side: double""></a-mixin>
-
-      <img id=""carpet"" src=""../_images/textures/carpet.jpg"">
-      <img id=""floor"" src=""../_images/textures/marble.jpg"">
-    </a-assets>
-
+    
     <a-scene stats=""true"">
-      <!-- Camera. -->
-      <a-entity position=""0 1.8 0"">
-        <a-entity camera=""fov: 45"" look-controls wasd-controls>
-        </a-entity>
-      </a-entity>
-
-      <!-- Lights. -->
-      <a-entity light=""type: ambient; color: #444""></a-entity>
-      <a-entity light=""type: directional; color: #EEE""
-                position=""0 1 1"">
-      </a-entity>
-
-      <!-- Skysphere. -->
-      <a-entity geometry=""primitive: sphere; radius: 80""
-                material=""color: #112; shader: flat"" scale=""1 1 -1"">
-      </a-entity>
-
-      <!-- Floor. -->
-      <a-entity geometry=""primitive: cylinder; height: .2; radius: 25;""
-                material=""color: #BABABA; src: #floor;
-                          metallic: .2; repeat: 50 20; roughness: .1""
-                position=""0 0 -25""></a-entity>
-
-      <!-- Carpet. -->
-      <a-entity geometry=""primitive: box; depth: 50; height: 0.025; width: 2""
-                material=""color: #440000; metallic: 0; src: #carpet;
-                          repeat: 3 40; roughness: 1""
-                position=""0 .2 -25"">
-      </a-entity>
-
+      
       <!-- Boxes. -->
-      <a-entity position=""-2.5 0 -5"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color box"">
-            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color box"" position="".18 1.2 .1"">
-            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color box""
-                    position=""-.18 1.2 -.2"">
-            <a-animation mixin=""spin"" to=""360 360 0""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
-
-      <!-- Circles. -->
-      <a-entity position=""-2.5 0 -15"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color doubleside circle"">
-            <a-animation mixin=""spin""></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color doubleside circle"">
-            <a-animation mixin=""spin-x""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
-
-      <!-- Cylinders. -->
-      <a-entity position=""-2.5 0 -25"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color cylinder"">
-            <a-animation mixin=""spin-x""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
-
-      <!-- Rings. -->
-      <a-entity position=""2.5 0 -5"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color doubleside ring"">
-            <a-animation mixin=""spin"" dur=""6000""></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color doubleside ring"">
-            <a-animation mixin=""spin"" to=""360 0 0"" dur=""6000""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
+      <a-entity geometry=""primitive: box"" position=""-4.5 0 0""></a-entity>
+      <a-entity geometry=""primitive: circle"" position=""-1.5 0 0""></a-entity>
+      <a-entity geometry=""primitive: cylinder"" position=""1.5 0 0""></a-entity>
+      <a-entity geometry=""primitive: plane"" position=""4.5 0 0""></a-entity>
 
-      <!-- Spheres. -->
-      <a-entity position=""2.5 0 -15"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color sphere""
-                    position=""-.2 1.2 0"">
-            <a-animation mixin=""yoyo"" attribute=""position"" from=""-.2 1 0""
-                         to=""-.2 1.8 0""></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color sphere"">
-            <a-animation mixin=""yoyo"" attribute=""position"" from=""0 1.8 0""
-                         to=""0 1 0"" ></a-animation>
-          </a-entity>
-          <a-entity mixin=""object-on-column color sphere"" position="".2 1 0"">
-            <a-animation mixin=""yoyo"" attribute=""position"" from="".2 1 0""
-                         to="".2 1.8 0""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
+      <a-entity geometry=""primitive: ring"" position=""-4.5 3 0""></a-entity>
+      <a-entity geometry=""primitive: sphere"" position=""-1.5 3 0""></a-entity>
+      <a-entity geometry=""primitive: torus"" position=""1.5 3 0""></a-entity>
+      <a-entity geometry=""primitive: torusKnot"" position=""4.5 3 0""></a-entity>
 
-      <!-- Torus. -->
-      <a-entity position=""2.5 0 -25"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color torus"">
-            <a-animation mixin=""spin""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
 
-      <!-- Torus Knot. -->
-      <a-entity position=""2.5 0 -35"">
-        <a-entity mixin=""column"">
-          <a-entity mixin=""column-light""></a-entity>
-          <a-entity mixin=""object-on-column color torus-knot"">
-            <a-animation mixin=""spin""></a-animation>
-          </a-entity>
-        </a-entity>
-        <a-entity mixin=""column-bottom""></a-entity>
-      </a-entity>
     </a-scene>
   </body>
 </html>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/index.html,modified,2,1,3,"@@ -23,13 +23,14 @@ <h1>A-Frame Core Examples</h1>
       <a-example-link href=""cylinders/"">Cylinders</a-example-link>
       <a-example-link href=""fog/"">Fog</a-example-link>
       <a-example-link href=""geometries/"">Geometries</a-example-link>
+      <a-example-link href=""geometries/index-gallery.html"">Geometries Gallery</a-example-link>
       <a-example-link href=""lights/"">Lights</a-example-link>
       <a-example-link href=""look-at/"">Look-At</a-example-link>
       <a-example-link href=""mixin/"">Mixin</a-example-link>
       <a-example-link href=""model/"">Model</a-example-link>
       <a-example-link href=""opacity/"">Opacity</a-example-link>
-      <a-example-link href=""physical/"">Physically-Based Materials</a-example-link>
       <a-example-link href=""panoexplorer/"">Pano Explorer</a-example-link>
+      <a-example-link href=""physical/"">Physically-Based Materials</a-example-link>
       <a-example-link href=""texture/"">Texture</a-example-link>
       <a-example-link href=""towers/"">Towers</a-example-link>
       <a-example-link href=""video/"">Video</a-example-link>"
ngokevin/aframe-core,539,8a7abd2829af4e61d4d8061a47e5c6e1ad19476b,examples/lights/index.html,modified,3,2,5,"@@ -20,8 +20,8 @@
   </a-assets>
   <a-scene stats=""true"">
     <!-- Camera. -->
-    <a-entity position=""0 0 150"">
-      <a-entity camera=""fov: 60"" look-controls wasd-controls></a-entity>
+    <a-entity position=""0 0 120"">
+      <a-entity camera look-controls wasd-controls></a-entity>
     <a-entity>
 
     <!-- Skysphere. -->
@@ -66,6 +66,7 @@
       obj.setAttribute('geometry', {
         primitive: 'torusKnot',
         radius: Math.random() * 10,
+        tube: 2,
         p: Math.round(Math.random() * 10),
         q: Math.round(Math.random() * 10)
       });"
