repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/color_list.h,added,31,0,31,"@@ -0,0 +1,31 @@
+/***************************************************************************/
+/* Copyright (c) 2022-present RevolVR Engine contributors (see authors.md) */
+/* This code is licensed under the MIT license (MIT)                       */
+/* (http://opensource.org/licenses/MIT)                                    */
+/***************************************************************************/
+
+#pragma once
+
+#define COLOR_LIST(X)          \
+    X(Red, 255, 0, 0)          \
+    X(Green, 0, 255, 0)        \
+    X(Blue, 0, 0, 255)         \
+    X(Yellow, 255, 255, 0)     \
+    X(Orange, 255, 165, 0)     \
+    X(Purple, 128, 0, 128)     \
+    X(Pink, 255, 192, 203)     \
+    X(Brown, 165, 42, 42)      \
+    X(Cyan, 0, 255, 255)       \
+    X(Magenta, 255, 0, 255)    \
+    X(Teal, 0, 128, 128)       \
+    X(Lime, 0, 255, 0)         \
+    X(Olive, 128, 128, 0)      \
+    X(Maroon, 128, 0, 0)       \
+    X(Navy, 0, 0, 128)         \
+    X(Turquoise, 64, 224, 208) \
+    X(Lavender, 230, 230, 250) \
+    X(Gold, 255, 215, 0)       \
+    X(Silver, 192, 192, 192)   \
+    X(Gray, 128, 128, 128)     \
+    X(Black, 0, 0, 0)          \
+    X(White, 255, 255, 255)    \"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/component_factory_util.h,modified,4,0,4,"@@ -8,6 +8,8 @@
 
 #include <ecs/entity/entity.h>
 #include <scene/parser.h>
+#include ""color_list.h""
+#include ""glm/vec3.hpp""
 
 namespace rvr::componentFactory {
 // Returns true if string with nameQualifier was found and sets the out string with found value
@@ -25,4 +27,6 @@ bool GetFloat3Field(Entity* entity, const std::map<std::string, Parser::Field>&
 // Returns true if 1 float with nameQualifier was found and sets the out float with found value
 bool GetFloatField(Entity* entity, const std::map<std::string, Parser::Field>& fields,
                    const std::string& nameQualifier, float& outFloat);
+
+glm::vec3 GetNormalizedRGBFromColorName(const std::string& colorName);
 }
\ No newline at end of file"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/component_hdrs.h,modified,1,0,1,"@@ -13,3 +13,4 @@
 #include ""ecs/component/types/collider.h""
 #include ""ecs/component/types/audio.h""
 #include ""ecs/component/types/timer.h""
+#include ""ecs/component/types/point_light.h"""
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/component_list.h,modified,1,0,1,"@@ -14,3 +14,4 @@
     X(Collider) \
     X(Audio) \
     X(Timer) \
+    X(PointLight) \"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/component_pool_manager.h,modified,1,0,1,"@@ -28,6 +28,7 @@ class ComponentPoolManager {
     std::map<std::type_index, ComponentType> typeToEnum;
 };
 
+// TODO: Change usage: GetComponent<MyComponent> --> GetComponent<MyComponent*>, to make it clear pointer is returned.
 /* Warning GetComponent returns nullptr on failure */
 template<typename T>
 T* ComponentPoolManager::GetComponent(type::EntityId id) {"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/component/types/point_light.h,added,28,0,28,"@@ -0,0 +1,28 @@
+/***************************************************************************/
+/* Copyright (c) 2022-present RevolVR Engine contributors (see authors.md) */
+/* This code is licensed under the MIT license (MIT)                       */
+/* (http://opensource.org/licenses/MIT)                                    */
+/***************************************************************************/
+
+#pragma once
+
+#include <ecs/component/component.h>
+#include ""ecs/entity/entity.h""
+#include ""glm/vec3.hpp""
+
+namespace rvr {
+class PointLight : public Component {
+    float intensity_;
+    glm::vec3 color_;
+
+public:
+    PointLight(type::EntityId pId);
+    PointLight(type::EntityId pId, glm::vec3 color, float intensity);
+    PointLight(const PointLight& other) = delete;
+    PointLight(const PointLight& other, type::EntityId pId);
+    virtual Component* Clone(type::EntityId newEntityId) override;
+
+    float GetIntensity();
+    glm::vec3 GetColor();
+};
+}"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/system/lighting_system.h,added,14,0,14,"@@ -0,0 +1,14 @@
+/***************************************************************************/
+/* Copyright (c) 2022-present RevolVR Engine contributors (see authors.md) */
+/* This code is licensed under the MIT license (MIT)                       */
+/* (http://opensource.org/licenses/MIT)                                    */
+/***************************************************************************/
+
+#pragma once
+
+#include ""ecs/entity/entity.h""
+#include ""ecs/component/types/point_light.h""
+
+namespace rvr::system::lighting {
+void AppendLightSources(std::vector<PointLight*>& pointLights);
+}"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/system/render_system.h,modified,2,5,7,"@@ -8,14 +8,11 @@
 
 #include ""ecs/entity/entity.h""
 #include ""ecs/component/types/spatial.h""
+#include ""rendering/utilities/gltf/vulkan_gltf_model.h""
 
 namespace rvr::system::render{
-struct NamedTransform {
-    std::string resourceName;
-    math::Transform transform;
-};
 void AppendCubeTransformBuffer(std::vector<math::Transform>& buffer);
-void AppendGltfMap(std::map<std::string, std::vector<glm::mat4>>& gltfMap);
+void AppendGltfModelPushConstants(std::map<std::string, std::unique_ptr<VulkanGLTFModel>>& models);
 std::set<std::string> GetUniqueModelNames();
 void DrawCubeGrid(std::vector<math::Transform>& buffer);
 }"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/ecs/system/spatial_system.h,modified,1,0,1,"@@ -16,4 +16,5 @@ void UpdateTrackedSpaces(XrContext* context);
 void UpdateSpatials();
 void SetSpatialWithJointPose(Spatial* spatial, TrackedSpaceType trackedSpaceType);
 math::Transform GetPlayerRelativeTransform(Spatial* pSpatial);
+math::Transform GetPlayerRelativeTransform(math::Transform& transform);
 }"
satchelfrost/revolvr,43,50e3ce3d216a22d8935b4bacf2a39196d7df26db,include/rendering/utilities/geometry.h,modified,2,0,2,"@@ -25,6 +25,8 @@ constexpr XrVector3f Green{0, 1, 0};
 constexpr XrVector3f DarkGreen{0, 0.25f, 0};
 constexpr XrVector3f Blue{0, 0, 1};
 constexpr XrVector3f DarkBlue{0, 0, 0.25f};
+constexpr XrVector3f Cyan{0.0f, 1.0f, 1.0f};
+constexpr XrVector3f Magenta{1.0f, 0.0f, 1.0f};
 
 // Vertices for a 1x1x1 meter cube. (Left/Right, Top/Bottom, Front/Back)
 constexpr XrVector3f LBB{-0.5f, -0.5f, -0.5f};"
