repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
vizorvr/patches,1664,0b1db9a,browser/plugins/annotation.plugin.js,modified,5,53,58,"@@ -1,62 +1,14 @@
 (function(){
 
-var minWidth = 120
-var minHeight = 80
-var maxWidth = 550
-var maxHeight = 440
-var clamp = THREE.Math.clamp
-
-var Annotation = E2.plugins.annotation = function() {
-	Plugin.apply(this, arguments)
+var Annotation = E2.plugins.annotation = function Annotation() {
+	AbstractTextareaPlugin.apply(this, arguments)
 	this.desc = 'Add textual hints to the graph.'
-	
+	this.undoName = 'Annotation'
 	this.input_slots = []
-	
 	this.output_slots = []
-	
-	this.state = { text: '', width: minWidth, height: minHeight }
 }
 
-Annotation.prototype = Object.create(Plugin.prototype)
-
-Annotation.prototype.create_ui = function() {
-	var that = this
-
-	var adapter = {
-		get text()  	{ return that.state.text; },
-		set text(str) 	{ return that.state.text = str},
-		get width()  	{ return that.state.width },
-		set width(px) 	{ return that.state.width = clamp(px, minWidth, maxWidth) },
-		get height()  	{ return that.state.height },
-		set height(px) 	{ return that.state.height = clamp(px, minHeight, maxHeight) }
-	}
-
-	var onChange 		= this.updateUi.bind(this)
-	var onBeginChange 	= this.beginBatchModifyState.bind(this)
-	var onEndChange 	= function() { that.endBatchModifyState('Annotation') }
-	this.ui = new UITextArea(adapter, onBeginChange, onChange, onEndChange)
-
-	var inp = this.ui.dom.find('textarea')
-	var t = null
-	inp.on('keyup', function(){
-		if (t) clearTimeout(t)
-		t = setTimeout(function(){that.transientSetState('text', inp.val())}, 300)
-	})
-	this.node.on('pluginStateChanged', this.updateUi.bind(this))
-
-	return this.ui.dom
-
-}
-
-Annotation.prototype.state_changed = function() {
-	this.updateUi()
-}
-
-Annotation.prototype.updateUi = function() {
-	if (!this.ui)
-		return
-
-	this.ui.update()
-}
+Annotation.prototype = Object.create(AbstractTextareaPlugin.prototype)
+Annotation.prototype.constructor = Annotation
 
 })()"
vizorvr/patches,1664,0b1db9a,browser/plugins/const_text_generator.plugin.js,modified,5,64,69,"@@ -1,70 +1,11 @@
 (function(){
-var minWidth = 120
-var minHeight = 80
-var maxWidth = 550
-var maxHeight = 440
-var clamp = THREE.Math.clamp
-var Text = E2.plugins.const_text_generator = function(core, node) {
-	Plugin.apply(this, arguments)
-	this.desc = 'Enter a constant text string.'
 
-	this.inp = {}
-
-	this.input_slots = []
-	this.output_slots = [
-		{ name: 'text', dt: core.datatypes.TEXT, desc: 'The currently entered text.', def: 'Empty string' }
-	]
-	
-	this.state = { text: '', width: minWidth, height: minHeight }
-}
-
-Text.prototype = Object.create(Plugin.prototype)
-
-Text.prototype.reset = function() {
-	this.updated = true
-}
-
-Text.prototype.create_ui = function() {
-	var that = this
-
-	var adapter = {
-		get text()  	{ return that.state.text; },
-		set text(str) 	{ return that.state.text = str},
-		get width()  	{ return that.state.width },
-		set width(px) 	{ return that.state.width = clamp(px, minWidth, maxWidth) },
-		get height()  	{ return that.state.height },
-		set height(px) 	{ return that.state.height = clamp(px, minHeight, maxHeight) }
-	}
-
-	var onChange 		= this.updateUi.bind(this)
-	var onBeginChange 	= this.beginBatchModifyState.bind(this)
-	var onEndChange 	= function() { that.endBatchModifyState('Text') }
-	this.ui = new UITextArea(adapter, onBeginChange, onChange, onEndChange)
-
-	var inp = this.ui.dom.find('textarea')
-	var t = null
-	inp.on('keyup', function(){
-		if (t) clearTimeout(t)
-		t = setTimeout(function(){that.transientSetState('text', inp.val())}, 300)
-	})
-	this.node.on('pluginStateChanged', this.updateUi.bind(this))
-
-	return this.ui.dom
-}
-
-Text.prototype.update_output = function() {
-	return this.state.text
+var Text = E2.plugins.const_text_generator = function Text() {
+	AbstractTextareaPlugin.apply(this, arguments)
+	this.undoName = 'Text'
 }
 
-Text.prototype.state_changed = function() {
-	this.updateUi()
-}
-
-Text.prototype.updateUi = function() {
-	if (!this.ui)
-		return
-
-	this.ui.update()
-}
+Text.prototype = Object.create(AbstractTextareaPlugin.prototype)
+Text.prototype.constructor = Text
 
 })()"
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractAnimateValueOnTriggerPlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractArrayBlendModulatorPlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractObjectGazePlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractTextareaPlugin.js,added,117,0,117,"@@ -0,0 +1,117 @@
+var AbstractTextareaPlugin = function AbstractTextareaPlugin(core, node) {
+	Plugin.apply(this, arguments)
+	this.desc = 'Enter a constant text string.'
+
+	this._uiDetachQueue = []
+
+	this.undoName = 'Textarea'
+	this.uiMinWidth = 120
+	this.uiMinHeight = 80
+	this.uiMaxWidth = 550
+	this.uiMaxHeight = 440
+
+	this.inp = {}
+
+	this.input_slots = []
+	this.output_slots = [
+		{ name: 'text', dt: core.datatypes.TEXT, desc: 'The currently entered text.', def: 'Empty string' }
+	]
+
+	this.state = { text: '', width: this.uiMinWidth, height: this.uiMinHeight }
+}
+
+AbstractTextareaPlugin.prototype = Object.create(Plugin.prototype)
+AbstractTextareaPlugin.prototype.constructor = AbstractTextareaPlugin
+
+AbstractTextareaPlugin.prototype.reset = function() {
+	this.updated = true
+}
+
+AbstractTextareaPlugin.prototype.create_ui = function() {
+	var that = this
+	var clamp = THREE.Math.clamp
+
+	var adapter = {
+		get text()  	{ return that.state.text },
+		set text(str) 	{ return that.state.text = str},
+		get width()  	{ return that.state.width },
+		set width(px) 	{ return that.state.width = clamp(px, that.uiMinWidth, that.uiMaxWidth) },
+		get height()  	{ return that.state.height },
+		set height(px) 	{ return that.state.height = clamp(px, that.uiMinHeight, that.uiMaxHeight) }
+	}
+
+	var onChange 		= this.updateUi.bind(this)
+	var onBeginChange 	= this.beginBatchModifyState.bind(this)
+	var onEndChange 	= function() { that.endBatchModifyState(that.undoName) }
+	this.ui = new UITextArea(adapter, onBeginChange, onChange, onEndChange)
+
+	var inp = this.ui.dom.find('textarea')
+	var t = null
+	inp.on('keyup', function(){
+		if (t) clearTimeout(t)
+		t = setTimeout(function(){that.transientSetState('text', inp.val())}, 300)
+	})
+	this.node.on('pluginStateChanged', this.updateUi.bind(this))
+
+	var adjustWidth = function(minWidth) {
+		that.uiMinWidth = minWidth - 45
+		if (that.uiMinWidth > that.state.width) {
+			that.state.width = that.uiMinWidth
+			that.ui.update()
+		}
+	}
+
+	// setup an invisible node UI for a Node of the same plugin kind
+	// rename it, get the available content area, and size ourselves accordingly
+	var onRenamed = function(name){
+		var nu = new NodeUI(new Node(null, that.id, -1000,-1000))
+		nu.onRenamed(name)
+		adjustWidth(nu.content.width())
+		nu.destroy()
+	}
+
+	that.node.on('renamed', onRenamed)
+	this._uiDetachQueue.push(function(){
+		that.node.removeListener('renamed', onRenamed)
+	})
+
+	// listen to when the node UI has been created, in case our width needs adjusting
+	this.node.once('uiCreated', function($contentContainer){
+		adjustWidth($contentContainer.width())
+	})
+
+	return this.ui.dom
+}
+
+AbstractTextareaPlugin.prototype.destroy_ui = function() {
+	var q = this._uiDetachQueue
+	if (q && q.length) {
+		var removeHandler
+		while (removeHandler = q.pop()) {
+			removeHandler()
+		}
+	}
+	if (this.ui)
+		this.ui.destroy()
+
+	this.ui = null
+}
+
+AbstractTextareaPlugin.prototype.update_output = function() {
+	return this.state.text
+}
+
+AbstractTextareaPlugin.prototype.state_changed = function() {
+	this.updateUi()
+}
+
+AbstractTextareaPlugin.prototype.updateUi = function() {
+	if (!this.ui)
+		return
+
+	this.ui.update()
+}
+
+if (typeof(module) !== 'undefined')
+	module.exports = AbstractTextareaPlugin
+"
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractThreeLoaderObjPlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractThreeMaterialPlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/abstractPlugins/abstractThreeMeshPlugin.js,renamed,0,0,0,
vizorvr/patches,1664,0b1db9a,browser/scripts/node.js,modified,1,0,1,"@@ -88,6 +88,7 @@ Node.prototype.setOpenState = function(isOpen) {
 	
 Node.prototype.create_ui = function() {
 	this.ui = new NodeUI(this, this.x, this.y)
+	this.emit('uiCreated', this.ui.content, this)
 }
 
 Node.prototype.destroy_ui = function() {"
vizorvr/patches,1664,0b1db9a,gulpfile.js,modified,7,6,13,"@@ -30,12 +30,13 @@ var paths = {
 			'./browser/scripts/plugin.js',
 			'./browser/scripts/subGraphPlugin.js',
 			'./browser/scripts/threeObject3dPlugin.js',
-			'./browser/scripts/abstractObjectGazePlugin.js',
-			'./browser/scripts/abstractThreeLoaderObjPlugin.js',
-			'./browser/scripts/abstractThreeMaterialPlugin.js',
-			'./browser/scripts/abstractThreeMeshPlugin.js',
-			'./browser/scripts/abstractArrayBlendModulatorPlugin.js',
-			'./browser/scripts/abstractAnimateValueOnTriggerPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractTextareaPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractObjectGazePlugin.js',
+			'./browser/scripts/abstractPlugins/abstractThreeLoaderObjPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractThreeMaterialPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractThreeMeshPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractArrayBlendModulatorPlugin.js',
+			'./browser/scripts/abstractPlugins/abstractAnimateValueOnTriggerPlugin.js',
 	
 			'./browser/scripts/blendFunctions.js',
 "
vizorvr/patches,1664,0b1db9a,less/editor.less,modified,1,1,2,"@@ -49,7 +49,7 @@ div.graph-node .p_content .p_plugin div.uiTextArea {
     right 	: 0;	//	""
 	width: 12px;
 	height: 12px;
-	opacity: 0;
+	opacity: 0.1;
 	&:hover {
 	  cursor: nwse-resize;
 	}"
vizorvr/patches,1664,0b1db9a,views/layouts/editor.handlebars,modified,7,6,13,"@@ -151,12 +151,13 @@
 
     <script type=""text/javascript"" src=""/scripts/threeObject3dPlugin.js""></script>
 
-    <script type=""text/javascript"" src=""/scripts/abstractObjectGazePlugin.js""></script>
-    <script type=""text/javascript"" src=""/scripts/abstractThreeLoaderObjPlugin.js""></script>
-    <script type=""text/javascript"" src=""/scripts/abstractThreeMaterialPlugin.js""></script>
-    <script type=""text/javascript"" src=""/scripts/abstractThreeMeshPlugin.js""></script>
-    <script type=""text/javascript"" src=""/scripts/abstractArrayBlendModulatorPlugin.js""></script>
-    <script type=""text/javascript"" src=""/scripts/abstractAnimateValueOnTriggerPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractTextareaPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractObjectGazePlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractThreeLoaderObjPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractThreeMaterialPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractThreeMeshPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractArrayBlendModulatorPlugin.js""></script>
+    <script type=""text/javascript"" src=""/scripts/abstractPlugins/abstractAnimateValueOnTriggerPlugin.js""></script>
 
     <script type=""text/javascript"" src=""/scripts/worldEditor/worldEditorPerspectiveCamera.js""></script>
     <script type=""text/javascript"" src=""/scripts/worldEditor/worldEditorOrthographicCamera.js""></script>"
