repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
wearesimbol/simbol-world,24,6fb46a2,build/simbol.cjs.js,modified,5,2,7,"@@ -131440,6 +131440,7 @@ class Simbol extends eventemitter3 {
 				if (event.type === 'VirtualPersona') {
 					this.vpMesh = event.mesh;
 					this.controllers.updateControllers(this.vpMesh);
+					this._scene.camera.rotation.order = 'YXZ';
 					this.virtualPersona.eyeBone.add(this._scene.camera);
 					// Fix so it doesn't look backwards
 					this._scene.camera.rotation.y = Math.PI;
@@ -131605,6 +131606,8 @@ Simbol.prototype.animate = (function() {
 
 		if (!initialised) {
 			previousControllerQuaternion.copy(controller.quaternion);
+			// Hack to fix initial rotation due to Euler(0,0,0) being converted world-to-local is not 0
+			this.locomotion.orientation.euler.set(0.0001, 0.0001, 0, 'YXZ');
 			initialised = true;
 		}
 
@@ -131665,7 +131668,7 @@ Simbol.prototype.animate = (function() {
 
 		/*
 		 * Sets a camera to position controllers properly
-		 * It needs to not include the added position by the 
+		 * It needs to not include the added position by the
 		 * fakeCamera and position the y axis with the camera
 		 */
 		this.vpMesh.updateMatrixWorld(true);
@@ -131692,7 +131695,7 @@ Simbol.prototype.animate = (function() {
 			poseMatrix.multiplyMatrices(cameraWorldToLocal, poseMatrix);
 			poseMatrix.decompose({}, cameraQuaternion, {});
 			locomotionRotation.setFromQuaternion(cameraQuaternion);
-			camera.rotation.x = -locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
+			camera.rotation.x = locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
 			camera.rotation.z = locomotionRotation.z;
 		}
 		camera.matrixWorld.decompose(cameraPosition, cameraQuaternion, {});"
wearesimbol/simbol-world,24,6fb46a2,build/simbol.cjs.js.map,modified,1,1,2,
wearesimbol/simbol-world,24,6fb46a2,build/simbol.cjs.nothree.js,modified,5,2,7,"@@ -84151,6 +84151,7 @@ class Simbol extends eventemitter3 {
 				if (event.type === 'VirtualPersona') {
 					this.vpMesh = event.mesh;
 					this.controllers.updateControllers(this.vpMesh);
+					this._scene.camera.rotation.order = 'YXZ';
 					this.virtualPersona.eyeBone.add(this._scene.camera);
 					// Fix so it doesn't look backwards
 					this._scene.camera.rotation.y = Math.PI;
@@ -84316,6 +84317,8 @@ Simbol.prototype.animate = (function() {
 
 		if (!initialised) {
 			previousControllerQuaternion.copy(controller.quaternion);
+			// Hack to fix initial rotation due to Euler(0,0,0) being converted world-to-local is not 0
+			this.locomotion.orientation.euler.set(0.0001, 0.0001, 0, 'YXZ');
 			initialised = true;
 		}
 
@@ -84376,7 +84379,7 @@ Simbol.prototype.animate = (function() {
 
 		/*
 		 * Sets a camera to position controllers properly
-		 * It needs to not include the added position by the 
+		 * It needs to not include the added position by the
 		 * fakeCamera and position the y axis with the camera
 		 */
 		this.vpMesh.updateMatrixWorld(true);
@@ -84403,7 +84406,7 @@ Simbol.prototype.animate = (function() {
 			poseMatrix.multiplyMatrices(cameraWorldToLocal, poseMatrix);
 			poseMatrix.decompose({}, cameraQuaternion, {});
 			locomotionRotation.setFromQuaternion(cameraQuaternion);
-			camera.rotation.x = -locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
+			camera.rotation.x = locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
 			camera.rotation.z = locomotionRotation.z;
 		}
 		camera.matrixWorld.decompose(cameraPosition, cameraQuaternion, {});"
wearesimbol/simbol-world,24,6fb46a2,build/simbol.cjs.nothree.js.map,modified,1,1,2,
wearesimbol/simbol-world,24,6fb46a2,build/simbol.js,modified,5,2,7,"@@ -131436,6 +131436,7 @@ class Simbol extends eventemitter3 {
 				if (event.type === 'VirtualPersona') {
 					this.vpMesh = event.mesh;
 					this.controllers.updateControllers(this.vpMesh);
+					this._scene.camera.rotation.order = 'YXZ';
 					this.virtualPersona.eyeBone.add(this._scene.camera);
 					// Fix so it doesn't look backwards
 					this._scene.camera.rotation.y = Math.PI;
@@ -131601,6 +131602,8 @@ Simbol.prototype.animate = (function() {
 
 		if (!initialised) {
 			previousControllerQuaternion.copy(controller.quaternion);
+			// Hack to fix initial rotation due to Euler(0,0,0) being converted world-to-local is not 0
+			this.locomotion.orientation.euler.set(0.0001, 0.0001, 0, 'YXZ');
 			initialised = true;
 		}
 
@@ -131661,7 +131664,7 @@ Simbol.prototype.animate = (function() {
 
 		/*
 		 * Sets a camera to position controllers properly
-		 * It needs to not include the added position by the 
+		 * It needs to not include the added position by the
 		 * fakeCamera and position the y axis with the camera
 		 */
 		this.vpMesh.updateMatrixWorld(true);
@@ -131688,7 +131691,7 @@ Simbol.prototype.animate = (function() {
 			poseMatrix.multiplyMatrices(cameraWorldToLocal, poseMatrix);
 			poseMatrix.decompose({}, cameraQuaternion, {});
 			locomotionRotation.setFromQuaternion(cameraQuaternion);
-			camera.rotation.x = -locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
+			camera.rotation.x = locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
 			camera.rotation.z = locomotionRotation.z;
 		}
 		camera.matrixWorld.decompose(cameraPosition, cameraQuaternion, {});"
wearesimbol/simbol-world,24,6fb46a2,build/simbol.js.map,modified,1,1,2,
wearesimbol/simbol-world,24,6fb46a2,build/simbol.nothree.js,modified,5,2,7,"@@ -84147,6 +84147,7 @@ class Simbol extends eventemitter3 {
 				if (event.type === 'VirtualPersona') {
 					this.vpMesh = event.mesh;
 					this.controllers.updateControllers(this.vpMesh);
+					this._scene.camera.rotation.order = 'YXZ';
 					this.virtualPersona.eyeBone.add(this._scene.camera);
 					// Fix so it doesn't look backwards
 					this._scene.camera.rotation.y = Math.PI;
@@ -84312,6 +84313,8 @@ Simbol.prototype.animate = (function() {
 
 		if (!initialised) {
 			previousControllerQuaternion.copy(controller.quaternion);
+			// Hack to fix initial rotation due to Euler(0,0,0) being converted world-to-local is not 0
+			this.locomotion.orientation.euler.set(0.0001, 0.0001, 0, 'YXZ');
 			initialised = true;
 		}
 
@@ -84372,7 +84375,7 @@ Simbol.prototype.animate = (function() {
 
 		/*
 		 * Sets a camera to position controllers properly
-		 * It needs to not include the added position by the 
+		 * It needs to not include the added position by the
 		 * fakeCamera and position the y axis with the camera
 		 */
 		this.vpMesh.updateMatrixWorld(true);
@@ -84399,7 +84402,7 @@ Simbol.prototype.animate = (function() {
 			poseMatrix.multiplyMatrices(cameraWorldToLocal, poseMatrix);
 			poseMatrix.decompose({}, cameraQuaternion, {});
 			locomotionRotation.setFromQuaternion(cameraQuaternion);
-			camera.rotation.x = -locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
+			camera.rotation.x = locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
 			camera.rotation.z = locomotionRotation.z;
 		}
 		camera.matrixWorld.decompose(cameraPosition, cameraQuaternion, {});"
wearesimbol/simbol-world,24,6fb46a2,build/simbol.nothree.js.map,modified,1,1,2,
wearesimbol/simbol-world,24,6fb46a2,build/simbol.script.js,modified,5,2,7,"@@ -131439,6 +131439,7 @@ var Simbol = (function (exports) {
 					if (event.type === 'VirtualPersona') {
 						this.vpMesh = event.mesh;
 						this.controllers.updateControllers(this.vpMesh);
+						this._scene.camera.rotation.order = 'YXZ';
 						this.virtualPersona.eyeBone.add(this._scene.camera);
 						// Fix so it doesn't look backwards
 						this._scene.camera.rotation.y = Math.PI;
@@ -131604,6 +131605,8 @@ var Simbol = (function (exports) {
 
 			if (!initialised) {
 				previousControllerQuaternion.copy(controller.quaternion);
+				// Hack to fix initial rotation due to Euler(0,0,0) being converted world-to-local is not 0
+				this.locomotion.orientation.euler.set(0.0001, 0.0001, 0, 'YXZ');
 				initialised = true;
 			}
 
@@ -131664,7 +131667,7 @@ var Simbol = (function (exports) {
 
 			/*
 			 * Sets a camera to position controllers properly
-			 * It needs to not include the added position by the 
+			 * It needs to not include the added position by the
 			 * fakeCamera and position the y axis with the camera
 			 */
 			this.vpMesh.updateMatrixWorld(true);
@@ -131691,7 +131694,7 @@ var Simbol = (function (exports) {
 				poseMatrix.multiplyMatrices(cameraWorldToLocal, poseMatrix);
 				poseMatrix.decompose({}, cameraQuaternion, {});
 				locomotionRotation.setFromQuaternion(cameraQuaternion);
-				camera.rotation.x = -locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
+				camera.rotation.x = locomotionRotation.x; // Negative sign fixes vertical rotation, so up is up and down is down on pc
 				camera.rotation.z = locomotionRotation.z;
 			}
 			camera.matrixWorld.decompose(cameraPosition, cameraQuaternion, {});"
wearesimbol/simbol-world,24,6fb46a2,build/simbol.script.js.map,modified,1,1,2,
