repo,id,sym,cwe,entity,n_files,additions,deletions,total_changes
Adjerry91/VRCFaceTracking-Templates,5,AF,ICFM,L3,3,3,3,6
AltspaceVR/AltspaceSDK,18,SD,IIV,L3,5,165,3,168
AltspaceVR/AltspaceSDK,21,IC,TDI,L1,6,75,13,88
AltspaceVR/AltspaceSDK,46,SD,ICFM,L5,5,32,29,61
AurelienGttn/DrumVR,4,AF,IIV,L3,4,343,270,613
BasisVR/Basis,5,AF,IIV,L1,13,181,267,448
BasisVR/Basis,25,VF,GCE,L5,2,26,23,49
BasisVR/Basis,27,SD,ICFM,L3,4,70,0,70
BasisVR/Basis,39,IC,ICFM,L3,4,20,15,35
BasisVR/Basis,43,AF,ICFM,L4,1,18,8,26
BasisVR/Basis,62,SD,GCE,L5,1,1,1,2
BasisVR/Basis,63,SD,GCE,L2,5,5,5,10
BasisVR/Basis,70,RA,GCE,L2,1,9,3,12
BasisVR/Basis,76,AF,UPF,L3,1,4,4,8
BasisVR/Basis,191,SD,IIV,L2,1,1,4,5
BasisVR/Basis,344,VF,IIV,L2,2,30,5,35
BasisVR/Basis,351,SD,RLM,L2,1,29,1,30
Bebb-Protocol-and-Apps/PWS,5,IC,TDI,L3,2,74,1,75
Bebb-Protocol-and-Apps/PWS,9,RS,IIV,L3,2,4,3,7
BoiHanny/vrcosc-magicchatbox,23,AF,UPF,L4,1,4,12,16
Bone008/HackerJedi,30,SD,TDI,L3,1,39,28,67
Bone008/HackerJedi,33,VF,UPF,L4,1,66,12,78
Bone008/HackerJedi,60,SD,ICFM,L4,3,7,5,12
CAOR-MINES-ParisTech/colibri-vr-unity-package,6,RA,GCE,L5,3,19,2,21
CertainLach/VivePro2-Linux-Driver,37,VF,GCE,L5,1,1,1,2
Chainsawkitten/Deathcap,167,IC,ICFM,L3,1,14,8,22
Chainsawkitten/Deathcap,344,AF,ICFM,L3,6,38,8,46
Chainsawkitten/Deathcap,411,IC,ICFM,L1,1,1,1,2
Chainsawkitten/Deathcap,741,AF,UPF,L4,8,50,12,62
Chainsawkitten/Deathcap,763,SD,GCE,L3,3,14,3,17
