repo,id,text,repo_level,symptom_cate,entity_layer,root_cause,root_cause_sub
Adjerry91/VRCFaceTracking-Templates,5,"Fixed the viseme toggle. | The transition ""Visemes Enabled -> Exit"" in the ""Viseme_State"" layer is broken.Unity displays a warning ""Transition needs at least one condition or an Exit Time to be valid, otherwise it will be ignored.""Because visemes are enabled by default and this transition does not work, they will remain enabled permamently.Enabling the ""Has Exit Time"" toggle on said transition fixes the issue.",C5,AF,L3,ICFM,Pipeline Misordering
BasisVR/Basis,5,"Input bug, Avatar config saving, avatar material update | Waiting a few frames when initializing input device due to weird steamvr input bug not initializing the first frame. Fixed avatar component not saving configuration for eye and mouth positions. Updated avatar eye material",C4,AF,L1,IIV,
BasisVR/Basis,25,"Fix mirror IPD in VR. | Followup to #23We render mirrors to a flipped uv.x so that we preserve chirality. However, we were missing the step to flip the projection matrix. This works fine in desktop because x is usually 0. In VR, left and right eye has negative projection matrix X, so we had flipped the left and right eye in the shader. This mostly worked, but meant that we could not correct for the stereo view offset. Now we flip the projection matrix instead of switching eyes.",C4,VF,L5,GCE,Incorrect Calculation
BasisVR/Basis,27,"Distance-Based UI-Reparenting | The BasisUIReparenter reparents the UI object to the LocalPlayer if they move too far away from the UI. This solves the issue where the UI becomes unusable if the player falls infinitely or is involuntarily moving in some other way.While it might be preferable to make the distance a global setting instead of configuring it per script, I've opted not to implement that for now to avoid cluttering the settings UI.https://github.com/user-attachments/assets/66b50b85-f3",C4,SD,L3,ICFM,Scope Mismatch
BasisVR/Basis,39,"User Interface/Experience (UIX) fixes | NOTE: While these do fix the most obnoxious issues, it is an imperfect hack to make input work for the short term. A larger rework of Input abstraction is needed. Will be covered by a separate issue.Fix UI text input on desktop.Fixes input focus disabling crouch.Fixes cursor raycast leaving the UI collider causing UI input de-focus. Fixes keyboard not usable when the cursor raycast wasn't on the UI collider.",C4,IC,L3,ICFM,Scope Mismatch
BasisVR/Basis,43,"Fixed jiggle strains from not displaying in Inspector. | Simply had to set `virtualizationMethod = CollectionVirtualizationMethod.DynamicHeight`, and remove any manual calculations of height.",C4,AF,L4,ICFM,Scope Mismatch
BasisVR/Basis,62,"Fix visual hardware model should scale more accurately after 1st VR calibration: | - There was a mismatch between the visual hardware scale, which was testable by opening the Basis menu, and then opening the SteamVR menu to compare the hardware viewmodels.- Rescale the visual hardware more accurately after the 1st VR calibration.- There is still a visual issue where switching from Desktop to VR for the first time might not update or calibrate the player scale properly. This commit does not fix t",C4,SD,L5,GCE,Incorrect Calculation
BasisVR/Basis,63,"Scale hardware-to-avatar offset with avatar height: | - When wearing avatars with a shorter height, the offset should now be applied accounting for the avatar scale.- This should alleviate an issue where shorter avatars had the avatar hand was significantly away from the hardware controller; still, despite this change, the hands still feel off, so this does not fully fix embodiment.- For this to work, the user must calibrate at least once. This is because there is still a visual issue where swit",C4,SD,L2,GCE,Incorrect Calculation
BasisVR/Basis,70,"Fix avatar should no longer jitter when app runs at low framerate: | - When the app runs at a low framerate, the avatar bone rotations were affected by jitter, both in local and as visibly seen by other users in the network.- Fix by reusing the same interpolation factor clamping logic from a different location within BasisBoneControl.- There still seems to be some rotational jitter from the lower body twisting to face forward; this is probably a separate but similar in the character controller. ",C4,RA,L2,GCE,Incorrect Calculation
BasisVR/Basis,76,"Quick fix bottom half of the Snap Turn Angle slider is now clickable: | - The ""Microphone"" label hitbox was overlapping the slider, it no longer overlaps it.",C4,AF,L3,UPF,
